cohort,image,n_gt,probe_area,hit300_full,full_conf,full_rank,masked_conf,masked_rank,dconf
dense,0000295_02400_d_0000033,317,105.0,0,0.1003,478,0.1215,31,0.0212
dense,0000295_02400_d_0000033,317,240.0,0,0.0432,874,0.4975,12,0.4543
dense,0000295_02400_d_0000033,317,1273.0,0,0.1584,351,0.0264,21,-0.132
dense,0000295_02400_d_0000033,317,589.0,0,0.128,401,0.5335,4,0.4055
dense,0000295_02400_d_0000033,317,374.0,0,0.0811,562,0.0506,18,-0.0305
dense,0000295_02400_d_0000033,317,592.0,0,0.0616,697,0.2807,11,0.2191
dense,0000295_02400_d_0000033,317,5989.0,0,0.1136,429,0.3063,20,0.1926
dense,0000295_02400_d_0000033,317,210.0,0,0.0628,687,0.0893,7,0.0265
dense,0000295_02400_d_0000033,317,429.0,1,0.3573,187,0.5996,6,0.2422
dense,0000295_02400_d_0000033,317,324.0,1,0.244,263,0.3936,8,0.1495
dense,0000295_02400_d_0000033,317,200.0,1,0.5213,111,0.3976,1,-0.1237
dense,0000295_02400_d_0000033,317,475.0,1,0.3843,173,0.5346,2,0.1503
dense,0000295_02400_d_0000033,317,120.0,1,0.4624,135,0.321,7,-0.1414
dense,0000295_02400_d_0000033,317,240.0,1,0.7007,53,0.6551,4,-0.0456
dense,0000295_02400_d_0000033,317,434.0,1,0.5469,103,0.7183,1,0.1714
dense,0000295_02400_d_0000033,317,207.0,1,0.4942,124,0.4335,6,-0.0607
dense,0000295_02000_d_0000031,311,320.0,0,0.1124,383,0.0409,26,-0.0715
dense,0000295_02000_d_0000031,311,90.0,0,0.0,-1,0.0,-1,0.0
dense,0000295_02000_d_0000031,311,1290.0,0,0.0572,606,0.1011,4,0.044
dense,0000295_02000_d_0000031,311,60.0,0,0.0943,433,0.1662,16,0.0718
dense,0000295_02000_d_0000031,311,104.0,0,0.1539,301,0.0173,70,-0.1366
dense,0000295_02000_d_0000031,311,1248.0,0,0.0,-1,0.0,-1,0.0
dense,0000295_02000_d_0000031,311,308.0,0,0.1009,413,0.0267,60,-0.0742
dense,0000295_02000_d_0000031,311,112.0,0,0.0,-1,0.0,-1,0.0
dense,0000295_02000_d_0000031,311,133.0,1,0.6872,85,0.7067,1,0.0195
dense,0000295_02000_d_0000031,311,713.0,1,0.6033,105,0.0283,1,-0.575
dense,0000295_02000_d_0000031,311,234.0,1,0.6933,82,0.7488,2,0.0554
dense,0000295_02000_d_0000031,311,1924.0,1,0.5796,108,0.5259,2,-0.0538
dense,0000295_02000_d_0000031,311,84.0,1,0.2572,203,0.4953,2,0.2381
dense,0000295_02000_d_0000031,311,754.0,1,0.8628,28,0.8369,1,-0.0259
dense,0000295_02000_d_0000031,311,384.0,1,0.2876,193,0.2409,6,-0.0467
dense,0000295_02000_d_0000031,311,360.0,1,0.666,92,0.3947,8,-0.2712
dense,0000295_01800_d_0000030,306,40.0,0,0.0,-1,0.0,-1,0.0
dense,0000295_01800_d_0000030,306,192.0,0,0.0,-1,0.0027,155,0.0027
dense,0000295_01800_d_0000030,306,30.0,0,0.0,-1,0.0,-1,0.0
dense,0000295_01800_d_0000030,306,91.0,0,0.0716,459,0.1615,13,0.09
dense,0000295_01800_d_0000030,306,96.0,0,0.0631,501,0.0,-1,-0.0631
dense,0000295_01800_d_0000030,306,52.0,0,0.0,-1,0.0,-1,0.0
dense,0000295_01800_d_0000030,306,559.0,0,0.0431,640,0.0837,7,0.0405
dense,0000295_01800_d_0000030,306,80.0,0,0.0,-1,0.0,-1,0.0
dense,0000295_01800_d_0000030,306,228.0,1,0.7391,63,0.762,1,0.0228
dense,0000295_01800_d_0000030,306,341.0,1,0.2128,205,0.1969,9,-0.0159
dense,0000295_01800_d_0000030,306,2646.0,1,0.9292,1,0.9304,0,0.0012
dense,0000295_01800_d_0000030,306,180.0,1,0.3806,129,0.126,23,-0.2546
dense,0000295_01800_d_0000030,306,240.0,1,0.7636,59,0.6908,0,-0.0728
dense,0000295_01800_d_0000030,306,270.0,1,0.7156,70,0.6151,6,-0.1005
dense,0000295_01800_d_0000030,306,468.0,1,0.7245,68,0.7986,3,0.0742
dense,0000295_01800_d_0000030,306,330.0,1,0.5765,91,0.3401,4,-0.2364
dense,0000295_01000_d_0000026,251,48.0,0,0.0,-1,0.0145,41,0.0145
dense,0000295_01000_d_0000026,251,24.0,0,0.0,-1,0.0,-1,0.0
dense,0000295_01000_d_0000026,251,117.0,0,0.0,-1,0.0,-1,0.0
dense,0000295_01000_d_0000026,251,60.0,0,0.0,-1,0.0,-1,0.0
dense,0000295_01000_d_0000026,251,88.0,0,0.0,-1,0.0,-1,0.0
dense,0000295_01000_d_0000026,251,114.0,0,0.0554,356,0.0642,23,0.0088
dense,0000295_01000_d_0000026,251,24.0,0,0.0385,461,0.0387,8,0.0002
dense,0000295_01000_d_0000026,251,120.0,0,0.0597,341,0.1043,17,0.0446
dense,0000295_01000_d_0000026,251,714.0,1,0.1844,152,0.3978,2,0.2135
dense,0000295_01000_d_0000026,251,2236.0,1,0.3573,86,0.434,1,0.0767
dense,0000295_01000_d_0000026,251,192.0,1,0.3979,75,0.4671,3,0.0692
dense,0000295_01000_d_0000026,251,56.0,1,0.2831,106,0.073,2,-0.2101
dense,0000295_01000_d_0000026,251,330.0,1,0.5143,57,0.3079,0,-0.2064
dense,0000295_01000_d_0000026,251,261.0,1,0.2374,122,0.5417,6,0.3043
dense,0000295_01000_d_0000026,251,1435.0,1,0.8959,11,0.8636,0,-0.0323
dense,0000295_01000_d_0000026,251,91.0,1,0.3222,92,0.6216,3,0.2994
