image,n_gt,bucket,area,size,max_iou_nbr,nbr_count,rank,m300,m1000
0000001_02999_d_0000005,127,100-150,4968.0,medium,0.0,3,1,1,1
0000001_02999_d_0000005,127,100-150,5704.0,medium,0.0,2,0,1,1
0000001_02999_d_0000005,127,100-150,7370.0,medium,0.0,4,2,1,1
0000001_02999_d_0000005,127,100-150,1458.0,medium,0.4952,1,81,1,1
0000001_02999_d_0000005,127,100-150,722.0,small,0.4952,1,21,1,1
0000001_02999_d_0000005,127,100-150,2208.0,medium,0.2977,3,69,1,1
0000001_02999_d_0000005,127,100-150,702.0,small,0.0,0,963,0,1
0000001_02999_d_0000005,127,100-150,1323.0,medium,0.2977,3,534,0,1
0000001_02999_d_0000005,127,100-150,2860.0,medium,0.2149,6,-1,0,0
0000001_02999_d_0000005,127,100-150,684.0,small,0.2149,1,-1,0,0
0000001_02999_d_0000005,127,100-150,3660.0,medium,0.0124,4,-1,0,0
0000001_02999_d_0000005,127,100-150,1716.0,medium,0.0058,1,13,1,1
0000001_02999_d_0000005,127,100-150,2408.0,medium,0.1247,6,731,0,1
0000001_02999_d_0000005,127,100-150,3906.0,medium,0.1247,5,103,1,1
0000001_02999_d_0000005,127,100-150,2900.0,medium,0.0,7,884,0,1
0000001_02999_d_0000005,127,100-150,2760.0,medium,0.0958,7,211,1,1
0000001_02999_d_0000005,127,100-150,1666.0,medium,0.0958,8,34,1,1
0000001_02999_d_0000005,127,100-150,1488.0,medium,0.1058,9,50,1,1
0000001_02999_d_0000005,127,100-150,1334.0,medium,0.2619,6,28,1,1
0000001_02999_d_0000005,127,100-150,1305.0,medium,0.1569,7,15,1,1
0000001_02999_d_0000005,127,100-150,1350.0,medium,0.1569,7,691,0,1
0000001_02999_d_0000005,127,100-150,2352.0,medium,0.2619,12,367,0,1
0000001_02999_d_0000005,127,100-150,1960.0,medium,0.3322,9,484,0,1
0000001_02999_d_0000005,127,100-150,3654.0,medium,0.3322,15,-1,0,0
0000001_02999_d_0000005,127,100-150,2392.0,medium,0.0727,11,659,0,1
0000001_02999_d_0000005,127,100-150,1890.0,medium,0.4633,7,177,1,1
0000001_02999_d_0000005,127,100-150,1862.0,medium,0.4633,10,401,0,1
0000001_02999_d_0000005,127,100-150,1218.0,medium,0.1516,8,102,1,1
0000001_02999_d_0000005,127,100-150,1290.0,medium,0.0458,5,7,1,1
0000001_02999_d_0000005,127,100-150,1107.0,medium,0.1516,4,238,1,1
0000001_02999_d_0000005,127,100-150,1350.0,medium,0.137,5,356,0,1
0000001_02999_d_0000005,127,100-150,2184.0,medium,0.0674,1,10,1,1
0000001_02999_d_0000005,127,100-150,1140.0,medium,0.0674,1,25,1,1
0000001_02999_d_0000005,127,100-150,1776.0,medium,0.1616,6,105,1,1
0000001_02999_d_0000005,127,100-150,1716.0,medium,0.1609,10,155,1,1
0000001_02999_d_0000005,127,100-150,1806.0,medium,0.4912,10,38,1,1
0000001_02999_d_0000005,127,100-150,1430.0,medium,0.4912,6,76,1,1
0000001_02999_d_0000005,127,100-150,629.0,small,0.0,1,20,1,1
0000001_02999_d_0000005,127,100-150,1008.0,small,0.0318,5,8,1,1
0000001_02999_d_0000005,127,100-150,1720.0,medium,0.6182,6,5,1,1
0000001_02999_d_0000005,127,100-150,1107.0,medium,0.6182,4,209,1,1
0000001_02999_d_0000005,127,100-150,912.0,small,0.5567,4,517,0,1
0000001_02999_d_0000005,127,100-150,936.0,small,0.1938,4,144,1,1
0000001_02999_d_0000005,127,100-150,1170.0,medium,0.3478,6,240,1,1
0000001_02999_d_0000005,127,100-150,1000.0,small,0.3478,5,80,1,1
0000001_02999_d_0000005,127,100-150,1395.0,medium,0.1114,5,39,1,1
0000001_02999_d_0000005,127,100-150,1305.0,medium,0.0,5,37,1,1
0000001_02999_d_0000005,127,100-150,840.0,small,0.2945,2,30,1,1
0000001_02999_d_0000005,127,100-150,1160.0,medium,0.2945,2,49,1,1
0000001_02999_d_0000005,127,100-150,4802.0,medium,0.0203,9,11,1,1
0000001_02999_d_0000005,127,100-150,330.0,small,0.0,2,31,1,1
0000001_02999_d_0000005,127,100-150,434.0,small,0.0,3,17,1,1
0000001_02999_d_0000005,127,100-150,612.0,small,0.0,3,225,1,1
0000001_02999_d_0000005,127,100-150,494.0,small,0.5609,5,24,1,1
0000001_02999_d_0000005,127,100-150,480.0,small,0.5609,6,357,0,1
0000001_02999_d_0000005,127,100-150,336.0,small,0.4167,3,115,1,1
0000001_02999_d_0000005,127,100-150,1050.0,medium,0.0,2,86,1,1
0000001_02999_d_0000005,127,100-150,414.0,small,0.0,1,204,1,1
0000001_02999_d_0000005,127,100-150,450.0,small,0.5818,2,226,1,1
0000001_02999_d_0000005,127,100-150,420.0,small,0.5818,3,85,1,1
0000001_02999_d_0000005,127,100-150,837.0,small,0.0959,6,101,1,1
0000001_02999_d_0000005,127,100-150,90.0,small,0.0159,0,-1,0,0
0000001_02999_d_0000005,127,100-150,868.0,small,0.0463,5,12,1,1
0000001_02999_d_0000005,127,100-150,625.0,small,0.0478,9,23,1,1
0000001_02999_d_0000005,127,100-150,952.0,small,0.139,19,19,1,1
0000001_02999_d_0000005,127,100-150,510.0,small,0.6019,1,138,1,1
0000001_02999_d_0000005,127,100-150,512.0,small,0.6019,1,90,1,1
0000001_02999_d_0000005,127,100-150,338.0,small,0.2798,2,40,1,1
0000001_02999_d_0000005,127,100-150,435.0,small,0.2798,1,32,1,1
0000001_02999_d_0000005,127,100-150,1150.0,medium,0.3617,3,88,1,1
0000001_02999_d_0000005,127,100-150,416.0,small,0.3617,2,63,1,1
0000001_02999_d_0000005,127,100-150,900.0,small,0.0,3,60,1,1
0000001_02999_d_0000005,127,100-150,660.0,small,0.502,1,77,1,1
0000001_02999_d_0000005,127,100-150,836.0,small,0.502,2,59,1,1
0000001_02999_d_0000005,127,100-150,6262.0,medium,0.188,21,9,1,1
0000001_02999_d_0000005,127,100-150,3848.0,medium,0.188,14,3,1,1
0000001_02999_d_0000005,127,100-150,1517.0,medium,0.0507,4,4,1,1
0000001_02999_d_0000005,127,100-150,2318.0,medium,0.0,14,18,1,1
0000001_02999_d_0000005,127,100-150,851.0,small,0.0,2,78,1,1
0000001_02999_d_0000005,127,100-150,8733.0,medium,0.11,24,6,1,1
0000001_02999_d_0000005,127,100-150,1800.0,medium,0.11,3,139,1,1
0000001_02999_d_0000005,127,100-150,325.0,small,0.3077,1,93,1,1
0000001_02999_d_0000005,127,100-150,338.0,small,0.3077,1,22,1,1
0000001_02999_d_0000005,127,100-150,336.0,small,0.296,4,47,1,1
0000001_02999_d_0000005,127,100-150,242.0,small,0.296,3,70,1,1
0000001_02999_d_0000005,127,100-150,378.0,small,0.3565,3,14,1,1
0000001_02999_d_0000005,127,100-150,288.0,small,0.2451,3,140,1,1
0000001_02999_d_0000005,127,100-150,220.0,small,0.2451,3,56,1,1
0000001_02999_d_0000005,127,100-150,364.0,small,0.3565,4,27,1,1
0000001_02999_d_0000005,127,100-150,276.0,small,0.3143,3,79,1,1
0000001_02999_d_0000005,127,100-150,276.0,small,0.3143,3,33,1,1
0000001_02999_d_0000005,127,100-150,286.0,small,0.684,2,71,1,1
0000001_02999_d_0000005,127,100-150,231.0,small,0.684,2,152,1,1
0000001_02999_d_0000005,127,100-150,312.0,small,0.582,2,44,1,1
0000001_02999_d_0000005,127,100-150,777.0,small,0.0,0,167,1,1
0000001_02999_d_0000005,127,100-150,648.0,small,0.4969,2,-1,0,0
0000001_02999_d_0000005,127,100-150,322.0,small,0.4969,2,73,1,1
0000001_02999_d_0000005,127,100-150,190.0,small,0.5362,1,61,1,1
0000001_02999_d_0000005,127,100-150,171.0,small,0.5362,1,64,1,1
0000001_02999_d_0000005,127,100-150,136.0,small,0.44,1,94,1,1
0000001_02999_d_0000005,127,100-150,152.0,small,0.44,1,41,1,1
0000001_02999_d_0000005,127,100-150,260.0,small,0.0648,5,215,1,1
0000001_02999_d_0000005,127,100-150,726.0,small,0.2151,8,-1,0,0
0000001_02999_d_0000005,127,100-150,189.0,small,0.2151,4,-1,0,0
0000001_02999_d_0000005,127,100-150,133.0,small,0.1499,5,-1,0,0
0000001_02999_d_0000005,127,100-150,2240.0,medium,0.2076,19,104,1,1
0000001_02999_d_0000005,127,100-150,2175.0,medium,0.2076,19,62,1,1
0000001_02999_d_0000005,127,100-150,216.0,small,0.1909,5,-1,0,0
0000001_02999_d_0000005,127,100-150,308.0,small,0.1909,6,274,1,1
0000001_02999_d_0000005,127,100-150,190.0,small,0.4789,2,57,1,1
0000001_02999_d_0000005,127,100-150,91.0,small,0.4789,2,-1,0,0
0000001_02999_d_0000005,127,100-150,135.0,small,0.383,2,42,1,1
0000001_02999_d_0000005,127,100-150,288.0,small,0.2857,6,66,1,1
0000001_02999_d_0000005,127,100-150,252.0,small,0.2857,7,212,1,1
0000001_02999_d_0000005,127,100-150,476.0,small,0.2727,10,-1,0,0
0000001_02999_d_0000005,127,100-150,190.0,small,0.2425,7,-1,0,0
0000001_02999_d_0000005,127,100-150,342.0,small,0.3413,6,129,1,1
0000001_02999_d_0000005,127,100-150,220.0,small,0.3413,4,-1,0,0
0000001_02999_d_0000005,127,100-150,930.0,small,0.2712,13,-1,0,0
0000001_02999_d_0000005,127,100-150,192.0,small,0.2065,7,751,0,1
0000001_02999_d_0000005,127,100-150,288.0,small,0.25,10,282,1,1
0000001_02999_d_0000005,127,100-150,162.0,small,0.25,8,-1,0,0
0000001_02999_d_0000005,127,100-150,726.0,small,0.2975,11,205,1,1
0000001_02999_d_0000005,127,100-150,216.0,small,0.2975,1,-1,0,0
0000001_02999_d_0000005,127,100-150,270.0,small,0.5901,2,65,1,1
0000001_02999_d_0000005,127,100-150,242.0,small,0.76,2,121,1,1
0000001_02999_d_0000005,127,100-150,242.0,small,0.76,2,35,1,1
0000001_03499_d_0000006,77,50-100,3060.0,medium,0.0,7,5,1,1
0000001_03499_d_0000006,77,50-100,2200.0,medium,0.0,12,12,1,1
0000001_03499_d_0000006,77,50-100,8010.0,medium,0.0,0,25,1,1
0000001_03499_d_0000006,77,50-100,5418.0,medium,0.0712,4,10,1,1
0000001_03499_d_0000006,77,50-100,7526.0,medium,0.0712,6,7,1,1
0000001_03499_d_0000006,77,50-100,5353.0,medium,0.0,2,3,1,1
0000001_03499_d_0000006,77,50-100,5270.0,medium,0.0,3,8,1,1
0000001_03499_d_0000006,77,50-100,12996.0,large,0.0,4,0,1,1
0000001_03499_d_0000006,77,50-100,13741.0,large,0.0,3,11,1,1
0000001_03499_d_0000006,77,50-100,16128.0,large,0.0,1,1,1,1
0000001_03499_d_0000006,77,50-100,902.0,small,0.2034,1,40,1,1
0000001_03499_d_0000006,77,50-100,540.0,small,0.0,1,293,1,1
0000001_03499_d_0000006,77,50-100,1536.0,medium,0.0,1,29,1,1
0000001_03499_d_0000006,77,50-100,2592.0,medium,0.0,16,2,1,1
0000001_03499_d_0000006,77,50-100,2010.0,medium,0.0,8,6,1,1
0000001_03499_d_0000006,77,50-100,2208.0,medium,0.0,4,9,1,1
0000001_03499_d_0000006,77,50-100,1833.0,medium,0.0,11,103,1,1
0000001_03499_d_0000006,77,50-100,609.0,small,0.0,0,-1,0,0
0000001_03499_d_0000006,77,50-100,1170.0,medium,0.0,0,35,1,1
0000001_03499_d_0000006,77,50-100,1665.0,medium,0.0,2,26,1,1
0000001_03499_d_0000006,77,50-100,989.0,small,0.0,2,113,1,1
0000001_03499_d_0000006,77,50-100,888.0,small,0.0,1,32,1,1
0000001_03499_d_0000006,77,50-100,493.0,small,0.1435,4,-1,0,0
0000001_03499_d_0000006,77,50-100,416.0,small,0.2105,3,-1,0,0
0000001_03499_d_0000006,77,50-100,272.0,small,0.1435,1,88,1,1
0000001_03499_d_0000006,77,50-100,320.0,small,0.2105,3,49,1,1
0000001_03499_d_0000006,77,50-100,437.0,small,0.2393,5,194,1,1
