image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
P0003__1024__0___0,50,50-100,170,47,50,50,50,0,0,51,0,59,0,11,11,39,39,0,0
P0003__1024__123___0,46,<50,164,45,45,45,45,0,0,51,0,54,0,2,2,44,43,0,0
P0004__1024__0___0,85,50-100,328,4,10,11,11,1,0,89,0,105,0,12,1,73,9,0,0
P0004__1024__0___440,64,50-100,217,2,6,6,6,0,0,68,0,84,0,9,1,55,5,0,0
P0007__1024__0___0,28,<50,226,28,28,28,28,0,0,40,0,52,0,5,5,23,23,0,0
P0007__1024__0___1113,46,<50,376,46,46,46,46,0,0,75,0,97,0,0,0,45,45,1,1
P0007__1024__0___824,48,<50,410,47,48,48,48,0,0,80,0,108,0,0,0,47,47,1,1
P0007__1024__466___0,49,<50,308,49,49,49,49,0,0,56,0,72,0,4,4,30,30,15,15
P0007__1024__466___1113,60,50-100,344,58,59,60,60,1,0,76,0,96,0,11,10,45,45,4,4
P0007__1024__466___824,70,50-100,366,68,69,70,70,1,0,82,0,97,0,13,12,46,46,11,11
P0019__1024__0___0,6,<50,45,6,6,6,6,0,0,6,0,6,0,0,0,4,4,2,2
P0019__1024__0___1648,7,<50,49,6,6,6,6,0,0,6,0,9,0,0,0,6,5,1,1
P0019__1024__0___2472,6,<50,24,6,6,6,6,0,0,4,0,4,0,0,0,6,6,0,0
P0019__1024__0___2703,4,<50,12,3,3,3,3,0,0,2,0,2,0,0,0,4,3,0,0
P0019__1024__0___824,5,<50,129,5,5,5,5,0,0,7,0,13,0,0,0,3,3,2,2
P0019__1024__1648___0,6,<50,56,6,6,6,6,0,0,3,0,5,0,0,0,6,6,0,0
P0019__1024__1648___2472,4,<50,81,3,3,3,3,0,0,6,0,8,0,0,0,4,3,0,0
P0019__1024__1648___2703,3,<50,109,2,2,2,2,0,0,3,0,8,0,0,0,3,2,0,0
P0019__1024__2472___0,4,<50,41,4,4,4,4,0,0,4,0,5,0,0,0,4,4,0,0
P0019__1024__2472___2472,4,<50,133,3,3,3,3,0,0,3,0,4,0,1,0,3,3,0,0
P0019__1024__2472___2703,4,<50,106,3,3,3,3,0,0,3,0,5,0,1,0,3,3,0,0
P0019__1024__3296___0,9,<50,54,8,8,8,8,0,0,7,0,9,0,1,1,8,7,0,0
P0019__1024__3296___2472,5,<50,126,4,4,4,4,0,0,2,0,3,0,1,0,4,4,0,0
P0019__1024__3296___2703,5,<50,94,4,4,4,4,0,0,1,0,1,0,1,0,4,4,0,0
P0019__1024__3296___824,1,<50,24,1,1,1,1,0,0,1,0,3,0,0,0,1,1,0,0
P0019__1024__4120___0,7,<50,28,7,7,7,7,0,0,3,0,6,0,1,1,6,6,0,0
P0019__1024__4120___2472,4,<50,86,3,3,3,3,0,0,1,0,4,0,0,0,4,3,0,0
P0019__1024__4120___2703,4,<50,70,3,3,3,3,0,0,2,0,5,0,0,0,4,3,0,0
P0019__1024__4944___0,3,<50,45,3,3,3,3,0,0,4,0,5,0,0,0,3,3,0,0
P0019__1024__4944___2472,2,<50,117,2,2,2,2,0,0,3,0,6,0,0,0,2,2,0,0
P0019__1024__4944___2703,5,<50,98,5,5,5,5,0,0,3,0,6,0,0,0,5,5,0,0
P0019__1024__5549___1648,6,<50,103,6,6,6,6,0,0,5,0,10,0,0,0,6,6,0,0
P0019__1024__5549___2472,5,<50,112,5,5,5,5,0,0,5,0,8,0,0,0,4,4,1,1
P0019__1024__5549___2703,6,<50,60,5,5,5,5,0,0,5,0,8,0,0,0,5,4,1,1
P0019__1024__5549___824,1,<50,16,1,1,1,1,0,0,0,0,2,0,0,0,1,1,0,0
P0019__1024__824___0,8,<50,42,8,8,8,8,0,0,2,0,4,0,0,0,8,8,0,0
P0019__1024__824___1648,2,<50,93,2,2,2,2,0,0,2,0,4,0,0,0,2,2,0,0
P0019__1024__824___2472,7,<50,55,7,7,7,7,0,0,5,0,8,0,0,0,7,7,0,0
P0019__1024__824___2703,5,<50,33,5,5,5,5,0,0,6,0,7,0,0,0,5,5,0,0
P0027__1024__0___0,1,<50,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
P0027__1024__0___750,8,<50,35,8,8,8,8,0,0,7,0,10,0,0,0,7,7,1,1
P0027__1024__1322___0,7,<50,44,7,7,7,7,0,0,7,0,9,0,0,0,6,6,1,1
