image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,471,84,102,103,103,1,0,90,0,128,0,76,56,51,46,0,0
0000001_03499_d_0000006,77,50-100,477,58,59,59,59,0,0,75,0,102,0,53,35,20,20,4,4
0000001_03999_d_0000007,48,<50,479,32,34,37,37,3,0,74,0,98,0,26,14,21,19,1,1
0000001_04527_d_0000008,115,100-150,760,74,102,102,102,0,0,86,0,153,0,72,63,43,39,0,0
0000001_05249_d_0000009,113,100-150,489,91,107,108,108,1,0,113,0,138,0,27,21,85,85,1,1
0000001_05499_d_0000010,140,100-150,420,95,127,127,127,0,0,105,0,128,0,52,41,67,65,21,21
0000001_05999_d_0000011,115,100-150,465,84,105,106,106,1,0,104,0,143,0,66,56,42,42,7,7
0000001_07999_d_0000012,136,100-150,656,83,107,108,109,2,0,111,0,155,0,99,71,37,36,0,0
0000001_08414_d_0000013,164,150-300,636,89,129,133,133,4,0,125,0,179,0,107,79,54,47,3,3
0000021_00000_d_0000001,31,<50,87,23,23,23,23,0,0,15,0,20,0,23,16,8,7,0,0
0000021_00500_d_0000002,17,<50,45,15,15,15,15,0,0,16,0,18,0,15,13,2,2,0,0
0000021_00800_d_0000003,7,<50,18,6,6,6,6,0,0,9,0,9,0,7,6,0,0,0,0
0000022_00000_d_0000004,41,<50,84,37,37,37,37,0,0,38,0,43,0,35,31,6,6,0,0
0000022_00500_d_0000005,32,<50,84,29,29,29,29,0,0,27,0,32,0,22,20,10,9,0,0
0000022_01036_d_0000006,16,<50,53,14,14,14,14,0,0,12,0,15,0,4,3,12,11,0,0
0000022_01251_d_0000007,12,<50,71,11,11,11,11,0,0,13,0,16,0,0,0,12,11,0,0
0000023_00000_d_0000008,40,<50,84,35,35,35,35,0,0,38,0,43,0,35,30,5,5,0,0
0000023_00300_d_0000009,30,<50,75,27,27,27,27,0,0,22,0,30,0,25,22,5,5,0,0
0000023_00868_d_0000010,20,<50,82,18,18,18,18,0,0,14,0,17,0,6,5,13,12,1,1
0000023_01233_d_0000011,14,<50,61,13,13,13,13,0,0,11,0,15,0,0,0,14,13,0,0
0000024_00000_d_0000012,21,<50,58,19,19,19,19,0,0,14,0,17,0,9,8,12,11,0,0
0000024_00500_d_0000013,10,<50,60,9,9,9,9,0,0,9,0,11,0,1,1,9,8,0,0
