image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,795,83,106,111,111,5,1,103,0,170,0,76,59,51,47,0,0
0000001_03499_d_0000006,77,50-100,745,56,62,65,65,3,0,81,0,128,0,53,38,20,20,4,4
0000001_03999_d_0000007,48,<50,817,40,44,44,44,0,0,88,0,130,0,26,22,21,21,1,1
0000001_04527_d_0000008,115,100-150,1000,72,96,107,108,12,2,90,0,182,0,72,60,43,36,0,0
0000001_05249_d_0000009,113,100-150,736,91,107,110,110,3,0,115,0,153,0,27,23,85,83,1,1
0000001_05499_d_0000010,140,100-150,650,95,124,127,127,3,0,107,0,137,0,52,39,67,64,21,21
0000001_05999_d_0000011,115,100-150,686,79,105,106,106,1,0,113,0,169,0,66,56,42,42,7,7
0000001_07999_d_0000012,136,100-150,1000,81,106,111,113,7,0,116,0,186,0,99,70,37,36,0,0
0000001_08414_d_0000013,164,150-300,1000,89,135,146,148,13,2,136,0,218,0,107,85,54,47,3,3
0000021_00000_d_0000001,31,<50,153,24,25,25,25,0,0,18,0,22,0,23,18,8,7,0,0
0000021_00500_d_0000002,17,<50,72,17,17,17,17,0,0,17,0,24,0,15,15,2,2,0,0
0000021_00800_d_0000003,7,<50,37,6,6,6,6,0,0,11,0,13,0,7,6,0,0,0,0
0000022_00000_d_0000004,41,<50,151,38,38,38,38,0,0,43,0,56,0,35,32,6,6,0,0
0000022_00500_d_0000005,32,<50,148,30,30,30,30,0,0,31,0,41,0,22,20,10,10,0,0
0000022_01036_d_0000006,16,<50,95,15,15,15,15,0,0,15,0,21,0,4,3,12,12,0,0
0000022_01251_d_0000007,12,<50,137,11,11,11,11,0,0,16,0,21,0,0,0,12,11,0,0
0000023_00000_d_0000008,40,<50,151,36,36,36,36,0,0,43,0,56,0,35,31,5,5,0,0
0000023_00300_d_0000009,30,<50,140,29,29,29,29,0,0,25,0,35,0,25,24,5,5,0,0
0000023_00868_d_0000010,20,<50,142,20,20,20,20,0,0,14,0,21,0,6,6,13,13,1,1
0000023_01233_d_0000011,14,<50,106,13,13,13,13,0,0,13,0,20,0,0,0,14,13,0,0
0000024_00000_d_0000012,21,<50,105,20,20,20,20,0,0,14,0,26,0,9,9,12,11,0,0
0000024_00500_d_0000013,10,<50,109,10,10,10,10,0,0,10,0,12,0,1,1,9,9,0,0
0000024_01000_d_0000014,12,<50,120,7,7,7,7,0,0,6,0,13,0,12,7,0,0,0,0
0000024_01543_d_0000015,8,<50,60,8,8,8,8,0,0,6,0,8,0,1,1,7,7,0,0
0000026_00000_d_0000024,8,<50,22,8,8,8,8,0,0,8,0,8,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,69,15,15,15,15,0,0,18,0,20,0,1,1,4,4,10,10
0000026_01000_d_0000026,25,<50,92,25,25,25,25,0,0,28,0,29,0,3,3,3,3,19,19
0000026_01500_d_0000027,10,<50,57,10,10,10,10,0,0,12,0,12,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,74,9,9,9,9,0,0,12,0,14,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,56,17,17,17,17,0,0,16,0,18,0,9,9,4,4,4,4
0000026_03000_d_0000030,13,<50,62,13,13,13,13,0,0,13,0,14,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,61,22,22,22,22,0,0,26,0,27,0,1,1,6,6,16,15
0000026_04000_d_0000032,14,<50,58,14,14,14,14,0,0,16,0,17,0,0,0,2,2,12,12
0000026_04500_d_0000033,47,<50,363,37,39,39,39,0,0,40,0,63,0,24,18,22,20,1,1
0000026_04978_d_0000034,45,<50,272,40,42,42,42,0,0,39,0,49,0,16,14,28,27,1,1
0000055_00000_d_0000109,101,100-150,814,71,82,86,88,6,0,70,0,105,0,57,42,44,40,0,0
0000055_00714_d_0000110,85,50-100,765,61,73,76,77,4,1,65,0,111,0,48,39,37,34,0,0
0000069_00001_d_0000001,34,<50,194,34,34,34,34,0,0,37,0,43,0,7,7,24,24,3,3
0000069_00483_d_0000002,27,<50,153,27,27,27,27,0,0,30,0,38,0,6,6,19,19,2,2
0000069_00713_d_0000003,49,<50,361,44,49,49,49,0,0,42,0,61,0,22,22,21,21,6,6
0000069_01109_d_0000004,31,<50,202,31,31,31,31,0,0,34,0,47,0,6,6,25,25,0,0
0000069_01878_d_0000005,36,<50,185,34,35,35,35,0,0,40,0,47,0,12,11,21,21,3,3
0000069_02163_d_0000006,49,<50,373,42,45,45,45,0,0,38,0,56,0,17,14,29,28,3,3
0000069_02480_d_0000007,64,50-100,634,54,56,57,57,1,0,60,0,89,0,29,22,34,33,1,1
0000072_02834_d_0000003,73,50-100,419,67,72,72,72,0,0,68,0,86,0,21,20,51,51,1,1
0000076_02142_d_0000009,11,<50,80,11,11,11,11,0,0,9,0,12,0,4,4,4,4,3,3
0000081_00000_d_0000001,86,50-100,1000,65,78,80,81,3,0,175,0,314,1,74,66,12,12,0,0
0000086_00000_d_0000001,37,<50,245,36,37,37,37,0,0,44,0,56,0,21,21,16,16,0,0
0000086_00592_d_0000002,65,50-100,333,57,61,61,61,0,0,66,0,87,0,40,36,25,25,0,0
0000086_01084_d_0000003,146,100-150,733,91,123,131,131,8,0,117,0,169,0,132,109,14,14,0,0
0000086_01443_d_0000004,107,100-150,750,81,101,103,104,3,0,116,0,177,0,96,90,11,11,0,0
0000086_01954_d_0000005,173,150-300,750,92,137,142,143,6,0,116,0,157,0,163,127,10,10,0,0
0000103_00180_d_0000026,1,<50,85,1,1,1,1,0,0,1,0,2,0,0,0,0,0,1,1
0000103_00502_d_0000027,3,<50,23,3,3,3,3,0,0,3,0,4,0,0,0,0,0,3,3
0000103_01734_d_0000028,4,<50,30,4,4,4,4,0,0,4,0,7,0,0,0,0,0,4,4
0000103_02544_d_0000029,14,<50,192,12,14,14,14,0,0,14,0,20,0,0,0,10,10,4,4
0000103_02964_d_0000030,10,<50,165,10,10,10,10,0,0,9,0,18,0,0,0,0,0,10,10
0000103_03349_d_0000031,4,<50,50,4,4,4,4,0,0,5,0,5,0,0,0,0,0,4,4
0000103_03738_d_0000032,3,<50,30,3,3,3,3,0,0,3,0,3,0,0,0,0,0,3,3
0000103_04122_d_0000033,4,<50,116,4,4,4,4,0,0,7,0,7,0,0,0,4,4,0,0
0000103_04513_d_0000034,2,<50,56,2,2,2,2,0,0,2,0,5,0,0,0,1,1,1,1
0000103_04948_d_0000035,1,<50,19,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1
0000115_00315_d_0000080,61,50-100,267,37,42,42,42,0,0,27,0,34,0,56,38,5,4,0,0
0000115_00796_d_0000081,78,50-100,750,58,64,67,68,4,0,48,0,85,0,67,53,11,11,0,0
0000115_01031_d_0000082,63,50-100,617,52,61,62,62,1,0,52,0,82,0,52,50,11,11,0,0
0000116_00351_d_0000083,74,50-100,510,61,70,70,70,0,0,58,0,88,0,65,61,9,9,0,0
0000116_00819_d_0000084,36,<50,506,34,36,36,36,0,0,33,0,53,0,24,24,12,12,0,0
0000116_01059_d_0000085,70,50-100,540,57,65,65,65,0,0,52,0,92,0,59,54,11,11,0,0
0000116_01338_d_0000086,54,50-100,432,43,46,46,46,0,0,33,0,50,0,47,39,5,5,2,2
0000117_00112_d_0000087,129,100-150,438,76,111,115,115,4,0,48,0,75,0,112,95,13,12,4,4
0000117_01326_d_0000088,62,50-100,763,48,55,59,59,4,0,37,0,61,0,34,30,27,24,1,1
0000117_01731_d_0000089,47,<50,309,43,43,43,43,0,0,61,0,84,0,27,24,15,14,5,5
0000117_02708_d_0000090,100,100-150,1000,70,86,93,93,7,0,104,0,165,0,64,54,36,32,0,0
0000117_03096_d_0000091,24,<50,933,24,24,24,24,0,0,91,0,145,0,8,8,14,14,2,2
0000129_02411_d_0000138,186,150-300,842,100,163,173,174,11,0,154,0,218,0,73,51,113,112,0,0
0000153_00001_d_0000001,55,50-100,409,44,48,48,48,0,0,39,0,64,0,47,41,8,7,0,0
0000153_00401_d_0000001,59,50-100,498,50,53,54,54,1,0,54,0,76,0,47,41,11,11,1,1
0000153_00801_d_0000001,49,<50,455,41,45,45,45,0,0,39,0,72,0,40,36,9,9,0,0
0000153_01201_d_0000001,59,50-100,367,44,48,49,49,1,0,40,0,68,0,57,46,2,2,0,0
0000153_01601_d_0000001,63,50-100,296,47,50,50,50,0,0,46,0,65,0,57,44,5,5,1,1
0000153_01801_d_0000001,55,50-100,309,40,44,44,44,0,0,45,0,65,0,52,41,3,3,0,0
0000154_00001_d_0000001,51,50-100,440,43,44,44,44,0,0,50,0,74,0,43,36,8,8,0,0
0000154_00401_d_0000001,60,50-100,412,52,58,58,58,0,0,52,0,80,0,51,49,9,9,0,0
0000154_00801_d_0000001,72,50-100,391,49,57,57,57,0,0,49,0,87,0,67,52,5,5,0,0
0000154_01201_d_0000001,81,50-100,667,57,67,70,70,3,1,64,0,105,0,75,61,6,6,0,0
0000154_01601_d_0000001,101,100-150,610,71,87,88,88,1,0,66,0,115,0,86,73,15,14,0,0
0000154_02001_d_0000001,83,50-100,876,64,71,73,73,2,0,91,0,151,0,74,62,8,8,1,1
0000155_00001_d_0000001,97,50-100,580,74,88,89,89,1,1,70,0,113,0,73,65,23,22,1,1
0000155_00401_d_0000001,122,100-150,659,78,96,103,104,8,1,90,0,143,0,106,81,16,15,0,0
0000155_00801_d_0000001,106,100-150,622,77,95,95,95,0,0,98,0,145,0,86,76,20,19,0,0
0000155_01201_d_0000001,94,50-100,603,67,80,83,83,3,0,74,0,124,0,82,68,12,12,0,0
0000155_01601_d_0000001,73,50-100,530,68,70,71,71,1,0,78,0,106,0,63,60,10,10,0,0
0000155_01871_d_0000001,55,50-100,402,50,52,52,52,0,0,52,0,74,0,46,44,9,8,0,0
0000162_00001_d_0000001,34,<50,352,31,32,32,32,0,0,28,0,49,0,26,24,7,7,1,1
0000162_00401_d_0000001,45,<50,366,41,42,42,42,0,0,47,0,65,0,39,36,5,5,1,1
0000162_00801_d_0000001,30,<50,428,25,26,26,26,0,0,30,0,52,0,25,21,3,3,2,2
0000162_01058_d_0000001,57,50-100,551,46,51,52,52,1,0,37,0,66,0,48,43,9,8,0,0
0000163_00001_d_0000001,69,50-100,552,58,64,64,64,0,0,54,0,87,0,58,55,9,7,2,2
0000163_00359_d_0000001,54,50-100,397,45,48,48,48,0,0,33,0,54,0,49,43,5,5,0,0
0000165_04325_d_0000105,29,<50,236,24,26,26,26,0,0,27,0,33,0,14,11,12,12,3,3
0000166_00558_d_0000118,71,50-100,454,54,60,60,60,0,0,50,0,80,0,19,11,39,36,13,13
0000193_00000_d_0000103,63,50-100,672,56,61,61,61,0,0,62,0,102,0,54,52,9,9,0,0
0000193_01497_d_0000111,87,50-100,771,66,81,85,85,4,0,112,0,157,0,72,66,15,15,0,0
0000193_01705_d_0000112,134,100-150,709,89,116,122,122,6,1,101,0,159,0,117,99,17,17,0,0
0000193_01876_d_0000113,107,100-150,611,80,96,97,97,1,1,74,0,125,0,97,86,10,10,0,0
0000193_02029_d_0000114,93,50-100,584,73,83,83,83,0,0,75,0,115,0,82,72,11,11,0,0
0000193_02212_d_0000115,78,50-100,779,61,67,71,71,4,1,75,0,138,0,73,62,5,5,0,0
0000193_02416_d_0000116,50,50-100,450,41,45,45,45,0,0,38,0,66,0,47,42,3,3,0,0
0000193_02606_d_0000117,49,<50,346,45,47,47,47,0,0,35,0,58,0,48,46,1,1,0,0
0000193_02725_d_0000118,39,<50,293,38,38,38,38,0,0,35,0,49,0,38,37,1,1,0,0
0000194_00000_d_0000119,54,50-100,648,45,50,52,52,2,0,40,0,82,0,51,48,3,2,0,0
0000194_00200_d_0000120,76,50-100,788,57,65,65,66,1,0,74,0,115,0,67,57,9,8,0,0
0000194_00399_d_0000121,143,100-150,711,95,122,123,124,2,0,119,0,167,0,137,116,6,6,0,0
0000194_00625_d_0000122,83,50-100,589,71,75,78,78,3,0,80,0,105,0,73,65,10,10,0,0
0000194_00800_d_0000123,54,50-100,405,42,47,47,47,0,0,43,0,64,0,41,34,13,13,0,0
0000194_00998_d_0000124,42,<50,322,34,35,35,35,0,0,30,0,48,0,37,30,5,5,0,0
0000194_01192_d_0000125,23,<50,319,22,23,23,23,0,0,26,0,48,0,18,18,5,5,0,0
0000196_04512_d_0000144,69,50-100,406,58,59,62,62,3,0,53,0,82,0,62,52,7,7,0,0
0000199_01269_d_0000166,16,<50,155,13,14,14,14,0,0,14,0,22,0,7,5,8,8,1,1
0000213_02500_d_0000240,94,50-100,506,69,82,87,87,5,0,73,0,118,0,85,73,9,9,0,0
0000213_02965_d_0000241,94,50-100,723,78,90,91,92,2,0,95,0,152,0,62,58,29,29,3,3
0000213_03478_d_0000242,115,100-150,717,89,109,109,111,2,0,108,0,175,0,70,64,40,40,5,5
0000213_03920_d_0000243,164,150-300,920,97,144,149,153,9,1,153,0,236,0,98,80,60,58,6,6
0000213_04405_d_0000244,106,100-150,697,82,98,102,102,4,0,113,0,173,0,62,55,38,37,6,6
0000213_04998_d_0000245,137,100-150,1000,87,122,127,127,5,0,152,0,238,0,94,81,38,36,5,5
