image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,1000,42,59,62,66,7,0,80,0,167,0,76,34,51,25,0,0
0000001_03499_d_0000006,77,50-100,1000,25,30,32,33,3,0,57,0,132,0,53,11,20,15,4,4
0000001_03999_d_0000007,48,<50,1000,19,25,28,28,3,1,56,0,140,0,26,10,21,14,1,1
0000001_04527_d_0000008,115,100-150,1000,31,52,58,61,9,0,68,0,230,0,72,25,43,27,0,0
0000001_05249_d_0000009,113,100-150,1000,65,76,77,78,2,0,106,0,158,0,27,8,85,67,1,1
0000001_05499_d_0000010,140,100-150,1000,78,84,87,91,7,0,87,0,130,0,52,10,67,54,21,20
0000001_05999_d_0000011,115,100-150,1000,49,56,60,62,6,0,78,0,191,0,66,14,42,35,7,7
0000001_07999_d_0000012,136,100-150,1000,41,47,50,51,4,0,73,0,201,0,99,25,37,22,0,0
0000001_08414_d_0000013,164,150-300,1000,54,70,77,84,14,1,99,0,243,0,107,32,54,35,3,3
0000021_00000_d_0000001,31,<50,382,9,12,12,12,0,0,11,0,19,0,23,6,8,6,0,0
0000021_00500_d_0000002,17,<50,366,10,10,10,10,0,0,13,0,26,0,15,8,2,2,0,0
0000021_00800_d_0000003,7,<50,268,5,5,5,5,0,0,5,0,24,0,7,5,0,0,0,0
0000022_00000_d_0000004,41,<50,680,22,23,23,23,0,0,34,0,60,0,35,19,6,4,0,0
0000022_00500_d_0000005,32,<50,548,19,22,23,23,1,0,28,0,39,0,22,14,10,8,0,0
0000022_01036_d_0000006,16,<50,518,6,8,9,9,1,0,12,0,30,0,4,0,12,8,0,0
0000022_01251_d_0000007,12,<50,394,6,7,8,8,1,0,11,0,27,0,0,0,12,7,0,0
0000023_00000_d_0000008,40,<50,680,22,22,25,26,4,0,34,0,60,0,35,18,5,4,0,0
0000023_00300_d_0000009,30,<50,640,8,11,13,13,2,0,21,0,42,0,25,8,5,3,0,0
0000023_00868_d_0000010,20,<50,496,11,13,14,14,1,0,10,0,29,0,6,5,13,7,1,1
0000023_01233_d_0000011,14,<50,412,6,7,9,9,2,1,11,0,20,0,0,0,14,7,0,0
0000024_00000_d_0000012,21,<50,466,6,10,11,11,1,0,12,0,27,0,9,2,12,8,0,0
0000024_00500_d_0000013,10,<50,260,0,2,2,2,0,0,9,0,12,0,1,1,9,1,0,0
0000024_01000_d_0000014,12,<50,303,4,4,4,4,0,0,4,0,8,0,12,4,0,0,0,0
0000024_01543_d_0000015,8,<50,300,4,4,4,4,0,0,6,0,11,0,1,1,7,3,0,0
0000026_00000_d_0000024,8,<50,52,8,8,8,8,0,0,9,0,10,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,164,13,13,13,13,0,0,18,0,23,0,1,1,4,2,10,10
0000026_01000_d_0000026,25,<50,270,24,24,24,24,0,0,25,0,32,0,3,3,3,2,19,19
0000026_01500_d_0000027,10,<50,64,10,10,10,10,0,0,12,0,15,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,67,9,9,9,9,0,0,11,0,14,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,241,14,17,17,17,0,0,15,0,19,0,9,9,4,4,4,4
0000026_03000_d_0000030,13,<50,187,13,13,13,13,0,0,12,0,13,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,144,19,19,19,19,0,0,23,0,29,0,1,0,6,5,16,14
0000026_04000_d_0000032,14,<50,77,14,14,14,14,0,0,15,0,16,0,0,0,2,2,12,12
0000026_04500_d_0000033,47,<50,927,23,29,31,31,2,0,38,0,54,0,24,12,22,16,1,1
0000026_04978_d_0000034,45,<50,641,32,35,35,36,1,0,37,0,52,0,16,11,28,23,1,1
0000055_00000_d_0000109,101,100-150,1000,39,50,54,55,5,0,42,0,77,0,57,22,44,28,0,0
0000055_00714_d_0000110,85,50-100,1000,31,40,45,47,7,0,42,0,74,0,48,22,37,18,0,0
0000069_00001_d_0000001,34,<50,518,25,28,30,30,2,0,28,0,40,0,7,7,24,18,3,3
0000069_00483_d_0000002,27,<50,505,20,21,21,21,0,0,30,0,35,0,6,3,19,16,2,2
0000069_00713_d_0000003,49,<50,1000,33,37,38,43,6,0,37,0,71,0,22,14,21,19,6,4
0000069_01109_d_0000004,31,<50,1000,12,17,17,18,1,0,27,0,36,0,6,3,25,14,0,0
0000069_01878_d_0000005,36,<50,561,25,29,31,31,2,0,31,0,50,0,12,7,21,19,3,3
0000069_02163_d_0000006,49,<50,1000,31,33,35,35,2,0,38,0,60,0,17,9,29,21,3,3
0000069_02480_d_0000007,64,50-100,1000,26,28,30,31,3,0,44,0,89,0,29,8,34,19,1,1
0000072_02834_d_0000003,73,50-100,1000,51,56,60,62,6,0,65,0,92,0,21,11,51,44,1,1
0000076_02142_d_0000009,11,<50,121,9,9,9,9,0,0,11,0,12,0,4,3,4,4,3,2
0000081_00000_d_0000001,86,50-100,1000,32,37,38,38,1,0,120,0,307,1,74,31,12,6,0,0
0000086_00000_d_0000001,37,<50,857,17,21,22,23,2,0,40,0,55,0,21,12,16,9,0,0
0000086_00592_d_0000002,65,50-100,1000,27,32,34,35,3,0,52,0,86,0,40,15,25,17,0,0
0000086_01084_d_0000003,146,100-150,1000,30,39,44,50,11,0,88,0,179,0,132,32,14,7,0,0
0000086_01443_d_0000004,107,100-150,1000,38,48,52,56,8,0,96,0,188,0,96,42,11,6,0,0
0000086_01954_d_0000005,173,150-300,1000,32,44,49,52,8,0,102,0,171,0,163,39,10,5,0,0
0000103_00180_d_0000026,1,<50,74,1,1,1,1,0,0,1,0,2,0,0,0,0,0,1,1
0000103_00502_d_0000027,3,<50,28,3,3,3,3,0,0,4,0,5,0,0,0,0,0,3,3
0000103_01734_d_0000028,4,<50,80,4,4,4,4,0,0,5,0,9,0,0,0,0,0,4,4
0000103_02544_d_0000029,14,<50,399,6,10,10,10,0,0,9,0,16,0,0,0,10,7,4,3
0000103_02964_d_0000030,10,<50,312,8,10,10,10,0,0,10,0,19,0,0,0,0,0,10,10
0000103_03349_d_0000031,4,<50,106,2,2,2,2,0,0,4,0,4,0,0,0,0,0,4,2
0000103_03738_d_0000032,3,<50,58,3,3,3,3,0,0,3,0,3,0,0,0,0,0,3,3
0000103_04122_d_0000033,4,<50,129,1,1,1,1,0,0,6,0,8,0,0,0,4,1,0,0
0000103_04513_d_0000034,2,<50,156,2,2,2,2,0,0,3,0,3,0,0,0,1,1,1,1
0000103_04948_d_0000035,1,<50,118,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1
0000115_00315_d_0000080,61,50-100,1000,21,24,26,26,2,0,23,0,49,0,56,20,5,4,0,0
0000115_00796_d_0000081,78,50-100,1000,31,43,46,49,6,0,39,0,105,0,67,34,11,9,0,0
0000115_01031_d_0000082,63,50-100,1000,25,33,36,38,5,0,47,0,129,0,52,23,11,10,0,0
0000116_00351_d_0000083,74,50-100,1000,36,43,45,48,5,0,52,0,108,0,65,34,9,9,0,0
0000116_00819_d_0000084,36,<50,1000,16,21,25,28,7,0,23,0,63,0,24,12,12,9,0,0
0000116_01059_d_0000085,70,50-100,1000,27,35,36,38,3,0,40,0,100,0,59,28,11,7,0,0
0000116_01338_d_0000086,54,50-100,1000,19,29,30,30,1,0,27,0,59,0,47,22,5,5,2,2
0000117_00112_d_0000087,129,100-150,1000,43,61,68,69,8,0,73,0,144,0,112,47,13,10,4,4
0000117_01326_d_0000088,62,50-100,1000,28,28,30,33,5,0,57,0,126,0,34,10,27,17,1,1
0000117_01731_d_0000089,47,<50,1000,24,25,28,29,4,0,55,0,90,0,27,11,15,9,5,5
0000117_02708_d_0000090,100,100-150,1000,25,32,34,34,2,0,77,0,181,0,64,18,36,14,0,0
0000117_03096_d_0000091,24,<50,1000,11,14,14,14,0,0,81,0,208,0,8,3,14,9,2,2
0000129_02411_d_0000138,186,150-300,1000,96,119,124,127,8,0,138,0,215,0,73,17,113,102,0,0
0000153_00001_d_0000001,55,50-100,1000,15,21,24,24,3,0,30,0,70,0,47,15,8,6,0,0
0000153_00401_d_0000001,59,50-100,1000,26,31,32,34,3,0,43,0,95,0,47,21,11,9,1,1
0000153_00801_d_0000001,49,<50,1000,19,22,25,27,5,0,34,0,67,0,40,15,9,7,0,0
0000153_01201_d_0000001,59,50-100,1000,17,18,19,20,2,0,34,0,79,0,57,17,2,1,0,0
0000153_01601_d_0000001,63,50-100,1000,16,21,22,25,4,0,34,0,85,0,57,18,5,2,1,1
0000153_01801_d_0000001,55,50-100,1000,16,17,17,17,0,0,37,0,75,0,52,14,3,3,0,0
0000154_00001_d_0000001,51,50-100,1000,21,24,25,27,3,0,34,0,86,0,43,18,8,6,0,0
0000154_00401_d_0000001,60,50-100,1000,26,29,31,31,2,0,46,0,82,0,51,22,9,7,0,0
0000154_00801_d_0000001,72,50-100,1000,19,23,23,24,1,1,36,0,86,0,67,20,5,3,0,0
0000154_01201_d_0000001,81,50-100,1000,34,37,39,40,3,0,42,0,97,0,75,34,6,3,0,0
0000154_01601_d_0000001,101,100-150,1000,28,36,41,42,6,0,49,0,137,0,86,26,15,10,0,0
0000154_02001_d_0000001,83,50-100,1000,32,34,39,40,6,0,67,0,150,0,74,26,8,7,1,1
0000155_00001_d_0000001,97,50-100,1000,41,51,54,58,7,1,56,0,117,0,73,33,23,17,1,1
0000155_00401_d_0000001,122,100-150,1000,36,48,51,53,5,0,76,0,152,0,106,36,16,12,0,0
0000155_00801_d_0000001,106,100-150,1000,40,53,58,61,8,0,72,0,177,0,86,38,20,15,0,0
0000155_01201_d_0000001,94,50-100,1000,26,30,35,39,9,0,62,0,138,0,82,20,12,10,0,0
0000155_01601_d_0000001,73,50-100,1000,35,40,43,44,4,0,76,0,149,0,63,30,10,10,0,0
0000155_01871_d_0000001,55,50-100,1000,30,32,36,36,4,0,51,0,105,0,46,29,9,3,0,0
