image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,932,72,103,110,111,8,1,94,0,193,0,76,56,51,47,0,0
0000001_03499_d_0000006,77,50-100,933,49,58,60,61,3,0,69,0,135,0,53,34,20,20,4,4
0000001_03999_d_0000007,48,<50,1000,37,41,44,44,3,2,62,0,133,0,26,21,21,19,1,1
0000001_04527_d_0000008,115,100-150,1000,57,87,96,101,14,0,122,0,274,0,72,49,43,38,0,0
0000001_05249_d_0000009,113,100-150,989,84,108,110,111,3,0,112,0,172,0,27,23,85,84,1,1
0000001_05499_d_0000010,140,100-150,904,92,120,123,127,7,0,92,0,147,0,52,34,67,65,21,21
0000001_05999_d_0000011,115,100-150,1000,73,101,105,105,4,0,98,0,203,0,66,54,42,40,7,7
0000001_07999_d_0000012,136,100-150,1000,71,97,107,107,10,0,96,0,219,0,99,67,37,30,0,0
0000001_08414_d_0000013,164,150-300,1000,83,131,139,145,14,3,120,0,250,0,107,81,54,47,3,3
0000021_00000_d_0000001,31,<50,183,20,21,21,21,0,0,12,0,21,0,23,13,8,8,0,0
0000021_00500_d_0000002,17,<50,152,16,16,16,16,0,0,15,0,26,0,15,14,2,2,0,0
0000021_00800_d_0000003,7,<50,87,6,6,6,6,0,0,11,0,21,0,7,6,0,0,0,0
0000022_00000_d_0000004,41,<50,204,36,38,38,38,0,0,37,0,59,0,35,32,6,6,0,0
0000022_00500_d_0000005,32,<50,187,30,30,30,30,0,0,34,0,46,0,22,20,10,10,0,0
0000022_01036_d_0000006,16,<50,344,16,16,16,16,0,0,18,0,33,0,4,4,12,12,0,0
0000022_01251_d_0000007,12,<50,294,10,12,12,12,0,0,15,0,30,0,0,0,12,12,0,0
0000023_00000_d_0000008,40,<50,204,36,37,37,37,0,0,37,0,59,0,35,32,5,5,0,0
0000023_00300_d_0000009,30,<50,204,29,30,30,30,0,0,25,0,45,0,25,25,5,5,0,0
0000023_00868_d_0000010,20,<50,292,20,20,20,20,0,0,14,0,28,0,6,6,13,13,1,1
0000023_01233_d_0000011,14,<50,263,11,14,14,14,0,0,13,0,33,0,0,0,14,14,0,0
0000024_00000_d_0000012,21,<50,188,19,19,19,19,0,0,18,0,34,0,9,8,12,11,0,0
0000024_00500_d_0000013,10,<50,159,9,9,9,9,0,0,10,0,16,0,1,1,9,8,0,0
0000024_01000_d_0000014,12,<50,175,7,7,7,7,0,0,5,0,9,0,12,7,0,0,0,0
0000024_01543_d_0000015,8,<50,162,8,8,8,8,0,0,6,0,12,0,1,1,7,7,0,0
0000026_00000_d_0000024,8,<50,35,8,8,8,8,0,0,8,0,9,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,79,15,15,15,15,0,0,18,0,22,0,1,1,4,4,10,10
0000026_01000_d_0000026,25,<50,174,25,25,25,25,0,0,26,0,33,0,3,3,3,3,19,19
0000026_01500_d_0000027,10,<50,55,10,10,10,10,0,0,14,0,14,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,51,9,9,9,9,0,0,13,0,13,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,98,17,17,17,17,0,0,17,0,27,0,9,9,4,4,4,4
0000026_03000_d_0000030,13,<50,130,13,13,13,13,0,0,14,0,16,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,68,22,22,22,22,0,0,24,0,27,0,1,1,6,6,16,15
0000026_04000_d_0000032,14,<50,49,14,14,14,14,0,0,15,0,16,0,0,0,2,2,12,12
0000026_04500_d_0000033,47,<50,500,37,38,38,38,0,0,44,0,53,0,24,17,22,20,1,1
0000026_04978_d_0000034,45,<50,431,40,41,41,41,0,0,36,0,51,0,16,14,28,26,1,1
0000055_00000_d_0000109,101,100-150,1000,63,79,88,92,13,1,54,0,96,0,57,40,44,39,0,0
0000055_00714_d_0000110,85,50-100,1000,57,69,77,78,9,0,43,0,110,0,48,34,37,35,0,0
0000069_00001_d_0000001,34,<50,254,34,34,34,34,0,0,32,0,48,0,7,7,24,24,3,3
0000069_00483_d_0000002,27,<50,190,27,27,27,27,0,0,32,0,44,0,6,6,19,19,2,2
0000069_00713_d_0000003,49,<50,438,41,47,49,49,2,0,54,0,87,0,22,20,21,21,6,6
0000069_01109_d_0000004,31,<50,709,29,29,29,29,0,0,31,0,47,0,6,6,25,23,0,0
0000069_01878_d_0000005,36,<50,221,35,35,35,35,0,0,41,0,55,0,12,11,21,21,3,3
0000069_02163_d_0000006,49,<50,557,39,44,46,46,2,0,41,0,69,0,17,14,29,27,3,3
0000069_02480_d_0000007,64,50-100,929,49,55,56,57,2,0,55,0,105,0,29,22,34,32,1,1
0000072_02834_d_0000003,73,50-100,630,62,68,71,73,5,0,73,0,128,0,21,17,51,50,1,1
0000076_02142_d_0000009,11,<50,115,11,11,11,11,0,0,11,0,12,0,4,4,4,4,3,3
0000081_00000_d_0000001,86,50-100,1000,60,75,79,81,6,0,173,0,384,1,74,65,12,10,0,0
0000086_00000_d_0000001,37,<50,373,34,36,37,37,1,0,47,0,68,0,21,20,16,16,0,0
0000086_00592_d_0000002,65,50-100,564,55,60,60,60,0,0,59,0,89,0,40,35,25,25,0,0
0000086_01084_d_0000003,146,100-150,1000,75,111,121,123,12,1,115,0,223,0,132,98,14,13,0,0
0000086_01443_d_0000004,107,100-150,1000,75,93,98,100,7,0,115,0,239,0,96,82,11,11,0,0
0000086_01954_d_0000005,173,150-300,1000,82,111,119,125,14,0,122,0,221,0,163,102,10,9,0,0
0000103_00180_d_0000026,1,<50,93,1,1,1,1,0,0,2,0,2,0,0,0,0,0,1,1
0000103_00502_d_0000027,3,<50,25,3,3,3,3,0,0,4,0,5,0,0,0,0,0,3,3
0000103_01734_d_0000028,4,<50,47,4,4,4,4,0,0,4,0,7,0,0,0,0,0,4,4
0000103_02544_d_0000029,14,<50,329,12,13,13,13,0,0,13,0,20,0,0,0,10,9,4,4
0000103_02964_d_0000030,10,<50,193,10,10,10,10,0,0,14,0,25,0,0,0,0,0,10,10
0000103_03349_d_0000031,4,<50,59,4,4,4,4,0,0,4,0,8,0,0,0,0,0,4,4
0000103_03738_d_0000032,3,<50,20,3,3,3,3,0,0,3,0,4,0,0,0,0,0,3,3
0000103_04122_d_0000033,4,<50,77,4,4,4,4,0,0,4,0,5,0,0,0,4,4,0,0
0000103_04513_d_0000034,2,<50,148,2,2,2,2,0,0,4,0,6,0,0,0,1,1,1,1
0000103_04948_d_0000035,1,<50,68,1,1,1,1,0,0,1,0,2,0,0,0,0,0,1,1
0000115_00315_d_0000080,61,50-100,603,37,43,46,46,3,0,21,0,53,0,56,39,5,4,0,0
0000115_00796_d_0000081,78,50-100,1000,53,66,69,70,4,0,55,0,121,0,67,55,11,11,0,0
0000115_01031_d_0000082,63,50-100,1000,50,59,62,63,4,0,56,0,153,0,52,48,11,11,0,0
0000116_00351_d_0000083,74,50-100,718,58,66,69,69,3,0,58,0,102,0,65,57,9,9,0,0
0000116_00819_d_0000084,36,<50,913,32,33,35,35,2,0,27,0,70,0,24,21,12,12,0,0
0000116_01059_d_0000085,70,50-100,884,47,61,62,63,2,0,56,0,107,0,59,50,11,11,0,0
0000116_01338_d_0000086,54,50-100,638,38,45,46,46,1,0,29,0,53,0,47,38,5,5,2,2
0000117_00112_d_0000087,129,100-150,937,75,112,121,121,9,0,95,0,214,0,112,96,13,12,4,4
0000117_01326_d_0000088,62,50-100,1000,46,53,58,60,7,0,67,0,158,0,34,29,27,23,1,1
0000117_01731_d_0000089,47,<50,410,44,45,45,45,0,0,60,0,93,0,27,25,15,15,5,5
0000117_02708_d_0000090,100,100-150,1000,60,87,93,94,7,0,95,0,205,0,64,54,36,33,0,0
0000117_03096_d_0000091,24,<50,1000,24,24,24,24,0,0,96,0,251,0,8,8,14,14,2,2
0000129_02411_d_0000138,186,150-300,1000,99,159,162,165,6,0,146,0,202,0,73,46,113,113,0,0
0000153_00001_d_0000001,55,50-100,547,43,50,51,51,1,0,38,0,71,0,47,42,8,8,0,0
0000153_00401_d_0000001,59,50-100,751,50,55,55,55,0,0,54,0,89,0,47,43,11,11,1,1
0000153_00801_d_0000001,49,<50,643,41,44,45,45,1,1,37,0,74,0,40,35,9,9,0,0
0000153_01201_d_0000001,59,50-100,545,39,44,47,47,3,0,43,0,83,0,57,42,2,2,0,0
0000153_01601_d_0000001,63,50-100,505,47,52,54,54,2,0,33,0,85,0,57,46,5,5,1,1
0000153_01801_d_0000001,55,50-100,562,40,42,42,42,0,0,39,0,80,0,52,39,3,3,0,0
0000154_00001_d_0000001,51,50-100,613,41,45,45,45,0,0,41,0,85,0,43,37,8,8,0,0
0000154_00401_d_0000001,60,50-100,623,53,57,57,57,0,0,42,0,82,0,51,48,9,9,0,0
0000154_00801_d_0000001,72,50-100,614,48,59,61,61,2,0,37,0,95,0,67,55,5,4,0,0
0000154_01201_d_0000001,81,50-100,921,51,64,65,66,2,0,55,0,107,0,75,58,6,6,0,0
0000154_01601_d_0000001,101,100-150,1000,67,87,91,92,5,0,63,0,134,0,86,73,15,14,0,0
0000154_02001_d_0000001,83,50-100,1000,63,73,77,78,5,0,77,0,141,0,74,64,8,8,1,1
0000155_00001_d_0000001,97,50-100,844,67,82,87,87,5,0,76,0,123,0,73,60,23,21,1,1
0000155_00401_d_0000001,122,100-150,1000,69,97,107,108,11,3,87,0,160,0,106,82,16,15,0,0
0000155_00801_d_0000001,106,100-150,982,71,91,94,96,5,0,92,0,185,0,86,72,20,19,0,0
0000155_01201_d_0000001,94,50-100,896,63,82,89,91,9,1,67,0,158,0,82,71,12,11,0,0
0000155_01601_d_0000001,73,50-100,851,65,70,71,72,2,1,86,0,139,0,63,60,10,10,0,0
0000155_01871_d_0000001,55,50-100,629,47,53,53,53,0,0,51,0,89,0,46,44,9,9,0,0
0000162_00001_d_0000001,34,<50,534,31,31,32,32,1,0,32,0,59,0,26,23,7,7,1,1
0000162_00401_d_0000001,45,<50,559,39,39,39,39,0,0,48,0,72,0,39,33,5,5,1,1
0000162_00801_d_0000001,30,<50,568,25,26,26,26,0,0,24,0,52,0,25,21,3,3,2,2
0000162_01058_d_0000001,57,50-100,882,42,50,50,51,1,0,32,0,68,0,48,42,9,8,0,0
0000163_00001_d_0000001,69,50-100,883,57,61,63,65,4,0,47,0,90,0,58,53,9,7,2,1
0000163_00359_d_0000001,54,50-100,507,39,47,47,47,0,0,25,0,48,0,49,42,5,5,0,0
0000165_04325_d_0000105,29,<50,467,23,25,26,26,1,0,25,0,46,0,14,12,12,10,3,3
0000166_00558_d_0000118,71,50-100,514,49,57,58,58,1,0,42,0,81,0,19,12,39,33,13,12
0000193_00000_d_0000103,63,50-100,972,47,54,56,56,2,1,48,0,108,0,54,45,9,9,0,0
