image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,1000,68,99,108,111,12,1,80,0,167,0,76,59,51,40,0,0
0000001_03499_d_0000006,77,50-100,1000,51,61,66,67,6,0,57,0,132,0,53,37,20,20,4,4
0000001_03999_d_0000007,48,<50,1000,38,42,42,43,1,0,56,0,140,0,26,23,21,18,1,1
0000001_04527_d_0000008,115,100-150,1000,55,90,98,103,13,0,68,0,230,0,72,53,43,37,0,0
0000001_05249_d_0000009,113,100-150,1000,80,104,107,110,6,0,106,0,158,0,27,22,85,81,1,1
0000001_05499_d_0000010,140,100-150,1000,90,118,124,127,9,2,87,0,130,0,52,32,67,65,21,21
0000001_05999_d_0000011,115,100-150,1000,75,100,103,105,5,0,78,0,191,0,66,55,42,38,7,7
0000001_07999_d_0000012,136,100-150,1000,67,99,107,109,10,0,73,0,201,0,99,66,37,33,0,0
0000001_08414_d_0000013,164,150-300,1000,78,119,138,145,26,6,99,0,243,0,107,73,54,43,3,3
0000021_00000_d_0000001,31,<50,382,19,20,20,20,0,0,11,0,19,0,23,13,8,7,0,0
0000021_00500_d_0000002,17,<50,366,15,17,17,17,0,0,13,0,26,0,15,15,2,2,0,0
0000021_00800_d_0000003,7,<50,268,6,6,6,6,0,0,5,0,24,0,7,6,0,0,0,0
0000022_00000_d_0000004,41,<50,680,34,37,37,38,1,0,34,0,60,0,35,31,6,6,0,0
0000022_00500_d_0000005,32,<50,548,30,30,31,31,1,0,28,0,39,0,22,21,10,9,0,0
0000022_01036_d_0000006,16,<50,518,16,16,16,16,0,0,12,0,30,0,4,4,12,12,0,0
0000022_01251_d_0000007,12,<50,394,11,11,12,12,1,0,11,0,27,0,0,0,12,11,0,0
0000023_00000_d_0000008,40,<50,680,35,37,37,37,0,0,34,0,60,0,35,32,5,5,0,0
0000023_00300_d_0000009,30,<50,640,26,29,30,30,1,0,21,0,42,0,25,24,5,5,0,0
0000023_00868_d_0000010,20,<50,496,19,20,20,20,0,0,10,0,29,0,6,6,13,13,1,1
0000023_01233_d_0000011,14,<50,412,11,14,14,14,0,0,11,0,20,0,0,0,14,14,0,0
0000024_00000_d_0000012,21,<50,466,18,20,20,20,0,0,12,0,27,0,9,9,12,11,0,0
0000024_00500_d_0000013,10,<50,260,8,9,9,9,0,0,9,0,12,0,1,1,9,8,0,0
0000024_01000_d_0000014,12,<50,303,7,7,7,7,0,0,4,0,8,0,12,7,0,0,0,0
0000024_01543_d_0000015,8,<50,300,8,8,8,8,0,0,6,0,11,0,1,1,7,7,0,0
0000026_00000_d_0000024,8,<50,52,8,8,8,8,0,0,9,0,10,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,164,15,15,15,15,0,0,18,0,23,0,1,1,4,4,10,10
0000026_01000_d_0000026,25,<50,270,25,25,25,25,0,0,25,0,32,0,3,3,3,3,19,19
0000026_01500_d_0000027,10,<50,64,10,10,10,10,0,0,12,0,15,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,67,9,9,9,9,0,0,11,0,14,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,241,17,17,17,17,0,0,15,0,19,0,9,9,4,4,4,4
0000026_03000_d_0000030,13,<50,187,13,13,13,13,0,0,12,0,13,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,144,22,22,22,22,0,0,23,0,29,0,1,1,6,6,16,15
0000026_04000_d_0000032,14,<50,77,14,14,14,14,0,0,15,0,16,0,0,0,2,2,12,12
0000026_04500_d_0000033,47,<50,927,37,39,39,39,0,0,38,0,54,0,24,18,22,20,1,1
0000026_04978_d_0000034,45,<50,641,39,41,42,42,1,0,37,0,52,0,16,14,28,26,1,1
0000055_00000_d_0000109,101,100-150,1000,58,74,83,85,11,1,42,0,77,0,57,37,44,37,0,0
0000055_00714_d_0000110,85,50-100,1000,56,69,73,76,7,0,42,0,74,0,48,36,37,33,0,0
0000069_00001_d_0000001,34,<50,518,33,33,33,33,0,0,28,0,40,0,7,7,24,23,3,3
0000069_00483_d_0000002,27,<50,505,27,27,27,27,0,0,30,0,35,0,6,6,19,19,2,2
0000069_00713_d_0000003,49,<50,1000,41,45,46,49,4,0,37,0,71,0,22,18,21,21,6,6
0000069_01109_d_0000004,31,<50,1000,28,29,30,30,1,0,27,0,36,0,6,6,25,23,0,0
0000069_01878_d_0000005,36,<50,561,33,35,35,35,0,0,31,0,50,0,12,11,21,21,3,3
0000069_02163_d_0000006,49,<50,1000,38,41,45,45,4,0,38,0,60,0,17,14,29,24,3,3
0000069_02480_d_0000007,64,50-100,1000,48,56,58,59,3,0,44,0,89,0,29,25,34,30,1,1
0000072_02834_d_0000003,73,50-100,1000,62,68,72,72,4,0,65,0,92,0,21,16,51,51,1,1
0000076_02142_d_0000009,11,<50,121,11,11,11,11,0,0,11,0,12,0,4,4,4,4,3,3
0000081_00000_d_0000001,86,50-100,1000,57,76,78,81,5,0,120,0,307,1,74,66,12,10,0,0
0000086_00000_d_0000001,37,<50,857,35,35,35,35,0,0,40,0,55,0,21,19,16,16,0,0
0000086_00592_d_0000002,65,50-100,1000,53,61,61,62,1,0,52,0,86,0,40,36,25,25,0,0
0000086_01084_d_0000003,146,100-150,1000,72,104,120,128,24,1,88,0,179,0,132,92,14,12,0,0
0000086_01443_d_0000004,107,100-150,1000,71,92,97,103,11,0,96,0,188,0,96,81,11,11,0,0
0000086_01954_d_0000005,173,150-300,1000,82,114,126,134,20,0,102,0,171,0,163,105,10,9,0,0
0000103_00180_d_0000026,1,<50,74,1,1,1,1,0,0,1,0,2,0,0,0,0,0,1,1
0000103_00502_d_0000027,3,<50,28,3,3,3,3,0,0,4,0,5,0,0,0,0,0,3,3
0000103_01734_d_0000028,4,<50,80,4,4,4,4,0,0,5,0,9,0,0,0,0,0,4,4
0000103_02544_d_0000029,14,<50,399,11,13,13,13,0,0,9,0,16,0,0,0,10,10,4,3
0000103_02964_d_0000030,10,<50,312,9,10,10,10,0,0,10,0,19,0,0,0,0,0,10,10
0000103_03349_d_0000031,4,<50,106,4,4,4,4,0,0,4,0,4,0,0,0,0,0,4,4
0000103_03738_d_0000032,3,<50,58,3,3,3,3,0,0,3,0,3,0,0,0,0,0,3,3
0000103_04122_d_0000033,4,<50,129,4,4,4,4,0,0,6,0,8,0,0,0,4,4,0,0
0000103_04513_d_0000034,2,<50,156,2,2,2,2,0,0,3,0,3,0,0,0,1,1,1,1
0000103_04948_d_0000035,1,<50,118,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1
0000115_00315_d_0000080,61,50-100,1000,37,42,44,46,4,0,23,0,49,0,56,38,5,4,0,0
0000115_00796_d_0000081,78,50-100,1000,47,66,70,71,5,1,39,0,105,0,67,55,11,11,0,0
0000115_01031_d_0000082,63,50-100,1000,46,55,59,62,7,0,47,0,129,0,52,45,11,10,0,0
0000116_00351_d_0000083,74,50-100,1000,55,63,67,68,5,0,52,0,108,0,65,54,9,9,0,0
0000116_00819_d_0000084,36,<50,1000,32,34,34,34,0,0,23,0,63,0,24,22,12,12,0,0
0000116_01059_d_0000085,70,50-100,1000,45,60,64,65,5,1,40,0,100,0,59,50,11,10,0,0
0000116_01338_d_0000086,54,50-100,1000,35,44,47,48,4,0,27,0,59,0,47,37,5,5,2,2
0000117_00112_d_0000087,129,100-150,1000,78,109,122,123,14,0,73,0,144,0,112,93,13,12,4,4
0000117_01326_d_0000088,62,50-100,1000,44,54,56,59,5,0,57,0,126,0,34,30,27,23,1,1
0000117_01731_d_0000089,47,<50,1000,44,45,45,46,1,0,55,0,90,0,27,25,15,15,5,5
0000117_02708_d_0000090,100,100-150,1000,59,84,91,94,10,0,77,0,181,0,64,53,36,31,0,0
0000117_03096_d_0000091,24,<50,1000,23,24,24,24,0,0,81,0,208,0,8,8,14,14,2,2
0000129_02411_d_0000138,186,150-300,1000,98,157,166,169,12,0,138,0,215,0,73,47,113,110,0,0
0000153_00001_d_0000001,55,50-100,1000,39,50,52,52,2,0,30,0,70,0,47,43,8,7,0,0
0000153_00401_d_0000001,59,50-100,1000,43,52,52,53,1,0,43,0,95,0,47,41,11,10,1,1
0000153_00801_d_0000001,49,<50,1000,38,43,43,44,1,1,34,0,67,0,40,34,9,9,0,0
0000153_01201_d_0000001,59,50-100,1000,37,44,47,50,6,0,34,0,79,0,57,42,2,2,0,0
0000153_01601_d_0000001,63,50-100,1000,45,53,54,56,3,0,34,0,85,0,57,48,5,4,1,1
0000153_01801_d_0000001,55,50-100,1000,41,44,44,45,1,0,37,0,75,0,52,41,3,3,0,0
0000154_00001_d_0000001,51,50-100,1000,39,45,48,48,3,0,34,0,86,0,43,37,8,8,0,0
