image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,1000,42,56,59,63,7,0,79,0,196,0,76,33,51,23,0,0
0000001_03499_d_0000006,77,50-100,1000,28,32,34,36,4,0,56,0,129,0,53,12,20,16,4,4
0000001_03999_d_0000007,48,<50,1000,23,27,31,31,4,1,63,0,136,0,26,13,21,13,1,1
0000001_04527_d_0000008,115,100-150,1000,38,56,60,69,13,2,63,0,183,0,72,31,43,25,0,0
0000001_05249_d_0000009,113,100-150,1000,69,77,78,79,2,0,98,0,167,0,27,6,85,70,1,1
0000001_05499_d_0000010,140,100-150,1000,79,86,89,90,4,0,92,0,141,0,52,10,67,56,21,20
0000001_05999_d_0000011,115,100-150,1000,54,59,62,62,3,0,85,0,184,0,66,15,42,37,7,7
0000001_07999_d_0000012,136,100-150,1000,38,47,52,53,6,0,75,0,190,0,99,25,37,22,0,0
0000001_08414_d_0000013,164,150-300,1000,53,71,83,87,16,0,96,0,240,0,107,33,54,35,3,3
0000021_00000_d_0000001,31,<50,381,12,13,14,14,1,0,10,0,15,0,23,6,8,7,0,0
0000021_00500_d_0000002,17,<50,339,9,9,9,9,0,0,6,0,21,0,15,7,2,2,0,0
0000021_00800_d_0000003,7,<50,213,4,4,4,4,0,0,5,0,13,0,7,4,0,0,0,0
0000022_00000_d_0000004,41,<50,680,21,24,28,28,4,0,29,0,48,0,35,19,6,5,0,0
0000022_00500_d_0000005,32,<50,518,18,21,23,23,2,0,25,0,44,0,22,13,10,8,0,0
0000022_01036_d_0000006,16,<50,603,6,7,8,8,1,0,10,0,23,0,4,0,12,7,0,0
0000022_01251_d_0000007,12,<50,451,6,9,9,9,0,0,10,0,20,0,0,0,12,9,0,0
0000023_00000_d_0000008,40,<50,680,19,22,22,22,0,0,29,0,48,0,35,19,5,3,0,0
0000023_00300_d_0000009,30,<50,602,9,12,13,13,1,0,23,0,43,0,25,9,5,3,0,0
0000023_00868_d_0000010,20,<50,537,9,10,12,12,2,0,17,0,23,0,6,3,13,6,1,1
0000023_01233_d_0000011,14,<50,524,7,8,9,9,1,0,7,0,21,0,0,0,14,8,0,0
