image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,980,74,102,110,113,11,1,99,0,205,0,76,57,51,45,0,0
0000001_03499_d_0000006,77,50-100,870,52,58,63,63,5,0,72,0,130,0,53,34,20,20,4,4
0000001_03999_d_0000007,48,<50,947,37,41,43,43,2,2,69,0,129,0,26,20,21,20,1,1
0000001_04527_d_0000008,115,100-150,1000,65,91,101,104,13,0,90,0,218,0,72,54,43,37,0,0
0000001_05249_d_0000009,113,100-150,959,84,106,109,109,3,0,110,0,164,0,27,21,85,84,1,1
0000001_05499_d_0000010,140,100-150,898,90,122,127,127,5,0,95,0,157,0,52,36,67,65,21,21
0000001_05999_d_0000011,115,100-150,966,77,101,103,104,3,0,91,0,200,0,66,54,42,40,7,7
0000001_07999_d_0000012,136,100-150,1000,70,97,106,108,11,0,92,0,225,0,99,65,37,32,0,0
0000001_08414_d_0000013,164,150-300,1000,84,127,141,143,16,2,124,0,247,0,107,81,54,43,3,3
0000021_00000_d_0000001,31,<50,160,20,20,20,20,0,0,13,0,25,0,23,13,8,7,0,0
0000021_00500_d_0000002,17,<50,142,16,17,17,17,0,0,11,0,23,0,15,15,2,2,0,0
0000021_00800_d_0000003,7,<50,79,6,6,6,6,0,0,8,0,16,0,7,6,0,0,0,0
0000022_00000_d_0000004,41,<50,227,37,37,37,37,0,0,33,0,63,0,35,31,6,6,0,0
0000022_00500_d_0000005,32,<50,182,29,30,30,30,0,0,31,0,50,0,22,20,10,10,0,0
0000022_01036_d_0000006,16,<50,368,15,15,15,15,0,0,18,0,33,0,4,3,12,12,0,0
0000022_01251_d_0000007,12,<50,301,11,12,12,12,0,0,16,0,27,0,0,0,12,12,0,0
0000023_00000_d_0000008,40,<50,227,35,36,36,36,0,0,33,0,63,0,35,31,5,5,0,0
0000023_00300_d_0000009,30,<50,237,29,30,30,30,0,0,26,0,47,0,25,25,5,5,0,0
0000023_00868_d_0000010,20,<50,344,19,20,20,20,0,0,16,0,30,0,6,6,13,13,1,1
0000023_01233_d_0000011,14,<50,306,11,13,13,13,0,0,12,0,29,0,0,0,14,13,0,0
0000024_00000_d_0000012,21,<50,220,18,19,19,19,0,0,19,0,27,0,9,8,12,11,0,0
0000024_00500_d_0000013,10,<50,204,8,9,9,9,0,0,9,0,12,0,1,1,9,8,0,0
0000024_01000_d_0000014,12,<50,202,7,7,7,7,0,0,6,0,14,0,12,7,0,0,0,0
0000024_01543_d_0000015,8,<50,177,8,8,8,8,0,0,8,0,12,0,1,1,7,7,0,0
0000026_00000_d_0000024,8,<50,24,8,8,8,8,0,0,8,0,8,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,80,15,15,15,15,0,0,18,0,25,0,1,1,4,4,10,10
0000026_01000_d_0000026,25,<50,201,25,25,25,25,0,0,27,0,31,0,3,3,3,3,19,19
0000026_01500_d_0000027,10,<50,67,10,10,10,10,0,0,13,0,14,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,54,9,9,9,9,0,0,12,0,14,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,79,17,17,17,17,0,0,14,0,22,0,9,9,4,4,4,4
0000026_03000_d_0000030,13,<50,89,13,13,13,13,0,0,14,0,16,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,68,22,22,22,22,0,0,25,0,27,0,1,1,6,6,16,15
0000026_04000_d_0000032,14,<50,52,14,14,14,14,0,0,16,0,18,0,0,0,2,2,12,12
0000026_04500_d_0000033,47,<50,575,38,40,40,40,0,0,50,0,62,0,24,19,22,20,1,1
0000026_04978_d_0000034,45,<50,302,39,39,39,39,0,0,35,0,39,0,16,12,28,26,1,1
0000055_00000_d_0000109,101,100-150,1000,58,80,87,92,12,2,57,0,118,0,57,42,44,38,0,0
0000055_00714_d_0000110,85,50-100,1000,60,70,75,77,7,1,52,0,122,0,48,35,37,35,0,0
0000069_00001_d_0000001,34,<50,267,34,34,34,34,0,0,33,0,47,0,7,7,24,24,3,3
0000069_00483_d_0000002,27,<50,182,27,27,27,27,0,0,34,0,46,0,6,6,19,19,2,2
0000069_00713_d_0000003,49,<50,468,38,47,49,49,2,0,49,0,90,0,22,21,21,20,6,6
0000069_01109_d_0000004,31,<50,442,27,29,29,29,0,0,31,0,55,0,6,5,25,24,0,0
0000069_01878_d_0000005,36,<50,226,35,35,35,35,0,0,40,0,65,0,12,11,21,21,3,3
0000069_02163_d_0000006,49,<50,561,37,43,43,43,0,0,49,0,88,0,17,14,29,26,3,3
0000069_02480_d_0000007,64,50-100,866,50,57,59,59,2,0,50,0,101,0,29,22,34,34,1,1
0000072_02834_d_0000003,73,50-100,485,65,70,72,72,2,0,73,0,121,0,21,18,51,51,1,1
0000076_02142_d_0000009,11,<50,129,11,11,11,11,0,0,10,0,10,0,4,4,4,4,3,3
0000081_00000_d_0000001,86,50-100,1000,60,75,79,80,5,0,167,0,359,1,74,64,12,11,0,0
0000086_00000_d_0000001,37,<50,305,35,36,36,36,0,0,41,0,61,0,21,20,16,16,0,0
0000086_00592_d_0000002,65,50-100,597,53,58,60,60,2,0,63,0,93,0,40,34,25,24,0,0
0000086_01084_d_0000003,146,100-150,1000,78,112,120,123,11,0,114,0,237,0,132,99,14,13,0,0
0000086_01443_d_0000004,107,100-150,1000,74,93,100,102,9,0,117,0,250,0,96,82,11,11,0,0
0000086_01954_d_0000005,173,150-300,1000,84,120,136,143,23,3,122,0,243,0,163,111,10,9,0,0
0000103_00180_d_0000026,1,<50,58,1,1,1,1,0,0,2,0,3,0,0,0,0,0,1,1
0000103_00502_d_0000027,3,<50,13,3,3,3,3,0,0,3,0,3,0,0,0,0,0,3,3
0000103_01734_d_0000028,4,<50,37,4,4,4,4,0,0,7,0,11,0,0,0,0,0,4,4
0000103_02544_d_0000029,14,<50,314,13,13,13,13,0,0,18,0,23,0,0,0,10,9,4,4
0000103_02964_d_0000030,10,<50,154,10,10,10,10,0,0,13,0,19,0,0,0,0,0,10,10
0000103_03349_d_0000031,4,<50,49,4,4,4,4,0,0,5,0,7,0,0,0,0,0,4,4
0000103_03738_d_0000032,3,<50,41,3,3,3,3,0,0,3,0,4,0,0,0,0,0,3,3
0000103_04122_d_0000033,4,<50,81,4,4,4,4,0,0,5,0,5,0,0,0,4,4,0,0
0000103_04513_d_0000034,2,<50,159,2,2,2,2,0,0,4,0,5,0,0,0,1,1,1,1
0000103_04948_d_0000035,1,<50,81,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1
0000115_00315_d_0000080,61,50-100,472,38,46,46,46,0,0,25,0,40,0,56,41,5,5,0,0
0000115_00796_d_0000081,78,50-100,1000,50,66,69,72,6,1,55,0,103,0,67,55,11,11,0,0
0000115_01031_d_0000082,63,50-100,1000,50,57,59,60,3,0,55,0,118,0,52,46,11,11,0,0
