image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,1000,68,97,106,110,13,0,79,0,196,0,76,57,51,40,0,0
0000001_03499_d_0000006,77,50-100,1000,47,57,62,64,7,0,56,0,129,0,53,33,20,20,4,4
0000001_03999_d_0000007,48,<50,1000,40,41,43,44,3,0,63,0,136,0,26,22,21,18,1,1
0000001_04527_d_0000008,115,100-150,1000,63,87,93,101,14,1,63,0,183,0,72,53,43,34,0,0
0000001_05249_d_0000009,113,100-150,1000,84,105,108,109,4,0,98,0,167,0,27,21,85,83,1,1
0000001_05499_d_0000010,140,100-150,1000,90,116,128,130,14,0,92,0,141,0,52,31,67,65,21,20
0000001_05999_d_0000011,115,100-150,1000,72,96,100,103,7,0,85,0,184,0,66,51,42,38,7,7
0000001_07999_d_0000012,136,100-150,1000,66,96,109,111,15,0,75,0,190,0,99,64,37,32,0,0
0000001_08414_d_0000013,164,150-300,1000,76,121,138,143,22,5,96,0,240,0,107,76,54,42,3,3
0000021_00000_d_0000001,31,<50,381,20,21,22,22,1,0,10,0,15,0,23,14,8,7,0,0
0000021_00500_d_0000002,17,<50,339,16,16,16,16,0,0,6,0,21,0,15,14,2,2,0,0
0000021_00800_d_0000003,7,<50,213,6,6,6,6,0,0,5,0,13,0,7,6,0,0,0,0
0000022_00000_d_0000004,41,<50,680,33,38,38,38,0,0,29,0,48,0,35,32,6,6,0,0
0000022_00500_d_0000005,32,<50,518,29,29,29,29,0,0,25,0,44,0,22,19,10,10,0,0
0000022_01036_d_0000006,16,<50,603,16,16,16,16,0,0,10,0,23,0,4,4,12,12,0,0
0000022_01251_d_0000007,12,<50,451,12,12,12,12,0,0,10,0,20,0,0,0,12,12,0,0
