image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,1000,54,70,77,83,13,0,96,0,176,0,76,40,51,30,0,0
0000001_03499_d_0000006,77,50-100,1000,29,32,34,35,3,0,85,0,148,0,53,12,20,16,4,4
0000001_03999_d_0000007,48,<50,1000,26,29,31,33,4,0,89,0,150,0,26,13,21,15,1,1
0000001_04527_d_0000008,115,100-150,1000,46,52,58,63,11,1,89,0,194,0,72,26,43,26,0,0
0000001_05249_d_0000009,113,100-150,1000,78,83,84,86,3,0,112,0,163,0,27,10,85,72,1,1
0000001_05499_d_0000010,140,100-150,1000,83,93,96,96,3,0,107,0,153,0,52,14,67,59,21,20
0000001_05999_d_0000011,115,100-150,1000,49,57,64,67,10,0,105,0,192,0,66,17,42,33,7,7
0000001_07999_d_0000012,136,100-150,1000,50,58,61,65,7,0,117,0,197,0,99,35,37,23,0,0
0000001_08414_d_0000013,164,150-300,1000,64,84,92,98,14,1,126,0,245,0,107,47,54,34,3,3
0000021_00000_d_0000001,31,<50,377,12,14,14,14,0,0,12,0,28,0,23,7,8,7,0,0
0000021_00500_d_0000002,17,<50,323,7,8,8,8,0,0,14,0,25,0,15,6,2,2,0,0
0000021_00800_d_0000003,7,<50,139,6,6,6,6,0,0,10,0,18,0,7,6,0,0,0,0
0000022_00000_d_0000004,41,<50,570,25,28,28,28,0,0,33,0,50,0,35,23,6,5,0,0
0000022_00500_d_0000005,32,<50,444,20,24,24,24,0,0,32,0,46,0,22,15,10,9,0,0
0000022_01036_d_0000006,16,<50,206,10,12,12,12,0,0,14,0,20,0,4,2,12,10,0,0
0000022_01251_d_0000007,12,<50,317,6,9,9,9,0,0,15,0,24,0,0,0,12,9,0,0
0000023_00000_d_0000008,40,<50,570,26,27,28,28,1,0,33,0,50,0,35,22,5,5,0,0
0000023_00300_d_0000009,30,<50,497,6,9,9,9,0,0,24,0,38,0,25,6,5,3,0,0
0000023_00868_d_0000010,20,<50,321,12,15,16,16,1,0,17,0,22,0,6,4,13,10,1,1
0000023_01233_d_0000011,14,<50,215,9,10,10,10,0,0,12,0,18,0,0,0,14,10,0,0
0000024_00000_d_0000012,21,<50,295,12,13,13,13,0,0,14,0,26,0,9,4,12,9,0,0
0000024_00500_d_0000013,10,<50,142,6,6,6,6,0,0,8,0,14,0,1,0,9,6,0,0
0000024_01000_d_0000014,12,<50,295,4,4,4,4,0,0,6,0,18,0,12,4,0,0,0,0
0000024_01543_d_0000015,8,<50,125,5,5,5,5,0,0,5,0,9,0,1,1,7,4,0,0
0000026_00000_d_0000024,8,<50,37,8,8,8,8,0,0,8,0,8,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,134,14,14,14,14,0,0,18,0,21,0,1,1,4,3,10,10
0000026_01000_d_0000026,25,<50,185,23,23,23,23,0,0,26,0,33,0,3,3,3,1,19,19
0000026_01500_d_0000027,10,<50,76,10,10,10,10,0,0,12,0,13,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,113,9,9,9,9,0,0,12,0,16,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,150,14,14,14,14,0,0,16,0,18,0,9,7,4,3,4,4
0000026_03000_d_0000030,13,<50,102,13,13,13,13,0,0,13,0,15,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,145,20,20,20,20,0,0,22,0,30,0,1,0,6,5,16,15
0000026_04000_d_0000032,14,<50,110,14,14,14,14,0,0,16,0,18,0,0,0,2,2,12,12
0000026_04500_d_0000033,47,<50,757,26,27,27,27,0,0,41,0,70,0,24,11,22,15,1,1
0000026_04978_d_0000034,45,<50,530,31,33,34,34,1,0,38,0,51,0,16,10,28,22,1,1
0000055_00000_d_0000109,101,100-150,1000,46,53,61,63,10,0,65,0,99,0,57,24,44,29,0,0
0000055_00714_d_0000110,85,50-100,1000,34,39,44,46,7,0,62,0,90,0,48,18,37,21,0,0
0000069_00001_d_0000001,34,<50,500,27,30,31,31,1,0,36,0,49,0,7,7,24,20,3,3
0000069_00483_d_0000002,27,<50,340,25,25,25,25,0,0,31,0,37,0,6,4,19,19,2,2
0000069_00713_d_0000003,49,<50,878,33,35,39,39,4,0,40,0,57,0,22,12,21,18,6,5
0000069_01109_d_0000004,31,<50,564,15,19,19,19,0,0,30,0,50,0,6,5,25,14,0,0
0000069_01878_d_0000005,36,<50,467,29,31,32,32,1,0,39,0,48,0,12,8,21,20,3,3
