image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,909,82,108,112,113,5,1,105,0,188,0,76,61,51,47,0,0
0000001_03499_d_0000006,77,50-100,838,56,61,63,65,4,0,82,0,132,0,53,37,20,20,4,4
0000001_03999_d_0000007,48,<50,922,39,44,44,44,0,0,88,0,136,0,26,22,21,21,1,1
0000001_04527_d_0000008,115,100-150,1000,72,94,107,108,14,2,90,0,191,0,72,58,43,36,0,0
0000001_05249_d_0000009,113,100-150,822,91,108,110,110,2,0,117,0,158,0,27,23,85,84,1,1
0000001_05499_d_0000010,140,100-150,722,95,124,129,129,5,0,107,0,138,0,52,39,67,64,21,21
0000001_05999_d_0000011,115,100-150,768,79,105,106,106,1,0,115,0,175,0,66,56,42,42,7,7
0000001_07999_d_0000012,136,100-150,1000,81,107,112,113,6,0,118,0,192,0,99,71,37,36,0,0
0000001_08414_d_0000013,164,150-300,1000,89,133,146,149,16,1,139,0,231,0,107,82,54,48,3,3
0000021_00000_d_0000001,31,<50,166,23,25,25,25,0,0,19,0,24,0,23,18,8,7,0,0
0000021_00500_d_0000002,17,<50,82,17,17,17,17,0,0,18,0,26,0,15,15,2,2,0,0
0000021_00800_d_0000003,7,<50,40,6,6,6,6,0,0,12,0,14,0,7,6,0,0,0,0
0000022_00000_d_0000004,41,<50,180,38,38,38,38,0,0,45,0,61,0,35,32,6,6,0,0
0000022_00500_d_0000005,32,<50,165,30,30,30,30,0,0,31,0,43,0,22,20,10,10,0,0
0000022_01036_d_0000006,16,<50,108,15,15,15,15,0,0,15,0,24,0,4,3,12,12,0,0
0000022_01251_d_0000007,12,<50,167,11,11,11,11,0,0,18,0,25,0,0,0,12,11,0,0
0000023_00000_d_0000008,40,<50,180,36,36,36,36,0,0,45,0,61,0,35,31,5,5,0,0
0000023_00300_d_0000009,30,<50,159,28,29,29,29,0,0,26,0,36,0,25,24,5,5,0,0
0000023_00868_d_0000010,20,<50,176,20,20,20,20,0,0,14,0,21,0,6,6,13,13,1,1
0000023_01233_d_0000011,14,<50,125,13,13,13,13,0,0,13,0,21,0,0,0,14,13,0,0
0000024_00000_d_0000012,21,<50,126,20,21,21,21,0,0,14,0,28,0,9,9,12,12,0,0
0000024_00500_d_0000013,10,<50,125,10,10,10,10,0,0,10,0,12,0,1,1,9,9,0,0
0000024_01000_d_0000014,12,<50,134,7,7,7,7,0,0,7,0,16,0,12,7,0,0,0,0
0000024_01543_d_0000015,8,<50,71,8,8,8,8,0,0,6,0,8,0,1,1,7,7,0,0
0000026_00000_d_0000024,8,<50,22,8,8,8,8,0,0,8,0,8,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,75,15,15,15,15,0,0,18,0,20,0,1,1,4,4,10,10
0000026_01000_d_0000026,25,<50,106,25,25,25,25,0,0,28,0,29,0,3,3,3,3,19,19
0000026_01500_d_0000027,10,<50,66,10,10,10,10,0,0,12,0,12,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,87,9,9,9,9,0,0,12,0,14,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,60,17,17,17,17,0,0,16,0,18,0,9,9,4,4,4,4
0000026_03000_d_0000030,13,<50,66,13,13,13,13,0,0,13,0,14,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,67,22,22,22,22,0,0,26,0,27,0,1,1,6,6,16,15
