image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,1000,84,110,115,116,6,1,96,0,176,0,76,65,51,45,0,0
0000001_03499_d_0000006,77,50-100,1000,55,63,68,68,5,0,85,0,148,0,53,39,20,20,4,4
0000001_03999_d_0000007,48,<50,1000,38,45,46,46,1,0,89,0,150,0,26,24,21,20,1,1
0000001_04527_d_0000008,115,100-150,1000,68,96,107,112,16,1,89,0,194,0,72,58,43,38,0,0
0000001_05249_d_0000009,113,100-150,1000,90,107,108,111,4,0,112,0,163,0,27,24,85,82,1,1
0000001_05499_d_0000010,140,100-150,1000,91,122,125,128,6,0,107,0,153,0,52,38,67,63,21,21
0000001_05999_d_0000011,115,100-150,1000,79,105,108,108,3,0,105,0,192,0,66,56,42,42,7,7
0000001_07999_d_0000012,136,100-150,1000,82,106,113,116,10,0,117,0,197,0,99,72,37,34,0,0
0000001_08414_d_0000013,164,150-300,1000,87,134,148,156,22,5,126,0,245,0,107,84,54,47,3,3
0000021_00000_d_0000001,31,<50,377,21,25,25,25,0,0,12,0,28,0,23,18,8,7,0,0
0000021_00500_d_0000002,17,<50,323,16,17,17,17,0,0,14,0,25,0,15,15,2,2,0,0
0000021_00800_d_0000003,7,<50,139,7,7,7,7,0,0,10,0,18,0,7,7,0,0,0,0
0000022_00000_d_0000004,41,<50,570,37,37,38,38,1,0,33,0,50,0,35,31,6,6,0,0
0000022_00500_d_0000005,32,<50,444,30,31,31,31,0,0,32,0,46,0,22,21,10,10,0,0
0000022_01036_d_0000006,16,<50,206,16,16,16,16,0,0,14,0,20,0,4,4,12,12,0,0
0000022_01251_d_0000007,12,<50,317,11,12,12,12,0,0,15,0,24,0,0,0,12,12,0,0
0000023_00000_d_0000008,40,<50,570,36,36,37,37,1,0,33,0,50,0,35,31,5,5,0,0
0000023_00300_d_0000009,30,<50,497,26,30,30,30,0,0,24,0,38,0,25,25,5,5,0,0
0000023_00868_d_0000010,20,<50,321,20,20,20,20,0,0,17,0,22,0,6,6,13,13,1,1
0000023_01233_d_0000011,14,<50,215,12,14,14,14,0,0,12,0,18,0,0,0,14,14,0,0
0000024_00000_d_0000012,21,<50,295,19,20,20,20,0,0,14,0,26,0,9,9,12,11,0,0
0000024_00500_d_0000013,10,<50,142,10,10,10,10,0,0,8,0,14,0,1,1,9,9,0,0
0000024_01000_d_0000014,12,<50,295,10,10,10,10,0,0,6,0,18,0,12,10,0,0,0,0
0000024_01543_d_0000015,8,<50,125,8,8,8,8,0,0,5,0,9,0,1,1,7,7,0,0
0000026_00000_d_0000024,8,<50,37,8,8,8,8,0,0,8,0,8,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,134,15,15,15,15,0,0,18,0,21,0,1,1,4,4,10,10
0000026_01000_d_0000026,25,<50,185,25,25,25,25,0,0,26,0,33,0,3,3,3,3,19,19
0000026_01500_d_0000027,10,<50,76,10,10,10,10,0,0,12,0,13,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,113,9,9,9,9,0,0,12,0,16,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,150,17,17,17,17,0,0,16,0,18,0,9,9,4,4,4,4
0000026_03000_d_0000030,13,<50,102,13,13,13,13,0,0,13,0,15,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,145,22,22,22,22,0,0,22,0,30,0,1,1,6,6,16,15
0000026_04000_d_0000032,14,<50,110,14,14,14,14,0,0,16,0,18,0,0,0,2,2,12,12
0000026_04500_d_0000033,47,<50,757,39,40,41,41,1,0,41,0,70,0,24,19,22,20,1,1
