image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000006_00159_d_0000001,71,50-100,1000,54,59,59,59,0,0,64,0,102,0,38,30,33,29,0,0
0000006_00611_d_0000002,72,50-100,985,66,68,69,69,1,0,71,0,106,0,44,42,21,19,7,7
0000006_01111_d_0000003,17,<50,211,17,17,17,17,0,0,19,0,23,0,2,2,5,5,10,10
0000006_01275_d_0000004,24,<50,333,23,23,23,23,0,0,27,0,40,0,2,2,19,18,3,3
0000006_01659_d_0000004,36,<50,632,32,34,34,35,1,0,38,0,57,0,5,4,21,20,10,10
0000006_02138_d_0000006,29,<50,545,25,27,28,28,1,1,35,0,39,0,0,0,16,14,13,13
0000006_02616_d_0000007,22,<50,494,20,22,22,22,0,0,27,0,43,0,0,0,12,12,10,10
0000006_03636_d_0000009,13,<50,542,11,12,12,12,0,0,19,0,32,0,3,2,2,2,8,8
0000006_04050_d_0000010,9,<50,393,9,9,9,9,0,0,20,0,35,0,0,0,0,0,9,9
0000006_04309_d_0000011,28,<50,665,25,28,28,28,0,0,30,0,46,0,13,13,5,5,10,10
0000006_05168_d_0000013,24,<50,695,23,23,23,23,0,0,24,0,33,0,2,1,21,21,1,1
0000006_05208_d_0000014,12,<50,143,12,12,12,12,0,0,13,0,18,0,0,0,2,2,10,10
0000006_05575_d_0000016,15,<50,107,15,15,15,15,0,0,14,0,15,0,0,0,5,5,10,10
0000006_05999_d_0000017,60,50-100,604,57,60,60,60,0,0,64,0,82,0,7,7,53,53,0,0
0000006_06773_d_0000018,38,<50,553,36,38,38,38,0,0,47,0,53,0,6,6,25,25,7,7
0000006_07596_d_0000020,12,<50,685,9,11,11,11,0,0,18,0,31,0,5,4,6,6,1,1
0000011_00234_d_0000001,112,100-150,1000,72,88,92,97,9,1,63,0,150,0,81,68,31,20,0,0
0000011_01350_d_0000003,39,<50,929,27,31,34,34,3,0,39,0,62,0,20,19,19,12,0,0
0000011_01955_d_0000004,54,50-100,1000,44,51,52,52,1,0,72,0,135,0,26,25,27,26,1,0
0000011_02800_d_0000005,37,<50,906,36,36,36,37,1,0,40,0,54,0,27,26,10,10,0,0
0000011_04202_d_0000007,51,50-100,1000,36,41,42,44,3,0,35,0,65,0,25,22,23,16,3,3
0000011_05068_d_0000008,28,<50,1000,26,27,28,28,1,0,51,0,85,0,21,20,7,7,0,0
0000011_06000_d_0000009,77,50-100,1000,55,66,68,68,2,0,53,0,87,0,60,52,16,13,1,1
0000011_06595_d_0000010,21,<50,720,19,21,21,21,0,0,31,0,47,0,11,11,9,9,1,1
0000011_07307_d_0000011,63,50-100,1000,48,57,61,62,5,0,51,0,86,0,29,26,31,28,3,3
0000011_08299_d_0000012,13,<50,1000,11,12,13,13,1,0,26,0,50,0,0,0,12,11,1,1
0000054_00786_d_0000001,72,50-100,981,66,70,71,71,1,0,70,0,101,0,25,24,46,45,1,1
0000063_00500_d_0000001,293,150-300,1000,94,181,212,225,44,4,205,0,359,1,284,172,9,9,0,0
0000063_02235_d_0000003,93,50-100,977,78,92,93,93,1,0,82,0,110,0,78,77,15,15,0,0
0000063_03139_d_0000004,43,<50,383,42,43,43,43,0,0,40,0,49,0,18,18,25,25,0,0
0000063_04000_d_0000005,51,50-100,590,48,49,50,50,1,0,57,0,83,0,39,37,12,12,0,0
0000063_05000_d_0000006,42,<50,626,42,42,42,42,0,0,39,0,55,0,32,32,10,10,0,0
0000063_06000_d_0000007,32,<50,495,32,32,32,32,0,0,31,0,44,0,4,4,28,28,0,0
0000063_07000_d_0000008,55,50-100,911,47,53,54,54,1,0,87,0,124,0,39,38,16,15,0,0
0000063_08000_d_0000009,119,100-150,1000,83,108,111,111,3,1,118,0,166,0,107,96,12,12,0,0
0000063_08995_d_0000010,84,50-100,1000,60,68,72,75,7,1,70,0,115,0,83,67,1,1,0,0
0000063_10000_d_0000011,101,100-150,1000,79,96,96,97,1,0,103,0,170,0,99,95,2,1,0,0
0000063_11000_d_0000012,190,150-300,1000,85,138,152,158,20,2,103,0,209,0,187,135,3,3,0,0
0000063_11817_d_0000013,126,100-150,1000,82,100,107,110,10,1,83,0,131,0,126,100,0,0,0,0
0000063_12500_d_0000014,169,150-300,1000,86,131,148,155,24,1,126,0,220,0,165,127,4,4,0,0
0000066_01097_d_0000002,275,150-300,1000,100,225,255,261,36,3,273,0,421,1,248,200,27,25,0,0
0000073_00377_d_0000001,64,50-100,1000,55,61,62,63,2,0,60,0,98,0,34,31,28,28,2,2
0000073_01275_d_0000002,115,100-150,1000,84,102,105,106,4,1,113,0,177,0,69,57,44,43,2,2
0000073_03155_d_0000004,100,100-150,1000,71,81,86,90,9,0,87,0,148,0,60,46,35,30,5,5
0000073_04009_d_0000005,120,100-150,1000,74,99,107,109,10,0,91,0,150,0,71,55,47,42,2,2
0000073_05010_d_0000006,81,50-100,1000,61,73,74,76,3,1,76,0,120,0,43,37,36,34,2,2
0000073_05999_d_0000007,94,50-100,1000,68,83,90,93,10,0,75,0,123,0,38,32,49,44,7,7
0000074_01218_d_0000002,106,100-150,1000,75,92,96,97,5,0,93,0,130,0,53,42,52,49,1,1
0000074_02723_d_0000005,66,50-100,1000,60,64,66,66,2,0,76,0,116,0,20,19,40,39,6,6
0000074_03738_d_0000007,85,50-100,1000,63,76,76,78,2,1,61,0,102,0,49,41,30,29,6,6
