image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,1000,67,95,108,113,18,2,76,0,168,0,76,56,51,39,0,0
0000001_03499_d_0000006,77,50-100,1000,50,57,66,68,11,1,62,0,139,0,53,33,20,20,4,4
0000001_03999_d_0000007,48,<50,1000,38,42,44,44,2,0,62,0,147,0,26,23,21,18,1,1
0000001_04527_d_0000008,115,100-150,1000,57,91,96,100,9,0,64,0,217,0,72,56,43,35,0,0
0000001_05249_d_0000009,113,100-150,1000,82,106,109,110,4,0,108,0,172,0,27,23,85,82,1,1
0000001_05499_d_0000010,140,100-150,1000,86,119,125,129,10,1,93,0,138,0,52,34,67,65,21,20
0000001_05999_d_0000011,115,100-150,1000,70,97,103,105,8,1,84,0,186,0,66,52,42,38,7,7
0000001_07999_d_0000012,136,100-150,1000,62,99,107,112,13,0,80,0,204,0,99,67,37,32,0,0
0000001_08414_d_0000013,164,150-300,1000,73,124,137,146,22,4,101,0,252,0,107,76,54,45,3,3
0000021_00000_d_0000001,31,<50,442,20,20,21,21,1,0,11,0,18,0,23,13,8,7,0,0
0000021_00500_d_0000002,17,<50,366,13,16,16,16,0,0,10,0,27,0,15,15,2,1,0,0
0000021_00800_d_0000003,7,<50,275,6,6,6,6,0,0,3,0,17,0,7,6,0,0,0,0
0000022_00000_d_0000004,41,<50,690,32,37,39,39,2,0,31,0,60,0,35,31,6,6,0,0
0000022_00500_d_0000005,32,<50,586,29,31,31,31,0,0,27,0,42,0,22,21,10,10,0,0
0000022_01036_d_0000006,16,<50,654,16,16,16,16,0,0,12,0,30,0,4,4,12,12,0,0
0000022_01251_d_0000007,12,<50,588,10,11,12,12,1,0,14,0,29,0,0,0,12,11,0,0
0000023_00000_d_0000008,40,<50,690,35,35,35,35,0,0,31,0,60,0,35,30,5,5,0,0
0000023_00300_d_0000009,30,<50,623,27,30,30,30,0,0,21,0,43,0,25,25,5,5,0,0
0000023_00868_d_0000010,20,<50,464,19,19,19,19,0,0,11,0,21,0,6,6,13,12,1,1
0000023_01233_d_0000011,14,<50,463,13,13,14,14,1,0,9,0,21,0,0,0,14,13,0,0
0000024_00000_d_0000012,21,<50,499,19,20,20,20,0,0,11,0,32,0,9,9,12,11,0,0
0000024_00500_d_0000013,10,<50,342,8,8,10,10,2,0,4,0,11,0,1,1,9,7,0,0
0000024_01000_d_0000014,12,<50,299,7,7,7,7,0,0,5,0,8,0,12,7,0,0,0,0
0000024_01543_d_0000015,8,<50,279,8,8,8,8,0,0,8,0,16,0,1,1,7,7,0,0
0000026_00000_d_0000024,8,<50,53,8,8,8,8,0,0,9,0,9,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,182,15,15,15,15,0,0,18,0,19,0,1,1,4,4,10,10
0000026_01000_d_0000026,25,<50,333,24,25,25,25,0,0,25,0,32,0,3,3,3,3,19,19
0000026_01500_d_0000027,10,<50,64,10,10,10,10,0,0,14,0,16,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,71,9,9,9,9,0,0,14,0,16,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,209,17,17,17,17,0,0,16,0,22,0,9,9,4,4,4,4
0000026_03000_d_0000030,13,<50,112,13,13,13,13,0,0,12,0,15,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,129,22,22,22,22,0,0,22,0,25,0,1,1,6,6,16,15
0000026_04000_d_0000032,14,<50,90,14,14,14,14,0,0,16,0,17,0,0,0,2,2,12,12
0000026_04500_d_0000033,47,<50,1000,37,39,40,40,1,0,37,0,55,0,24,18,22,20,1,1
0000026_04978_d_0000034,45,<50,609,40,42,42,42,0,0,39,0,50,0,16,14,28,27,1,1
0000055_00000_d_0000109,101,100-150,1000,58,74,80,87,13,1,45,0,78,0,57,36,44,38,0,0
0000055_00714_d_0000110,85,50-100,1000,53,69,76,78,9,0,43,0,82,0,48,35,37,34,0,0
0000069_00001_d_0000001,34,<50,716,34,34,34,34,0,0,30,0,42,0,7,7,24,24,3,3
0000069_00483_d_0000002,27,<50,510,27,27,27,27,0,0,32,0,41,0,6,6,19,19,2,2
0000069_00713_d_0000003,49,<50,1000,40,44,47,48,4,0,37,0,64,0,22,17,21,21,6,6
0000069_01109_d_0000004,31,<50,834,28,29,30,30,1,1,24,0,38,0,6,6,25,23,0,0
