image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,1000,48,58,60,61,3,0,89,0,209,0,76,36,51,22,0,0
0000001_03499_d_0000006,77,50-100,1000,27,30,31,34,4,0,65,0,140,0,53,11,20,15,4,4
0000001_03999_d_0000007,48,<50,1000,19,24,28,29,5,1,64,0,155,0,26,11,21,12,1,1
0000001_04527_d_0000008,115,100-150,1000,33,53,57,60,7,0,68,0,198,0,72,28,43,25,0,0
0000001_05249_d_0000009,113,100-150,1000,65,74,77,78,4,0,108,0,177,0,27,5,85,68,1,1
0000001_05499_d_0000010,140,100-150,1000,78,89,93,98,9,0,89,0,145,0,52,14,67,55,21,20
0000001_05999_d_0000011,115,100-150,1000,50,58,60,62,4,0,89,0,197,0,66,15,42,36,7,7
0000001_07999_d_0000012,136,100-150,1000,39,46,53,53,7,0,84,0,232,0,99,26,37,20,0,0
0000001_08414_d_0000013,164,150-300,1000,54,70,76,81,11,0,102,0,254,0,107,34,54,33,3,3
0000021_00000_d_0000001,31,<50,464,10,11,11,11,0,0,11,0,18,0,23,5,8,6,0,0
0000021_00500_d_0000002,17,<50,367,10,10,10,10,0,0,9,0,30,0,15,8,2,2,0,0
0000021_00800_d_0000003,7,<50,247,5,5,5,5,0,0,7,0,23,0,7,5,0,0,0,0
0000022_00000_d_0000004,41,<50,797,22,24,27,27,3,0,31,0,54,0,35,20,6,4,0,0
0000022_00500_d_0000005,32,<50,632,19,22,22,22,0,0,29,0,43,0,22,13,10,9,0,0
0000022_01036_d_0000006,16,<50,500,8,8,8,8,0,0,11,0,19,0,4,1,12,7,0,0
0000022_01251_d_0000007,12,<50,564,8,10,10,10,0,0,10,0,18,0,0,0,12,10,0,0
0000023_00000_d_0000008,40,<50,797,19,22,27,27,5,0,31,0,54,0,35,18,5,4,0,0
0000023_00300_d_0000009,30,<50,657,8,11,13,13,2,0,22,0,40,0,25,8,5,3,0,0
0000023_00868_d_0000010,20,<50,573,9,11,13,13,2,0,13,0,25,0,6,3,13,7,1,1
0000023_01233_d_0000011,14,<50,512,6,7,7,7,0,0,8,0,17,0,0,0,14,7,0,0
0000024_00000_d_0000012,21,<50,420,9,13,13,13,0,0,13,0,28,0,9,5,12,8,0,0
0000024_00500_d_0000013,10,<50,215,4,5,5,5,0,0,7,0,10,0,1,1,9,4,0,0
0000024_01000_d_0000014,12,<50,236,4,4,4,4,0,0,4,0,8,0,12,4,0,0,0,0
0000024_01543_d_0000015,8,<50,235,4,4,4,4,0,0,7,0,11,0,1,1,7,3,0,0
0000026_00000_d_0000024,8,<50,41,8,8,8,8,0,0,8,0,8,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,175,13,13,13,13,0,0,20,0,23,0,1,1,4,2,10,10
0000026_01000_d_0000026,25,<50,303,24,24,24,24,0,0,27,0,30,0,3,3,3,2,19,19
0000026_01500_d_0000027,10,<50,58,10,10,10,10,0,0,11,0,12,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,78,9,9,9,9,0,0,12,0,16,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,225,13,14,14,14,0,0,15,0,19,0,9,7,4,3,4,4
0000026_03000_d_0000030,13,<50,134,13,13,13,13,0,0,13,0,14,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,165,21,21,21,21,0,0,25,0,31,0,1,0,6,5,16,16
0000026_04000_d_0000032,14,<50,66,14,14,14,14,0,0,15,0,16,0,0,0,2,2,12,12
0000026_04500_d_0000033,47,<50,1000,25,28,30,31,3,0,36,0,53,0,24,10,22,17,1,1
0000026_04978_d_0000034,45,<50,625,34,35,35,35,0,0,38,0,52,0,16,11,28,23,1,1
0000055_00000_d_0000109,101,100-150,1000,36,43,49,54,11,0,51,0,90,0,57,18,44,25,0,0
0000055_00714_d_0000110,85,50-100,1000,35,41,43,45,4,0,44,0,79,0,48,21,37,20,0,0
0000069_00001_d_0000001,34,<50,544,25,27,27,27,0,0,33,0,46,0,7,7,24,17,3,3
0000069_00483_d_0000002,27,<50,535,21,21,21,21,0,0,28,0,44,0,6,3,19,16,2,2
0000069_00713_d_0000003,49,<50,1000,34,38,42,42,4,1,39,0,64,0,22,13,21,20,6,5
0000069_01109_d_0000004,31,<50,1000,14,16,17,17,1,0,27,0,43,0,6,3,25,13,0,0
0000069_01878_d_0000005,36,<50,605,30,33,33,33,0,0,37,0,51,0,12,10,21,20,3,3
0000069_02163_d_0000006,49,<50,1000,25,32,32,33,1,0,38,0,63,0,17,9,29,20,3,3
0000069_02480_d_0000007,64,50-100,1000,25,27,29,30,3,0,37,0,78,0,29,7,34,19,1,1
0000072_02834_d_0000003,73,50-100,1000,51,57,61,63,6,0,75,0,104,0,21,12,51,44,1,1
0000076_02142_d_0000009,11,<50,120,10,10,10,10,0,0,11,0,12,0,4,3,4,4,3,3
