image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,1000,73,97,106,110,13,2,101,0,200,0,76,55,51,42,0,0
0000001_03499_d_0000006,77,50-100,984,49,59,64,64,5,0,71,0,142,0,53,35,20,20,4,4
0000001_03999_d_0000007,48,<50,993,37,41,41,42,1,1,66,0,132,0,26,21,21,19,1,1
0000001_04527_d_0000008,115,100-150,1000,69,92,101,106,14,0,84,0,230,0,72,55,43,37,0,0
0000001_05249_d_0000009,113,100-150,1000,83,102,107,108,6,0,122,0,182,0,27,19,85,82,1,1
0000001_05499_d_0000010,140,100-150,909,92,122,128,128,6,0,98,0,152,0,52,36,67,65,21,21
0000001_05999_d_0000011,115,100-150,1000,76,101,102,104,3,0,101,0,208,0,66,54,42,40,7,7
0000001_07999_d_0000012,136,100-150,1000,66,94,103,107,13,0,110,0,261,0,99,61,37,33,0,0
0000001_08414_d_0000013,164,150-300,1000,83,125,137,142,17,3,115,0,257,0,107,76,54,46,3,3
0000021_00000_d_0000001,31,<50,191,18,22,22,22,0,0,11,0,23,0,23,14,8,8,0,0
0000021_00500_d_0000002,17,<50,142,16,16,16,16,0,0,14,0,35,0,15,14,2,2,0,0
0000021_00800_d_0000003,7,<50,110,7,7,7,7,0,0,10,0,20,0,7,7,0,0,0,0
0000022_00000_d_0000004,41,<50,237,36,38,38,38,0,0,35,0,65,0,35,32,6,6,0,0
0000022_00500_d_0000005,32,<50,186,29,30,30,30,0,0,32,0,46,0,22,20,10,10,0,0
0000022_01036_d_0000006,16,<50,305,16,16,16,16,0,0,17,0,27,0,4,4,12,12,0,0
0000022_01251_d_0000007,12,<50,316,12,12,12,12,0,0,16,0,30,0,0,0,12,12,0,0
0000023_00000_d_0000008,40,<50,237,37,38,38,38,0,0,35,0,65,0,35,33,5,5,0,0
0000023_00300_d_0000009,30,<50,201,28,30,30,30,0,0,30,0,57,0,25,25,5,5,0,0
0000023_00868_d_0000010,20,<50,289,19,20,20,20,0,0,18,0,30,0,6,6,13,13,1,1
0000023_01233_d_0000011,14,<50,291,12,14,14,14,0,0,11,0,33,0,0,0,14,14,0,0
0000024_00000_d_0000012,21,<50,171,19,19,19,19,0,0,19,0,28,0,9,8,12,11,0,0
0000024_00500_d_0000013,10,<50,159,9,9,9,9,0,0,7,0,10,0,1,1,9,8,0,0
0000024_01000_d_0000014,12,<50,153,7,7,7,7,0,0,4,0,12,0,12,7,0,0,0,0
0000024_01543_d_0000015,8,<50,150,8,8,8,8,0,0,8,0,10,0,1,1,7,7,0,0
0000026_00000_d_0000024,8,<50,31,8,8,8,8,0,0,8,0,8,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,83,15,15,15,15,0,0,19,0,24,0,1,1,4,4,10,10
0000026_01000_d_0000026,25,<50,169,24,25,25,25,0,0,27,0,30,0,3,3,3,3,19,19
0000026_01500_d_0000027,10,<50,46,10,10,10,10,0,0,13,0,14,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,58,9,9,9,9,0,0,14,0,15,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,96,17,17,17,17,0,0,17,0,25,0,9,9,4,4,4,4
0000026_03000_d_0000030,13,<50,91,13,13,13,13,0,0,12,0,18,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,69,22,22,22,22,0,0,24,0,29,0,1,1,6,6,16,15
0000026_04000_d_0000032,14,<50,41,14,14,14,14,0,0,15,0,15,0,0,0,2,2,12,12
0000026_04500_d_0000033,47,<50,486,36,38,38,38,0,0,47,0,56,0,24,18,22,19,1,1
0000026_04978_d_0000034,45,<50,380,39,41,41,41,0,0,37,0,49,0,16,14,28,26,1,1
0000055_00000_d_0000109,101,100-150,1000,61,81,86,94,13,0,57,0,115,0,57,42,44,39,0,0
0000055_00714_d_0000110,85,50-100,1000,59,71,77,78,7,1,52,0,118,0,48,36,37,35,0,0
0000069_00001_d_0000001,34,<50,309,34,34,34,34,0,0,30,0,46,0,7,7,24,24,3,3
0000069_00483_d_0000002,27,<50,188,27,27,27,27,0,0,37,0,51,0,6,6,19,19,2,2
0000069_00713_d_0000003,49,<50,493,39,47,48,48,1,0,44,0,83,0,22,20,21,21,6,6
0000069_01109_d_0000004,31,<50,766,30,30,30,30,0,0,33,0,57,0,6,6,25,24,0,0
0000069_01878_d_0000005,36,<50,252,35,35,35,35,0,0,43,0,59,0,12,11,21,21,3,3
0000069_02163_d_0000006,49,<50,499,36,43,44,44,1,0,45,0,68,0,17,14,29,26,3,3
