image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,1000,43,52,60,63,11,0,79,0,181,0,76,32,51,20,0,0
0000001_03499_d_0000006,77,50-100,1000,26,30,31,34,4,0,65,0,144,0,53,11,20,15,4,4
0000001_03999_d_0000007,48,<50,1000,20,23,27,30,7,3,64,0,150,0,26,10,21,12,1,1
0000001_04527_d_0000008,115,100-150,1000,37,55,61,65,10,1,79,0,231,0,72,30,43,25,0,0
0000001_05249_d_0000009,113,100-150,1000,66,79,81,81,2,0,107,0,172,0,27,8,85,70,1,1
0000001_05499_d_0000010,140,100-150,1000,78,91,93,98,7,0,91,0,135,0,52,14,67,57,21,20
0000001_05999_d_0000011,115,100-150,1000,50,58,62,64,6,0,88,0,194,0,66,14,42,37,7,7
0000001_07999_d_0000012,136,100-150,1000,35,47,51,54,7,0,86,0,223,0,99,24,37,23,0,0
0000001_08414_d_0000013,164,150-300,1000,49,67,73,77,10,1,108,0,277,0,107,30,54,34,3,3
0000021_00000_d_0000001,31,<50,429,9,11,12,12,1,0,11,0,19,0,23,5,8,6,0,0
0000021_00500_d_0000002,17,<50,348,10,11,11,11,0,0,11,0,29,0,15,9,2,2,0,0
0000021_00800_d_0000003,7,<50,241,4,4,4,4,0,0,6,0,19,0,7,4,0,0,0,0
0000022_00000_d_0000004,41,<50,691,19,21,22,22,1,0,33,0,59,0,35,17,6,4,0,0
0000022_00500_d_0000005,32,<50,551,18,22,22,22,0,0,27,0,40,0,22,13,10,9,0,0
0000022_01036_d_0000006,16,<50,479,7,9,9,9,0,0,10,0,26,0,4,1,12,8,0,0
0000022_01251_d_0000007,12,<50,464,9,11,11,11,0,0,12,0,22,0,0,0,12,11,0,0
0000023_00000_d_0000008,40,<50,691,22,24,24,24,0,0,33,0,59,0,35,20,5,4,0,0
0000023_00300_d_0000009,30,<50,618,9,12,12,12,0,0,23,0,44,0,25,9,5,3,0,0
0000023_00868_d_0000010,20,<50,456,10,12,14,14,2,0,12,0,20,0,6,4,13,7,1,1
0000023_01233_d_0000011,14,<50,451,6,7,7,7,0,0,13,0,19,0,0,0,14,7,0,0
0000024_00000_d_0000012,21,<50,410,9,10,10,10,0,0,14,0,28,0,9,3,12,7,0,0
0000024_00500_d_0000013,10,<50,312,3,5,5,5,0,0,4,0,17,0,1,1,9,4,0,0
0000024_01000_d_0000014,12,<50,229,3,3,3,3,0,0,3,0,7,0,12,3,0,0,0,0
0000024_01543_d_0000015,8,<50,190,4,4,4,4,0,0,6,0,9,0,1,1,7,3,0,0
0000026_00000_d_0000024,8,<50,69,8,8,8,8,0,0,8,0,8,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,211,13,13,13,13,0,0,19,0,21,0,1,1,4,2,10,10
0000026_01000_d_0000026,25,<50,364,24,24,24,24,0,0,24,0,30,0,3,3,3,2,19,19
0000026_01500_d_0000027,10,<50,61,10,10,10,10,0,0,12,0,14,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,72,9,9,9,9,0,0,10,0,14,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,213,13,13,13,13,0,0,17,0,23,0,9,7,4,2,4,4
0000026_03000_d_0000030,13,<50,126,13,13,13,13,0,0,13,0,16,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,170,19,19,19,19,0,0,22,0,25,0,1,0,6,5,16,14
0000026_04000_d_0000032,14,<50,112,14,14,14,14,0,0,17,0,20,0,0,0,2,2,12,12
0000026_04500_d_0000033,47,<50,1000,21,27,29,29,2,0,37,0,58,0,24,11,22,15,1,1
0000026_04978_d_0000034,45,<50,578,33,35,35,35,0,0,35,0,49,0,16,11,28,23,1,1
0000055_00000_d_0000109,101,100-150,1000,43,50,54,59,9,0,46,0,87,0,57,22,44,28,0,0
0000055_00714_d_0000110,85,50-100,1000,33,42,44,45,3,0,43,0,71,0,48,23,37,19,0,0
0000069_00001_d_0000001,34,<50,590,27,28,29,29,1,0,34,0,46,0,7,7,24,18,3,3
0000069_00483_d_0000002,27,<50,515,22,22,22,22,0,0,31,0,48,0,6,3,19,17,2,2
0000069_00713_d_0000003,49,<50,1000,34,38,39,39,1,0,34,0,73,0,22,13,21,20,6,5
0000069_01109_d_0000004,31,<50,1000,12,18,20,20,2,0,26,0,42,0,6,4,25,14,0,0
0000069_01878_d_0000005,36,<50,606,30,31,31,31,0,0,32,0,49,0,12,9,21,19,3,3
0000069_02163_d_0000006,49,<50,1000,25,31,32,33,2,0,37,0,68,0,17,9,29,19,3,3
0000069_02480_d_0000007,64,50-100,1000,21,24,25,26,2,0,39,0,80,0,29,5,34,18,1,1
0000072_02834_d_0000003,73,50-100,1000,54,59,62,63,4,0,66,0,94,0,21,15,51,43,1,1
0000076_02142_d_0000009,11,<50,174,9,9,9,9,0,0,12,0,13,0,4,3,4,4,3,2
0000081_00000_d_0000001,86,50-100,1000,28,41,41,43,2,0,120,0,287,0,74,34,12,7,0,0
0000086_00000_d_0000001,37,<50,850,17,21,22,22,1,0,44,0,53,0,21,13,16,8,0,0
0000086_00592_d_0000002,65,50-100,1000,32,36,38,41,5,0,55,0,87,0,40,18,25,18,0,0
0000086_01084_d_0000003,146,100-150,1000,29,40,44,50,10,0,92,0,161,0,132,31,14,9,0,0
0000086_01443_d_0000004,107,100-150,1000,39,49,53,57,8,0,97,0,190,0,96,44,11,5,0,0
0000086_01954_d_0000005,173,150-300,1000,31,45,52,60,15,0,102,0,182,0,163,41,10,4,0,0
0000103_00180_d_0000026,1,<50,61,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1
0000103_00502_d_0000027,3,<50,46,3,3,3,3,0,0,4,0,4,0,0,0,0,0,3,3
0000103_01734_d_0000028,4,<50,116,4,4,4,4,0,0,2,0,8,0,0,0,0,0,4,4
