image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,1000,71,101,109,110,9,1,101,0,201,0,76,58,51,43,0,0
0000001_03499_d_0000006,77,50-100,882,49,59,60,60,1,0,68,0,136,0,53,35,20,20,4,4
0000001_03999_d_0000007,48,<50,1000,37,40,42,43,3,2,69,0,141,0,26,20,21,19,1,1
0000001_04527_d_0000008,115,100-150,1000,68,93,99,104,11,1,107,0,287,0,72,55,43,38,0,0
0000001_05249_d_0000009,113,100-150,1000,85,107,110,110,3,0,113,0,179,0,27,22,85,84,1,1
0000001_05499_d_0000010,140,100-150,1000,91,121,125,125,4,0,95,0,143,0,52,35,67,65,21,21
0000001_05999_d_0000011,115,100-150,1000,73,102,105,106,4,0,103,0,209,0,66,55,42,40,7,7
0000001_07999_d_0000012,136,100-150,1000,67,96,106,110,14,0,111,0,242,0,99,65,37,31,0,0
0000001_08414_d_0000013,164,150-300,1000,81,132,142,146,14,1,126,0,290,0,107,82,54,47,3,3
0000021_00000_d_0000001,31,<50,182,18,19,19,19,0,0,12,0,20,0,23,12,8,7,0,0
0000021_00500_d_0000002,17,<50,136,16,16,16,16,0,0,13,0,31,0,15,14,2,2,0,0
0000021_00800_d_0000003,7,<50,76,6,6,6,6,0,0,11,0,19,0,7,6,0,0,0,0
0000022_00000_d_0000004,41,<50,234,36,38,38,38,0,0,42,0,66,0,35,32,6,6,0,0
0000022_00500_d_0000005,32,<50,197,29,29,29,29,0,0,35,0,47,0,22,19,10,10,0,0
0000022_01036_d_0000006,16,<50,322,15,15,15,15,0,0,17,0,40,0,4,3,12,12,0,0
0000022_01251_d_0000007,12,<50,297,10,12,12,12,0,0,13,0,28,0,0,0,12,12,0,0
0000023_00000_d_0000008,40,<50,234,36,37,37,37,0,0,42,0,66,0,35,32,5,5,0,0
0000023_00300_d_0000009,30,<50,231,28,30,30,30,0,0,27,0,44,0,25,25,5,5,0,0
0000023_00868_d_0000010,20,<50,253,19,20,20,20,0,0,17,0,28,0,6,6,13,13,1,1
0000023_01233_d_0000011,14,<50,306,11,14,14,14,0,0,12,0,33,0,0,0,14,14,0,0
0000024_00000_d_0000012,21,<50,183,19,19,19,19,0,0,21,0,33,0,9,8,12,11,0,0
0000024_00500_d_0000013,10,<50,242,9,10,10,10,0,0,7,0,18,0,1,1,9,9,0,0
0000024_01000_d_0000014,12,<50,135,6,6,6,6,0,0,4,0,8,0,12,6,0,0,0,0
0000024_01543_d_0000015,8,<50,129,8,8,8,8,0,0,6,0,7,0,1,1,7,7,0,0
0000026_00000_d_0000024,8,<50,28,8,8,8,8,0,0,8,0,8,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,103,15,15,15,15,0,0,19,0,22,0,1,1,4,4,10,10
0000026_01000_d_0000026,25,<50,233,25,25,25,25,0,0,28,0,34,0,3,3,3,3,19,19
0000026_01500_d_0000027,10,<50,54,10,10,10,10,0,0,12,0,13,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,51,9,9,9,9,0,0,10,0,13,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,87,17,17,17,17,0,0,19,0,25,0,9,9,4,4,4,4
0000026_03000_d_0000030,13,<50,97,13,13,13,13,0,0,12,0,18,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,76,22,22,22,22,0,0,24,0,29,0,1,1,6,6,16,15
0000026_04000_d_0000032,14,<50,60,14,14,14,14,0,0,16,0,16,0,0,0,2,2,12,12
0000026_04500_d_0000033,47,<50,532,38,38,38,38,0,0,41,0,54,0,24,17,22,20,1,1
0000026_04978_d_0000034,45,<50,405,41,41,41,41,0,0,35,0,47,0,16,13,28,27,1,1
0000055_00000_d_0000109,101,100-150,1000,60,80,87,94,14,3,61,0,116,0,57,41,44,39,0,0
0000055_00714_d_0000110,85,50-100,1000,54,70,76,77,7,1,50,0,99,0,48,35,37,35,0,0
0000069_00001_d_0000001,34,<50,323,34,34,34,34,0,0,34,0,50,0,7,7,24,24,3,3
0000069_00483_d_0000002,27,<50,200,27,27,27,27,0,0,31,0,43,0,6,6,19,19,2,2
0000069_00713_d_0000003,49,<50,520,42,47,48,48,1,0,49,0,90,0,22,20,21,21,6,6
0000069_01109_d_0000004,31,<50,669,29,30,30,30,0,0,33,0,50,0,6,6,25,24,0,0
0000069_01878_d_0000005,36,<50,251,35,35,35,35,0,0,40,0,54,0,12,11,21,21,3,3
0000069_02163_d_0000006,49,<50,599,36,43,45,45,2,0,49,0,81,0,17,14,29,26,3,3
0000069_02480_d_0000007,64,50-100,927,47,54,54,57,3,0,48,0,99,0,29,21,34,32,1,1
0000072_02834_d_0000003,73,50-100,586,62,69,72,72,3,0,73,0,112,0,21,18,51,50,1,1
0000076_02142_d_0000009,11,<50,161,11,11,11,11,0,0,11,0,14,0,4,4,4,4,3,3
0000081_00000_d_0000001,86,50-100,1000,60,75,78,80,5,0,163,0,372,1,74,64,12,11,0,0
0000086_00000_d_0000001,37,<50,379,35,35,37,37,2,0,45,0,62,0,21,19,16,16,0,0
0000086_00592_d_0000002,65,50-100,619,59,62,62,62,0,0,67,0,99,0,40,37,25,25,0,0
0000086_01084_d_0000003,146,100-150,1000,78,115,122,126,11,0,118,0,211,0,132,101,14,14,0,0
0000086_01443_d_0000004,107,100-150,1000,77,97,99,101,4,0,121,0,236,0,96,86,11,11,0,0
0000086_01954_d_0000005,173,150-300,1000,83,124,132,139,15,0,126,0,211,0,163,114,10,10,0,0
