image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,1000,73,99,113,114,15,1,91,0,186,0,76,57,51,42,0,0
0000001_03499_d_0000006,77,50-100,1000,49,62,65,68,6,0,60,0,142,0,53,38,20,20,4,4
0000001_03999_d_0000007,48,<50,1000,36,39,40,45,6,0,68,0,135,0,26,20,21,18,1,1
0000001_04527_d_0000008,115,100-150,1000,62,85,101,104,19,0,93,0,235,0,72,45,43,40,0,0
0000001_05249_d_0000009,113,100-150,1000,87,105,107,108,3,0,106,0,170,0,27,21,85,83,1,1
0000001_05499_d_0000010,140,100-150,1000,88,122,124,126,4,0,101,0,154,0,52,37,67,64,21,21
0000001_05999_d_0000011,115,100-150,1000,73,98,103,106,8,0,91,0,187,0,66,52,42,39,7,7
0000001_07999_d_0000012,136,100-150,1000,71,95,109,111,16,0,79,0,213,0,99,63,37,32,0,0
0000001_08414_d_0000013,164,150-300,1000,84,120,141,149,29,4,99,0,227,0,107,72,54,45,3,3
0000021_00000_d_0000001,31,<50,486,18,22,22,22,0,0,8,0,21,0,23,15,8,7,0,0
0000021_00500_d_0000002,17,<50,341,16,16,16,16,0,0,6,0,21,0,15,14,2,2,0,0
0000021_00800_d_0000003,7,<50,211,7,7,7,7,0,0,9,0,23,0,7,7,0,0,0,0
0000022_00000_d_0000004,41,<50,745,34,37,37,37,0,0,31,0,64,0,35,31,6,6,0,0
0000022_00500_d_0000005,32,<50,624,29,31,31,31,0,0,22,0,50,0,22,21,10,10,0,0
0000022_01036_d_0000006,16,<50,372,16,16,16,16,0,0,13,0,30,0,4,4,12,12,0,0
0000022_01251_d_0000007,12,<50,381,11,12,12,12,0,0,11,0,29,0,0,0,12,12,0,0
0000023_00000_d_0000008,40,<50,745,33,36,37,37,1,0,31,0,64,0,35,32,5,4,0,0
0000023_00300_d_0000009,30,<50,647,28,28,30,30,2,0,16,0,46,0,25,23,5,5,0,0
0000023_00868_d_0000010,20,<50,652,20,20,20,20,0,0,10,0,21,0,6,6,13,13,1,1
0000023_01233_d_0000011,14,<50,397,12,14,14,14,0,0,10,0,22,0,0,0,14,14,0,0
0000024_00000_d_0000012,21,<50,455,19,20,20,20,0,0,15,0,30,0,9,9,12,11,0,0
0000024_00500_d_0000013,10,<50,165,7,8,8,8,0,0,7,0,11,0,1,1,9,7,0,0
0000024_01000_d_0000014,12,<50,278,7,7,7,7,0,0,3,0,9,0,12,7,0,0,0,0
0000024_01543_d_0000015,8,<50,105,8,8,8,8,0,0,7,0,10,0,1,1,7,7,0,0
0000026_00000_d_0000024,8,<50,70,8,8,8,8,0,0,8,0,9,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,126,15,15,15,15,0,0,15,0,19,0,1,1,4,4,10,10
0000026_01000_d_0000026,25,<50,327,25,25,25,25,0,0,27,0,33,0,3,3,3,3,19,19
0000026_01500_d_0000027,10,<50,62,10,10,10,10,0,0,14,0,15,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,96,9,9,9,9,0,0,11,0,13,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,209,17,17,17,17,0,0,17,0,23,0,9,9,4,4,4,4
0000026_03000_d_0000030,13,<50,88,13,13,13,13,0,0,15,0,17,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,129,23,23,23,23,0,0,22,0,27,0,1,1,6,6,16,16
0000026_04000_d_0000032,14,<50,79,14,14,14,14,0,0,15,0,17,0,0,0,2,2,12,12
0000026_04500_d_0000033,47,<50,979,36,38,39,40,2,0,32,0,70,0,24,17,22,20,1,1
0000026_04978_d_0000034,45,<50,772,40,43,43,43,0,0,32,0,52,0,16,14,28,28,1,1
0000055_00000_d_0000109,101,100-150,1000,62,76,80,88,12,1,57,0,103,0,57,38,44,38,0,0
0000055_00714_d_0000110,85,50-100,1000,50,68,74,78,10,0,45,0,81,0,48,38,37,30,0,0
0000069_00001_d_0000001,34,<50,616,32,34,34,34,0,0,31,0,44,0,7,7,24,24,3,3
0000069_00483_d_0000002,27,<50,535,26,27,27,27,0,0,24,0,41,0,6,6,19,19,2,2
0000069_00713_d_0000003,49,<50,1000,44,48,49,49,1,0,42,0,78,0,22,21,21,21,6,6
0000069_01109_d_0000004,31,<50,756,27,31,31,31,0,0,23,0,46,0,6,6,25,25,0,0
0000069_01878_d_0000005,36,<50,636,33,34,36,36,2,0,31,0,48,0,12,11,21,20,3,3
0000069_02163_d_0000006,49,<50,1000,36,41,43,43,2,0,34,0,78,0,17,14,29,24,3,3
0000069_02480_d_0000007,64,50-100,1000,45,52,54,56,4,0,48,0,82,0,29,19,34,32,1,1
0000072_02834_d_0000003,73,50-100,1000,64,71,72,72,1,0,79,0,112,0,21,19,51,51,1,1
0000076_02142_d_0000009,11,<50,361,11,11,11,11,0,0,11,0,20,0,4,4,4,4,3,3
0000081_00000_d_0000001,86,50-100,1000,57,72,79,81,9,0,124,0,279,0,74,62,12,10,0,0
0000086_00000_d_0000001,37,<50,954,34,36,37,37,1,0,38,0,68,0,21,20,16,16,0,0
0000086_00592_d_0000002,65,50-100,1000,56,62,62,63,1,0,48,0,88,0,40,37,25,25,0,0
0000086_01084_d_0000003,146,100-150,1000,77,110,122,128,18,1,90,0,191,0,132,97,14,13,0,0
0000086_01443_d_0000004,107,100-150,1000,76,91,97,102,11,0,106,0,192,0,96,81,11,10,0,0
0000086_01954_d_0000005,173,150-300,1000,83,115,132,141,26,0,102,0,177,0,163,105,10,10,0,0
0000103_00180_d_0000026,1,<50,75,1,1,1,1,0,0,0,0,3,0,0,0,0,0,1,1
0000103_00502_d_0000027,3,<50,50,3,3,3,3,0,0,3,0,4,0,0,0,0,0,3,3
0000103_01734_d_0000028,4,<50,96,4,4,4,4,0,0,2,0,6,0,0,0,0,0,4,4
0000103_02544_d_0000029,14,<50,483,14,14,14,14,0,0,5,0,15,0,0,0,10,10,4,4
0000103_02964_d_0000030,10,<50,531,10,10,10,10,0,0,9,0,25,0,0,0,0,0,10,10
