image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
"273271,104ec00067d5b782",39,<50,239,11,16,16,16,20,0,36,0,0,0,1,0,38,16
"273271,10f400006b6fb935",7,<50,159,7,7,7,7,9,0,10,0,0,0,0,0,7,7
"273271,118910008d823f61",11,<50,347,9,11,11,11,10,0,15,0,0,0,3,3,8,8
"273271,1236a000e7524e84",10,<50,190,0,1,1,1,11,0,17,0,0,0,0,0,10,1
"273271,1261a0009930d51b",66,50-100,1000,20,27,30,35,70,0,134,0,0,0,0,0,66,27
"273271,12822000b1291a69",11,<50,989,5,7,7,7,26,0,46,0,0,0,0,0,11,7
"273271,128e30009deaa60c",45,<50,1000,7,10,10,13,74,0,114,0,0,0,7,1,38,9
"273271,12ba800097883475",3,<50,140,0,0,0,0,9,0,11,0,0,0,0,0,3,0
"273271,12c170004bd53807",17,<50,236,3,7,7,7,17,0,26,0,0,0,0,0,17,7
"273271,12ccf00065c5c4ec",33,<50,977,13,16,19,20,50,0,89,0,0,0,17,7,16,9
"273271,130b000028458ffc",16,<50,349,8,10,11,11,30,0,36,0,0,0,0,0,16,10
"273271,13246000712ad042",10,<50,380,6,7,7,7,19,0,27,0,0,0,0,0,10,7
"273271,135a5000d155754b",3,<50,94,3,3,3,3,6,0,8,0,0,0,0,0,3,3
"273271,13d43000e395817c",27,<50,703,17,19,21,21,44,0,55,0,0,0,2,1,25,18
"273271,14dc300072ecd939",18,<50,469,8,11,13,13,23,0,45,0,0,0,4,0,14,11
"273271,14f00058acfe2f",13,<50,251,10,10,10,10,11,0,16,0,2,2,9,7,2,1
"273271,14f0d00052515611",30,<50,923,9,10,10,11,41,0,68,0,1,0,18,3,11,7
"273271,151210003c437b07",30,<50,956,6,7,9,11,67,0,103,0,0,0,8,1,22,6
"273271,15df10008c97808a",15,<50,487,8,8,8,8,29,0,42,0,0,0,15,8,0,0
"273271,15ed10009d6db026",17,<50,540,10,10,10,10,16,0,31,0,0,0,0,0,17,10
"273271,160e7000b3a0550e",21,<50,533,19,19,19,19,27,0,36,0,0,0,0,0,21,19
"273271,1613e000ae579bb0",4,<50,97,0,0,0,0,8,0,12,0,0,0,0,0,4,0
"273271,162e3000d2db4fe1",12,<50,523,8,9,9,9,33,0,51,0,0,0,0,0,12,9
"273271,16308000dcae1237",3,<50,80,2,2,2,2,5,0,5,0,0,0,0,0,3,2
"273271,165ce00009d65be3",27,<50,306,17,18,18,18,35,0,49,0,1,1,21,15,5,2
"273271,167b200074ab5d59",9,<50,813,4,4,4,4,36,0,66,0,0,0,0,0,9,4
"273271,1764b000b232f0d0",18,<50,244,13,14,14,14,23,0,28,0,0,0,0,0,18,14
"273271,183f50002c0cdff1",8,<50,356,6,8,8,8,20,0,33,0,0,0,1,1,7,7
"273271,18e4e000478c1a3d",28,<50,227,12,16,16,16,25,0,33,0,2,2,9,2,17,12
"273271,18f1d000d4b26eb1",16,<50,815,2,3,3,3,19,0,31,0,0,0,1,0,15,3
"273271,19586000274aa602",10,<50,208,1,1,1,1,14,0,21,0,0,0,0,0,10,1
"273271,197560000058bbda",44,<50,687,30,31,36,37,64,0,79,0,0,0,0,0,44,31
"273271,19b08000df8a9c2d",19,<50,692,4,6,8,8,27,0,41,0,0,0,1,0,18,6
"273271,19d4b0009f615dd9",13,<50,964,11,13,13,13,43,0,78,0,0,0,6,6,7,7
"273271,1b9330008da38cd6",12,<50,490,5,6,7,7,21,0,30,0,0,0,3,2,9,4
"273271,1bb16000e7a389a3",5,<50,152,0,0,0,0,8,0,14,0,0,0,0,0,5,0
"273271,1bd660006ab0ac6a",8,<50,25,8,8,8,8,8,0,9,0,0,0,0,0,8,8
"273271,1be0200037d3046d",13,<50,445,1,3,3,3,28,0,44,0,0,0,9,2,4,1
"273271,1c20c00070107528",7,<50,306,5,6,6,6,21,0,32,0,0,0,0,0,7,6
"273271,1c4c300008432bc2",7,<50,135,7,7,7,7,8,0,11,0,0,0,0,0,7,7
"273271,1c72c000a2ee47d5",7,<50,195,7,7,7,7,7,0,12,0,0,0,0,0,7,7
"273271,1cc7d000a31f3d60",5,<50,160,2,2,2,2,8,0,8,0,0,0,0,0,5,2
"273271,1d7b80003ec0213d",4,<50,94,0,0,0,0,5,0,9,0,0,0,0,0,4,0
"273271,1da8500031927201",5,<50,357,4,5,5,5,15,0,20,0,0,0,0,0,5,5
"273271,1dad700087bcc50a",5,<50,201,2,2,2,2,20,0,23,0,0,0,0,0,5,2
"273271,1ddda0001685370d",9,<50,365,9,9,9,9,13,0,21,0,0,0,0,0,9,9
"273271,1e008000ee65ad31",8,<50,149,7,7,7,7,13,0,15,0,0,0,0,0,8,7
"273271,1e59400094ef5d82",10,<50,134,10,10,10,10,12,0,17,0,0,0,2,2,8,8
"273271,1e97800008a6fcb5",6,<50,154,1,2,2,2,9,0,18,0,0,0,0,0,6,2
