image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
"273271,104ec00067d5b782",39,<50,482,10,17,18,18,20,0,30,0,0,0,1,0,38,17
"273271,10f400006b6fb935",7,<50,227,7,7,7,7,8,0,11,0,0,0,0,0,7,7
"273271,118910008d823f61",11,<50,464,9,10,10,10,7,0,9,0,0,0,3,3,8,7
"273271,1236a000e7524e84",10,<50,205,3,3,3,3,14,0,23,0,0,0,0,0,10,3
"273271,1261a0009930d51b",66,50-100,1000,16,26,30,35,57,0,117,0,0,0,0,0,66,26
"273271,12822000b1291a69",11,<50,975,6,8,8,9,16,0,41,0,0,0,0,0,11,8
"273271,128e30009deaa60c",45,<50,1000,10,17,24,32,57,0,124,0,0,0,7,2,38,15
"273271,12ba800097883475",3,<50,189,1,2,2,2,5,0,8,0,0,0,0,0,3,2
"273271,12c170004bd53807",17,<50,349,4,6,6,6,14,0,33,0,0,0,0,0,17,6
"273271,12ccf00065c5c4ec",33,<50,980,13,16,21,25,35,0,81,0,0,0,17,9,16,7
"273271,130b000028458ffc",16,<50,394,7,7,7,7,28,0,37,0,0,0,0,0,16,7
"273271,13246000712ad042",10,<50,461,4,5,5,5,15,0,26,0,0,0,0,0,10,5
"273271,135a5000d155754b",3,<50,200,2,3,3,3,5,0,9,0,0,0,0,0,3,3
"273271,13d43000e395817c",27,<50,722,18,20,22,22,29,0,44,0,0,0,2,2,25,18
"273271,14dc300072ecd939",18,<50,640,10,12,14,14,18,0,39,0,0,0,4,0,14,12
"273271,14f00058acfe2f",13,<50,292,12,12,12,12,7,0,13,0,2,2,9,8,2,2
"273271,14f0d00052515611",30,<50,860,10,12,14,15,29,0,54,0,1,0,18,5,11,7
"273271,151210003c437b07",30,<50,951,7,14,17,19,51,0,132,0,0,0,8,2,22,12
"273271,15df10008c97808a",15,<50,524,9,11,12,12,23,0,43,0,0,0,15,11,0,0
"273271,15ed10009d6db026",17,<50,751,10,12,12,12,19,0,34,0,0,0,0,0,17,12
"273271,160e7000b3a0550e",21,<50,755,16,16,16,16,24,0,35,0,0,0,0,0,21,16
"273271,1613e000ae579bb0",4,<50,108,1,1,1,1,8,0,9,0,0,0,0,0,4,1
"273271,162e3000d2db4fe1",12,<50,844,10,10,10,10,25,0,43,0,0,0,0,0,12,10
"273271,16308000dcae1237",3,<50,231,3,3,3,3,4,0,7,0,0,0,0,0,3,3
"273271,165ce00009d65be3",27,<50,734,17,22,22,23,31,0,50,0,1,1,21,16,5,5
"273271,167b200074ab5d59",9,<50,977,5,5,6,7,29,0,64,0,0,0,0,0,9,5
"273271,1764b000b232f0d0",18,<50,370,12,15,15,15,19,0,23,0,0,0,0,0,18,15
"273271,183f50002c0cdff1",8,<50,419,6,6,6,6,17,0,29,0,0,0,1,1,7,5
"273271,18e4e000478c1a3d",28,<50,352,4,6,7,7,24,0,36,0,2,1,9,0,17,5
"273271,18f1d000d4b26eb1",16,<50,803,5,6,6,6,11,0,29,0,0,0,1,0,15,6
"273271,19586000274aa602",10,<50,251,3,5,5,5,13,0,19,0,0,0,0,0,10,5
"273271,197560000058bbda",44,<50,879,29,34,37,39,51,0,69,0,0,0,0,0,44,34
"273271,19b08000df8a9c2d",19,<50,887,6,6,8,8,28,0,49,0,0,0,1,0,18,6
"273271,19d4b0009f615dd9",13,<50,954,11,11,13,13,32,0,70,0,0,0,6,5,7,6
"273271,1b9330008da38cd6",12,<50,671,4,6,7,7,18,0,28,0,0,0,3,2,9,4
"273271,1bb16000e7a389a3",5,<50,211,0,0,0,0,8,0,17,0,0,0,0,0,5,0
"273271,1bd660006ab0ac6a",8,<50,95,8,8,8,8,8,0,8,0,0,0,0,0,8,8
"273271,1be0200037d3046d",13,<50,563,1,2,3,3,23,0,42,0,0,0,9,1,4,1
"273271,1c20c00070107528",7,<50,338,5,7,7,7,16,0,21,0,0,0,0,0,7,7
"273271,1c4c300008432bc2",7,<50,453,7,7,7,7,8,0,18,0,0,0,0,0,7,7
"273271,1c72c000a2ee47d5",7,<50,196,7,7,7,7,8,0,9,0,0,0,0,0,7,7
"273271,1cc7d000a31f3d60",5,<50,263,2,2,2,2,5,0,7,0,0,0,0,0,5,2
"273271,1d7b80003ec0213d",4,<50,209,0,0,0,0,5,0,12,0,0,0,0,0,4,0
"273271,1da8500031927201",5,<50,412,5,5,5,5,10,0,24,0,0,0,0,0,5,5
"273271,1dad700087bcc50a",5,<50,304,4,4,4,4,16,0,20,0,0,0,0,0,5,4
"273271,1ddda0001685370d",9,<50,335,7,7,8,8,11,0,18,0,0,0,0,0,9,7
"273271,1e008000ee65ad31",8,<50,396,8,8,8,8,10,0,14,0,0,0,0,0,8,8
"273271,1e59400094ef5d82",10,<50,212,10,10,10,10,13,0,18,0,0,0,2,2,8,8
"273271,1e97800008a6fcb5",6,<50,204,1,1,1,1,7,0,18,0,0,0,0,0,6,1
"273271,1eb8c0000beccfd1",4,<50,189,0,0,0,0,6,0,13,0,0,0,0,0,4,0
"273271,1ed81000290034fa",3,<50,833,1,1,1,1,16,0,32,0,0,0,0,0,3,1
"273271,1f0ac00034c81048",6,<50,122,0,0,0,0,6,0,11,0,0,0,0,0,6,0
"273271,1f194000b8070849",8,<50,238,4,4,4,4,9,0,15,0,0,0,0,0,8,4
"273271,1f29200037af8acb",5,<50,143,1,1,1,1,8,0,10,0,0,0,0,0,5,1
"273271,1f3ca000086fb919",17,<50,608,10,11,12,12,18,0,35,0,0,0,0,0,17,11
"273271,1f521000946ad8d8",14,<50,235,13,13,13,13,15,0,19,0,0,0,0,0,14,13
"273271,1f5eb00035f864b3",19,<50,419,19,19,19,19,27,0,36,0,0,0,0,0,19,19
"273271,1f6dd00084f9d116",7,<50,437,7,7,7,7,10,0,27,0,0,0,0,0,7,7
"273271,1f79d000d5f1a68f",12,<50,271,5,7,7,7,10,0,17,0,0,0,0,0,12,7
"273271,1fc8f00076bce197",5,<50,368,5,5,5,5,12,0,28,0,0,0,0,0,5,5
"273271,1fe29000ddadf112",5,<50,362,5,5,5,5,7,0,23,0,0,0,0,0,5,5
"273271,1fe910001b52222b",5,<50,398,5,5,5,5,5,0,14,0,0,0,0,0,5,5
"273271,1ff68000b0151886",11,<50,224,10,11,11,11,11,0,14,0,0,0,0,0,11,11
"273271,20a02000f1bcfb00",5,<50,147,0,0,0,0,6,0,14,0,0,0,0,0,5,0
"273271,20ae800047248409",5,<50,293,0,0,0,0,6,0,12,0,0,0,0,0,5,0
"273271,20ffb000f5650fea",4,<50,296,1,1,1,1,7,0,9,0,0,0,0,0,4,1
"273271,212ef000505c8286",9,<50,424,0,1,1,1,15,0,28,0,0,0,0,0,9,1
"273271,213170000a5f09b3",6,<50,258,6,6,6,6,8,0,11,0,0,0,0,0,6,6
"273271,21864000f8886c1b",15,<50,469,11,12,12,12,18,0,28,0,0,0,0,0,15,12
"273271,2189f00051276139",5,<50,408,5,5,5,5,11,0,24,0,0,0,0,0,5,5
"273271,219640002d98657b",4,<50,125,1,1,1,1,7,0,11,0,0,0,0,0,4,1
"273271,21ecc000206d7951",21,<50,547,13,14,15,15,28,0,36,0,0,0,0,0,21,14
"273271,21f7f00077d5f4ec",5,<50,196,0,0,0,0,5,0,12,0,0,0,0,0,5,0
"273271,222c700034b1892f",3,<50,71,1,1,1,1,2,0,4,0,0,0,0,0,3,1
"273271,222f00007e89675c",6,<50,231,3,4,4,4,6,0,13,0,0,0,0,0,6,4
"273271,2277e000891f2e71",13,<50,651,12,12,13,13,19,0,32,0,0,0,0,0,13,12
"273271,22b030001c7be4ec",5,<50,98,0,0,0,0,8,0,9,0,0,0,0,0,5,0
"273271,22c84000744abf1f",28,<50,445,24,25,25,25,32,0,44,0,0,0,18,15,10,10
"273271,22d4b000dc140bf3",6,<50,162,6,6,6,6,10,0,11,0,1,1,1,1,4,4
"273271,22f4f0002b8b12fd",26,<50,476,12,19,20,20,18,0,35,0,0,0,0,0,26,19
"273271,22f940006fbbb182",7,<50,210,6,6,6,6,7,0,13,0,0,0,0,0,7,6
"273271,2325b000a51c94f4",6,<50,110,6,6,6,6,7,0,9,0,0,0,1,1,5,5
"273271,233c5000b4869d9b",3,<50,133,3,3,3,3,11,0,16,0,0,0,0,0,3,3
"273271,2342c00020f492db",51,50-100,966,14,26,32,34,27,0,55,0,0,0,0,0,51,26
"273271,236770002c5e37ce",11,<50,449,10,10,10,10,17,0,23,0,0,0,0,0,11,10
"273271,236d8000a42d1234",17,<50,279,17,17,17,17,19,0,26,0,0,0,16,16,1,1
"273271,236f40003237a8ca",23,<50,894,12,13,15,16,24,0,37,0,0,0,0,0,23,13
"273271,23d9d0000f219568",21,<50,375,19,20,20,20,21,0,28,0,2,2,12,11,7,7
"273271,253a7000ced2b293",25,<50,437,18,19,20,20,24,0,38,0,0,0,2,1,23,18
"273271,25d0003419579b",19,<50,634,12,14,16,16,14,0,25,0,0,0,1,1,18,13
"273271,25d38000201516ad",76,50-100,923,50,65,68,69,29,0,49,0,16,11,56,50,4,4
"273271,25de80001c3cb24b",14,<50,429,13,13,13,13,15,0,25,0,0,0,0,0,14,13
"273271,2627d000cece5c2f",104,100-150,537,35,52,60,60,12,0,24,0,43,11,52,34,9,7
"273271,263cf000b065caf8",27,<50,614,21,21,21,21,29,0,38,0,2,0,18,15,7,6
"273271,2644300003c8caac",27,<50,208,15,19,19,19,12,0,18,0,0,0,18,11,9,8
"273271,2646500003842bb2",20,<50,284,13,18,18,18,20,0,24,0,0,0,0,0,20,18
"273271,265c9000e1a72c57",11,<50,285,11,11,11,11,15,0,19,0,0,0,2,2,9,9
"273271,26f250004abc2e0d",5,<50,60,5,5,5,5,6,0,6,0,0,0,0,0,5,5
"273271,26f86000482db820",5,<50,171,1,1,1,1,4,0,10,0,0,0,0,0,5,1
"273271,2720e0009fd8f9d2",25,<50,438,19,20,20,20,18,0,30,0,0,0,0,0,25,20
"273271,275bd000ba4f2a04",17,<50,408,14,16,16,16,15,0,23,0,0,0,5,4,12,12
"273271,28115000d728c131",60,50-100,366,42,47,47,47,25,0,43,0,3,0,31,22,26,25
