image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
"273271,104ec00067d5b782",39,<50,534,32,38,38,38,0,0,23,0,38,0,1,1,25,24,13,13
"273271,10f400006b6fb935",7,<50,368,7,7,7,7,0,0,13,0,20,0,0,0,0,0,7,7
"273271,118910008d823f61",11,<50,535,9,10,10,10,0,0,7,0,9,0,1,1,4,4,6,5
"273271,1236a000e7524e84",10,<50,322,8,10,10,10,0,0,10,0,26,0,0,0,1,1,9,9
"273271,1261a0009930d51b",66,50-100,1000,37,52,58,60,8,1,53,0,100,0,0,0,4,2,62,50
"273271,12822000b1291a69",11,<50,1000,10,11,11,11,0,0,14,0,31,0,0,0,1,1,10,10
"273271,128e30009deaa60c",45,<50,1000,33,39,40,42,3,0,55,0,99,0,1,1,28,25,16,13
"273271,12ba800097883475",3,<50,217,3,3,3,3,0,0,5,0,6,0,0,0,0,0,3,3
"273271,12c170004bd53807",17,<50,983,11,14,14,16,2,0,33,0,55,0,0,0,0,0,17,14
"273271,12ccf00065c5c4ec",33,<50,1000,27,30,30,32,2,0,28,0,67,0,2,2,20,19,11,9
"273271,130b000028458ffc",16,<50,551,16,16,16,16,0,0,25,0,32,0,0,0,0,0,16,16
"273271,13246000712ad042",10,<50,548,8,9,9,9,0,0,17,0,25,0,0,0,0,0,10,9
"273271,135a5000d155754b",3,<50,234,3,3,3,3,0,0,3,0,9,0,0,0,0,0,3,3
"273271,13d43000e395817c",27,<50,1000,23,25,26,26,1,0,37,0,51,0,2,1,2,2,23,22
"273271,14dc300072ecd939",18,<50,1000,14,18,18,18,0,0,29,0,47,0,0,0,8,8,10,10
"273271,14f00058acfe2f",13,<50,409,13,13,13,13,0,0,9,0,14,0,4,4,7,7,2,2
"273271,14f0d00052515611",30,<50,1000,26,26,28,28,2,0,27,0,48,0,6,4,18,16,6,6
"273271,151210003c437b07",30,<50,1000,26,28,28,29,1,0,49,0,100,0,0,0,17,16,13,12
"273271,15df10008c97808a",15,<50,939,15,15,15,15,0,0,25,0,42,0,6,6,9,9,0,0
"273271,15ed10009d6db026",17,<50,1000,16,16,16,16,0,0,21,0,34,0,0,0,5,4,12,12
"273271,160e7000b3a0550e",21,<50,812,20,20,21,21,1,0,20,0,29,0,0,0,0,0,21,20
"273271,1613e000ae579bb0",4,<50,359,4,4,4,4,0,0,11,0,17,0,0,0,0,0,4,4
"273271,162e3000d2db4fe1",12,<50,1000,11,12,12,12,0,0,21,0,43,0,0,0,2,2,10,10
"273271,16308000dcae1237",3,<50,245,3,3,3,3,0,0,4,0,5,0,0,0,0,0,3,3
"273271,165ce00009d65be3",27,<50,1000,20,23,26,26,3,0,29,0,55,0,5,4,19,16,3,3
"273271,167b200074ab5d59",9,<50,1000,7,7,7,7,0,0,26,0,56,0,0,0,2,1,7,6
"273271,1764b000b232f0d0",18,<50,433,18,18,18,18,0,0,18,0,19,0,0,0,4,4,14,14
"273271,183f50002c0cdff1",8,<50,522,7,7,7,7,0,0,16,0,31,0,0,0,2,2,6,5
"273271,18e4e000478c1a3d",28,<50,572,26,28,28,28,0,0,25,0,37,0,8,8,18,18,2,2
"273271,18f1d000d4b26eb1",16,<50,1000,14,15,16,16,1,0,15,0,40,0,0,0,4,4,12,11
"273271,19586000274aa602",10,<50,316,9,10,10,10,0,0,14,0,18,0,0,0,3,3,7,7
"273271,197560000058bbda",44,<50,1000,42,43,43,44,1,0,47,0,67,0,0,0,0,0,44,43
"273271,19b08000df8a9c2d",19,<50,1000,19,19,19,19,0,0,30,0,49,0,0,0,10,10,9,9
"273271,19d4b0009f615dd9",13,<50,1000,12,12,12,12,0,0,29,0,69,0,0,0,8,8,5,4
"273271,1b9330008da38cd6",12,<50,886,11,11,11,12,1,0,20,0,28,0,0,0,3,3,9,8
"273271,1bb16000e7a389a3",5,<50,243,5,5,5,5,0,0,7,0,10,0,0,0,0,0,5,5
"273271,1bd660006ab0ac6a",8,<50,70,8,8,8,8,0,0,8,0,8,0,0,0,1,1,7,7
"273271,1be0200037d3046d",13,<50,910,13,13,13,13,0,0,22,0,36,0,3,3,6,6,4,4
"273271,1c20c00070107528",7,<50,439,7,7,7,7,0,0,18,0,19,0,0,0,0,0,7,7
"273271,1c4c300008432bc2",7,<50,513,7,7,7,7,0,0,7,0,12,0,0,0,0,0,7,7
"273271,1c72c000a2ee47d5",7,<50,264,7,7,7,7,0,0,9,0,11,0,0,0,0,0,7,7
"273271,1cc7d000a31f3d60",5,<50,250,5,5,5,5,0,0,6,0,7,0,0,0,0,0,5,5
"273271,1d7b80003ec0213d",4,<50,239,4,4,4,4,0,0,4,0,11,0,0,0,0,0,4,4
"273271,1da8500031927201",5,<50,604,5,5,5,5,0,0,9,0,15,0,0,0,0,0,5,5
"273271,1dad700087bcc50a",5,<50,364,5,5,5,5,0,0,16,0,22,0,0,0,0,0,5,5
"273271,1ddda0001685370d",9,<50,375,9,9,9,9,0,0,11,0,15,0,0,0,0,0,9,9
"273271,1e008000ee65ad31",8,<50,373,8,8,8,8,0,0,13,0,16,0,0,0,1,1,7,7
"273271,1e59400094ef5d82",10,<50,249,10,10,10,10,0,0,13,0,18,0,0,0,3,3,7,7
"273271,1e97800008a6fcb5",6,<50,268,6,6,6,6,0,0,8,0,14,0,0,0,0,0,6,6
"273271,1eb8c0000beccfd1",4,<50,322,4,4,4,4,0,0,8,0,12,0,0,0,0,0,4,4
"273271,1ed81000290034fa",3,<50,1000,3,3,3,3,0,0,21,0,41,0,0,0,0,0,3,3
"273271,1f0ac00034c81048",6,<50,161,6,6,6,6,0,0,6,0,11,0,0,0,0,0,6,6
"273271,1f194000b8070849",8,<50,248,8,8,8,8,0,0,7,0,12,0,0,0,0,0,8,8
"273271,1f29200037af8acb",5,<50,161,5,5,5,5,0,0,6,0,7,0,0,0,0,0,5,5
"273271,1f3ca000086fb919",17,<50,881,16,17,17,17,0,0,13,0,29,0,1,1,5,5,11,11
"273271,1f521000946ad8d8",14,<50,267,13,14,14,14,0,0,15,0,17,0,0,0,0,0,14,14
"273271,1f5eb00035f864b3",19,<50,542,19,19,19,19,0,0,21,0,27,0,0,0,0,0,19,19
"273271,1f6dd00084f9d116",7,<50,683,7,7,7,7,0,0,9,0,17,0,0,0,0,0,7,7
"273271,1f79d000d5f1a68f",12,<50,469,11,12,12,12,0,0,14,0,24,0,0,0,0,0,12,12
"273271,1fc8f00076bce197",5,<50,496,5,5,5,5,0,0,11,0,20,0,0,0,0,0,5,5
"273271,1fe29000ddadf112",5,<50,594,5,5,5,5,0,0,5,0,15,0,0,0,0,0,5,5
"273271,1fe910001b52222b",5,<50,418,5,5,5,5,0,0,8,0,12,0,0,0,0,0,5,5
"273271,1ff68000b0151886",11,<50,256,11,11,11,11,0,0,11,0,14,0,0,0,0,0,11,11
"273271,20a02000f1bcfb00",5,<50,236,5,5,5,5,0,0,4,0,8,0,0,0,0,0,5,5
"273271,20ae800047248409",5,<50,283,5,5,5,5,0,0,6,0,9,0,0,0,0,0,5,5
"273271,20ffb000f5650fea",4,<50,282,3,4,4,4,0,0,6,0,7,0,0,0,0,0,4,4
"273271,212ef000505c8286",9,<50,532,6,7,8,8,1,0,14,0,22,0,0,0,0,0,9,7
"273271,213170000a5f09b3",6,<50,286,6,6,6,6,0,0,7,0,13,0,0,0,0,0,6,6
"273271,21864000f8886c1b",15,<50,469,15,15,15,15,0,0,17,0,29,0,0,0,0,0,15,15
"273271,2189f00051276139",5,<50,498,5,5,5,5,0,0,9,0,18,0,0,0,0,0,5,5
"273271,219640002d98657b",4,<50,163,4,4,4,4,0,0,6,0,11,0,0,0,0,0,4,4
"273271,21ecc000206d7951",21,<50,601,20,20,20,20,0,0,27,0,36,0,0,0,5,4,16,16
"273271,21f7f00077d5f4ec",5,<50,261,5,5,5,5,0,0,3,0,10,0,0,0,0,0,5,5
"273271,222c700034b1892f",3,<50,252,3,3,3,3,0,0,6,0,10,0,0,0,0,0,3,3
"273271,222f00007e89675c",6,<50,263,5,6,6,6,0,0,6,0,8,0,0,0,0,0,6,6
"273271,2277e000891f2e71",13,<50,828,13,13,13,13,0,0,15,0,29,0,0,0,0,0,13,13
"273271,22b030001c7be4ec",5,<50,146,4,4,4,4,0,0,6,0,9,0,0,0,0,0,5,4
"273271,22c84000744abf1f",28,<50,562,26,27,27,27,0,0,28,0,42,0,4,3,14,14,10,10
"273271,22d4b000dc140bf3",6,<50,195,6,6,6,6,0,0,9,0,12,0,1,1,1,1,4,4
"273271,22f4f0002b8b12fd",26,<50,501,23,25,26,26,1,0,20,0,29,0,0,0,3,3,23,22
"273271,22f940006fbbb182",7,<50,295,7,7,7,7,0,0,9,0,12,0,0,0,0,0,7,7
"273271,2325b000a51c94f4",6,<50,110,6,6,6,6,0,0,6,0,6,0,0,0,2,2,4,4
"273271,233c5000b4869d9b",3,<50,195,3,3,3,3,0,0,12,0,16,0,0,0,0,0,3,3
"273271,2342c00020f492db",51,50-100,1000,36,40,44,45,5,1,20,0,49,0,0,0,4,3,47,37
"273271,236770002c5e37ce",11,<50,677,11,11,11,11,0,0,21,0,28,0,0,0,0,0,11,11
"273271,236d8000a42d1234",17,<50,363,17,17,17,17,0,0,18,0,23,0,0,0,16,16,1,1
"273271,236f40003237a8ca",23,<50,1000,23,23,23,23,0,0,23,0,42,0,0,0,0,0,23,23
"273271,23d9d0000f219568",21,<50,554,21,21,21,21,0,0,19,0,25,0,4,4,10,10,7,7
"273271,253a7000ced2b293",25,<50,657,23,23,23,23,0,0,29,0,46,0,0,0,7,7,18,16
"273271,25d0003419579b",19,<50,856,14,15,17,17,2,0,14,0,25,0,0,0,3,3,16,12
"273271,25d38000201516ad",76,50-100,1000,54,65,70,71,6,1,31,0,48,0,23,17,49,44,4,4
"273271,25de80001c3cb24b",14,<50,432,14,14,14,14,0,0,15,0,21,0,0,0,0,0,14,14
"273271,2627d000cece5c2f",104,100-150,1000,32,45,53,65,20,0,11,0,23,0,68,15,27,23,9,7
"273271,263cf000b065caf8",27,<50,844,27,27,27,27,0,0,29,0,38,0,5,5,15,15,7,7
"273271,2644300003c8caac",27,<50,1000,22,22,22,23,1,0,23,0,33,0,0,0,20,15,7,7
"273271,2646500003842bb2",20,<50,246,14,20,20,20,0,0,20,0,22,0,0,0,0,0,20,20
"273271,265c9000e1a72c57",11,<50,460,11,11,11,11,0,0,13,0,16,0,0,0,2,2,9,9
"273271,26f250004abc2e0d",5,<50,58,5,5,5,5,0,0,7,0,7,0,0,0,0,0,5,5
"273271,26f86000482db820",5,<50,205,4,4,4,4,0,0,4,0,11,0,0,0,0,0,5,4
"273271,2720e0009fd8f9d2",25,<50,581,24,24,24,24,0,0,19,0,34,0,0,0,3,3,22,21
"273271,275bd000ba4f2a04",17,<50,509,16,17,17,17,0,0,12,0,16,0,0,0,7,7,10,10
"273271,28115000d728c131",60,50-100,595,41,49,50,50,1,0,29,0,43,0,10,4,29,25,21,20
"273271,28cc90007e02e6a6",20,<50,893,16,18,18,19,1,0,23,0,36,0,13,11,2,2,5,5
"273271,292000f8e9eec1",12,<50,426,11,11,11,11,0,0,16,0,21,0,0,0,0,0,12,11
"273271,29873000cc84f9ab",8,<50,358,7,7,7,7,0,0,8,0,15,0,0,0,3,2,5,5
"273271,299570006cb822b1",32,<50,831,31,32,32,32,0,0,26,0,47,0,0,0,0,0,32,32
"273271,2a10a000c689f4cb",7,<50,188,7,7,7,7,0,0,7,0,12,0,0,0,0,0,7,7
"273271,2a7c20009fa3170e",20,<50,261,20,20,20,20,0,0,19,0,21,0,0,0,12,12,8,8
"273271,2b0f0000f33b8464",19,<50,838,16,17,18,18,1,0,25,0,27,0,1,0,8,7,10,10
"273271,2b27b00094562021",8,<50,251,8,8,8,8,0,0,8,0,12,0,0,0,0,0,8,8
"273271,2b3eb0002dbca786",25,<50,939,24,25,25,25,0,0,20,0,47,0,0,0,17,17,8,8
"273271,2ba7800042e32680",6,<50,230,6,6,6,6,0,0,8,0,15,0,0,0,0,0,6,6
"273271,2bb9000df8fb9a4",11,<50,548,11,11,11,11,0,0,13,0,18,0,0,0,0,0,11,11
