image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,1000,53,80,98,103,23,6,37,0,81,0,76,46,51,34,0,0
0000001_03499_d_0000006,77,50-100,1000,49,60,66,67,7,0,46,0,90,0,53,37,20,19,4,4
0000001_03999_d_0000007,48,<50,1000,35,40,43,44,4,0,29,0,60,0,26,21,21,18,1,1
0000001_04527_d_0000008,115,100-150,1000,46,76,95,98,22,4,35,0,81,0,72,45,43,31,0,0
0000001_05249_d_0000009,113,100-150,1000,65,89,96,101,12,1,66,0,107,0,27,18,85,70,1,1
0000001_05499_d_0000010,140,100-150,1000,71,108,120,126,18,0,68,0,104,0,52,28,67,59,21,21
0000001_05999_d_0000011,115,100-150,1000,65,94,99,102,8,2,64,0,105,0,66,47,42,40,7,7
0000001_07999_d_0000012,136,100-150,1000,64,93,103,109,16,0,49,0,95,0,99,65,37,28,0,0
0000001_08414_d_0000013,164,150-300,1000,68,106,118,131,25,5,51,0,100,0,107,64,54,39,3,3
0000021_00000_d_0000001,31,<50,495,21,25,25,25,0,0,16,0,32,0,23,17,8,8,0,0
0000021_00500_d_0000002,17,<50,240,16,16,16,16,0,0,9,0,18,0,15,14,2,2,0,0
0000021_00800_d_0000003,7,<50,182,7,7,7,7,0,0,4,0,10,0,7,7,0,0,0,0
0000022_00000_d_0000004,41,<50,516,34,38,38,38,0,0,30,0,44,0,35,32,6,6,0,0
0000022_00500_d_0000005,32,<50,370,29,30,30,30,0,0,21,0,35,0,22,20,10,10,0,0
0000022_01036_d_0000006,16,<50,281,16,16,16,16,0,0,12,0,18,0,4,4,12,12,0,0
0000022_01251_d_0000007,12,<50,313,11,12,12,12,0,0,13,0,25,0,0,0,12,12,0,0
0000023_00000_d_0000008,40,<50,516,34,38,38,38,0,0,30,0,44,0,35,33,5,5,0,0
0000023_00300_d_0000009,30,<50,419,24,29,29,29,0,0,24,0,37,0,25,24,5,5,0,0
0000023_00868_d_0000010,20,<50,260,17,19,19,19,0,0,13,0,17,0,6,6,13,12,1,1
0000023_01233_d_0000011,14,<50,266,13,13,13,13,0,0,10,0,17,0,0,0,14,13,0,0
0000024_00000_d_0000012,21,<50,300,18,20,20,20,0,0,10,0,17,0,9,9,12,11,0,0
0000024_00500_d_0000013,10,<50,191,10,10,10,10,0,0,7,0,9,0,1,1,9,9,0,0
0000024_01000_d_0000014,12,<50,91,7,7,7,7,0,0,3,0,7,0,12,7,0,0,0,0
0000024_01543_d_0000015,8,<50,137,7,7,7,7,0,0,8,0,10,0,1,1,7,6,0,0
0000026_00000_d_0000024,8,<50,84,8,8,8,8,0,0,7,0,7,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,134,14,14,14,14,0,0,15,0,19,0,1,1,4,4,10,9
0000026_01000_d_0000026,25,<50,302,25,25,25,25,0,0,20,0,27,0,3,3,3,3,19,19
0000026_01500_d_0000027,10,<50,181,10,10,10,10,0,0,14,0,20,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,110,9,9,9,9,0,0,12,0,16,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,229,17,17,17,17,0,0,17,0,21,0,9,9,4,4,4,4
0000026_03000_d_0000030,13,<50,135,13,13,13,13,0,0,14,0,19,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,141,22,23,23,23,0,0,25,0,31,0,1,1,6,6,16,16
0000026_04000_d_0000032,14,<50,154,14,14,14,14,0,0,16,0,23,0,0,0,2,2,12,12
0000026_04500_d_0000033,47,<50,484,31,33,34,34,1,0,23,0,38,0,24,14,22,18,1,1
0000026_04978_d_0000034,45,<50,305,28,35,35,35,0,0,23,0,31,0,16,12,28,22,1,1
0000055_00000_d_0000109,101,100-150,1000,55,67,76,79,12,1,38,0,70,0,57,31,44,36,0,0
0000055_00714_d_0000110,85,50-100,833,46,68,76,78,10,0,23,0,45,0,48,35,37,33,0,0
0000069_00001_d_0000001,34,<50,536,34,34,34,34,0,0,37,0,45,0,7,7,24,24,3,3
0000069_00483_d_0000002,27,<50,311,26,26,26,26,0,0,30,0,37,0,6,5,19,19,2,2
0000069_00713_d_0000003,49,<50,608,39,46,46,46,0,0,31,0,38,0,22,19,21,21,6,6
0000069_01109_d_0000004,31,<50,539,30,31,31,31,0,0,23,0,31,0,6,6,25,25,0,0
0000069_01878_d_0000005,36,<50,435,34,35,36,36,1,0,30,0,39,0,12,11,21,21,3,3
0000069_02163_d_0000006,49,<50,694,37,45,46,46,1,0,37,0,52,0,17,16,29,26,3,3
0000069_02480_d_0000007,64,50-100,647,48,57,59,59,2,0,51,0,61,0,29,24,34,32,1,1
0000072_02834_d_0000003,73,50-100,577,58,67,69,69,2,0,36,0,58,0,21,17,51,49,1,1
0000076_02142_d_0000009,11,<50,375,10,11,11,11,0,0,12,0,23,0,4,4,4,4,3,3
0000081_00000_d_0000001,86,50-100,730,58,71,74,75,4,1,30,0,51,0,74,59,12,12,0,0
0000086_00000_d_0000001,37,<50,478,33,34,36,36,2,0,30,0,42,0,21,18,16,16,0,0
0000086_00592_d_0000002,65,50-100,623,46,51,54,54,3,1,29,0,48,0,40,27,25,24,0,0
0000086_01084_d_0000003,146,100-150,615,62,84,91,91,7,0,27,0,56,0,132,70,14,14,0,0
0000086_01443_d_0000004,107,100-150,719,63,80,90,90,10,0,32,0,57,0,96,69,11,11,0,0
0000086_01954_d_0000005,173,150-300,572,69,97,107,107,10,2,30,0,52,0,163,88,10,9,0,0
0000103_00180_d_0000026,1,<50,29,1,1,1,1,0,0,2,0,2,0,0,0,0,0,1,1
0000103_00502_d_0000027,3,<50,44,3,3,3,3,0,0,5,0,6,0,0,0,0,0,3,3
0000103_01734_d_0000028,4,<50,55,4,4,4,4,0,0,5,0,7,0,0,0,0,0,4,4
0000103_02544_d_0000029,14,<50,430,13,14,14,14,0,0,14,0,25,0,0,0,10,10,4,4
0000103_02964_d_0000030,10,<50,376,9,10,10,10,0,0,16,0,23,0,0,0,0,0,10,10
0000103_03349_d_0000031,4,<50,100,4,4,4,4,0,0,6,0,10,0,0,0,0,0,4,4
0000103_03738_d_0000032,3,<50,66,3,3,3,3,0,0,3,0,5,0,0,0,0,0,3,3
0000103_04122_d_0000033,4,<50,119,4,4,4,4,0,0,6,0,7,0,0,0,4,4,0,0
0000103_04513_d_0000034,2,<50,97,2,2,2,2,0,0,2,0,3,0,0,0,1,1,1,1
0000103_04948_d_0000035,1,<50,35,1,1,1,1,0,0,1,0,2,0,0,0,0,0,1,1
0000115_00315_d_0000080,61,50-100,552,33,41,46,46,5,0,16,0,32,0,56,37,5,4,0,0
0000115_00796_d_0000081,78,50-100,1000,45,57,62,66,9,1,30,0,63,0,67,47,11,10,0,0
0000115_01031_d_0000082,63,50-100,1000,42,53,57,59,6,1,32,0,54,0,52,43,11,10,0,0
0000116_00351_d_0000083,74,50-100,1000,43,55,60,66,11,0,33,0,74,0,65,48,9,7,0,0
0000116_00819_d_0000084,36,<50,981,24,28,30,31,3,0,18,0,38,0,24,19,12,9,0,0
0000116_01059_d_0000085,70,50-100,1000,44,54,58,61,7,2,35,0,63,0,59,48,11,6,0,0
0000116_01338_d_0000086,54,50-100,976,33,44,48,49,5,2,26,0,45,0,47,38,5,5,2,1
0000117_00112_d_0000087,129,100-150,1000,72,106,116,121,15,1,39,0,60,0,112,90,13,12,4,4
0000117_01326_d_0000088,62,50-100,1000,48,54,55,57,3,0,37,0,61,0,34,30,27,23,1,1
0000117_01731_d_0000089,47,<50,590,43,44,45,45,1,0,38,0,60,0,27,25,15,14,5,5
0000117_02708_d_0000090,100,100-150,1000,61,77,84,84,7,0,40,0,81,0,64,45,36,32,0,0
0000117_03096_d_0000091,24,<50,1000,20,22,22,23,1,0,48,0,90,0,8,8,14,12,2,2
0000129_02411_d_0000138,186,150-300,685,79,118,130,132,14,1,15,0,66,0,73,10,113,108,0,0
0000153_00001_d_0000001,55,50-100,815,35,43,44,46,3,0,32,0,68,0,47,37,8,6,0,0
0000153_00401_d_0000001,59,50-100,884,45,50,52,52,2,1,37,0,72,0,47,38,11,11,1,1
0000153_00801_d_0000001,49,<50,682,31,40,42,42,2,1,21,0,44,0,40,32,9,8,0,0
0000153_01201_d_0000001,59,50-100,744,26,35,38,40,5,0,24,0,45,0,57,34,2,1,0,0
0000153_01601_d_0000001,63,50-100,650,38,40,43,43,3,0,26,0,48,0,57,36,5,3,1,1
0000153_01801_d_0000001,55,50-100,751,27,35,36,36,1,0,32,0,57,0,52,32,3,3,0,0
0000154_00001_d_0000001,51,50-100,816,38,42,45,45,3,1,34,0,61,0,43,34,8,8,0,0
0000154_00401_d_0000001,60,50-100,796,34,46,47,49,3,0,36,0,56,0,51,38,9,8,0,0
0000154_00801_d_0000001,72,50-100,763,43,53,58,58,5,1,27,0,56,0,67,48,5,5,0,0
0000154_01201_d_0000001,81,50-100,1000,48,58,62,66,8,3,39,0,68,0,75,53,6,5,0,0
0000154_01601_d_0000001,101,100-150,1000,59,74,79,83,9,3,41,0,77,0,86,61,15,13,0,0
0000154_02001_d_0000001,83,50-100,1000,46,62,66,69,7,0,54,0,85,0,74,53,8,8,1,1
0000155_00001_d_0000001,97,50-100,1000,58,73,80,87,14,3,51,0,89,0,73,52,23,20,1,1
0000155_00401_d_0000001,122,100-150,1000,61,80,87,95,15,3,65,0,108,0,106,67,16,13,0,0
0000155_00801_d_0000001,106,100-150,1000,64,90,94,100,10,3,63,0,100,0,86,71,20,19,0,0
0000155_01201_d_0000001,94,50-100,1000,50,61,69,73,12,1,40,0,78,0,82,50,12,11,0,0
0000155_01601_d_0000001,73,50-100,1000,48,60,69,71,11,0,51,0,102,0,63,50,10,10,0,0
0000155_01871_d_0000001,55,50-100,735,40,46,48,49,3,1,35,0,63,0,46,39,9,7,0,0
0000162_00001_d_0000001,34,<50,599,29,32,32,32,0,0,32,0,47,0,26,24,7,7,1,1
0000162_00401_d_0000001,45,<50,834,35,43,44,44,1,0,29,0,59,0,39,37,5,5,1,1
0000162_00801_d_0000001,30,<50,719,22,24,25,26,2,0,28,0,51,0,25,19,3,3,2,2
0000162_01058_d_0000001,57,50-100,805,35,41,47,49,8,4,22,0,36,0,48,33,9,8,0,0
0000163_00001_d_0000001,69,50-100,1000,45,61,63,64,3,0,41,0,71,0,58,53,9,7,2,1
0000163_00359_d_0000001,54,50-100,614,35,43,43,43,0,0,22,0,31,0,49,39,5,4,0,0
0000165_04325_d_0000105,29,<50,589,21,23,25,25,2,1,24,0,33,0,14,10,12,11,3,2
0000166_00558_d_0000118,71,50-100,776,45,55,61,61,6,2,42,0,70,0,19,13,39,31,13,11
0000193_00000_d_0000103,63,50-100,1000,44,57,60,61,4,2,31,0,68,0,54,48,9,9,0,0
0000193_01497_d_0000111,87,50-100,1000,55,71,76,78,7,0,59,0,106,0,72,58,15,13,0,0
0000193_01705_d_0000112,134,100-150,1000,64,96,103,113,17,2,53,0,110,0,117,80,17,16,0,0
0000193_01876_d_0000113,107,100-150,1000,57,79,92,98,19,6,39,0,80,0,97,69,10,10,0,0
0000193_02029_d_0000114,93,50-100,1000,54,75,84,89,14,1,42,0,79,0,82,67,11,8,0,0
0000193_02212_d_0000115,78,50-100,1000,42,58,64,66,8,1,40,0,69,0,73,54,5,4,0,0
0000193_02416_d_0000116,50,50-100,612,27,41,44,44,3,1,14,0,27,0,47,38,3,3,0,0
0000193_02606_d_0000117,49,<50,672,28,37,41,41,4,1,16,0,37,0,48,37,1,0,0,0
0000193_02725_d_0000118,39,<50,738,27,33,37,39,6,3,10,0,27,0,38,32,1,1,0,0
0000194_00000_d_0000119,54,50-100,833,37,45,49,49,4,3,21,0,40,0,51,43,3,2,0,0
0000194_00200_d_0000120,76,50-100,1000,41,51,58,60,9,3,38,0,72,0,67,43,9,8,0,0
0000194_00399_d_0000121,143,100-150,1000,69,106,114,118,12,3,56,0,108,0,137,101,6,5,0,0
0000194_00625_d_0000122,83,50-100,1000,50,67,71,73,6,0,49,0,100,0,73,58,10,9,0,0
0000194_00800_d_0000123,54,50-100,634,31,38,41,41,3,0,37,0,50,0,41,27,13,11,0,0
0000194_00998_d_0000124,42,<50,524,23,31,31,31,0,0,17,0,37,0,37,27,5,4,0,0
0000194_01192_d_0000125,23,<50,463,15,18,20,20,2,0,16,0,27,0,18,14,5,4,0,0
0000196_04512_d_0000144,69,50-100,966,43,60,62,62,2,0,30,0,51,0,62,54,7,6,0,0
0000199_01269_d_0000166,16,<50,230,13,14,14,14,0,0,11,0,19,0,7,5,8,8,1,1
0000213_02500_d_0000240,94,50-100,821,49,64,73,75,11,1,42,0,56,0,85,60,9,4,0,0
0000213_02965_d_0000241,94,50-100,1000,64,78,82,86,8,1,54,0,83,0,62,49,29,26,3,3
0000213_03478_d_0000242,115,100-150,1000,71,94,100,102,8,0,63,0,106,0,70,50,40,40,5,4
0000213_03920_d_0000243,164,150-300,1000,78,115,130,137,22,2,71,0,112,0,98,55,60,54,6,6
0000213_04405_d_0000244,106,100-150,895,70,87,91,92,5,0,48,0,77,0,62,45,38,36,6,6
0000213_04998_d_0000245,137,100-150,1000,77,103,114,118,15,1,75,0,109,0,94,64,38,34,5,5
