image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,880,56,84,96,101,17,1,33,0,94,0,76,47,51,37,0,0
0000001_03499_d_0000006,77,50-100,468,51,54,58,58,4,1,48,0,91,0,53,31,20,19,4,4
0000001_03999_d_0000007,48,<50,630,35,39,39,39,0,0,31,0,67,0,26,19,21,19,1,1
0000001_04527_d_0000008,115,100-150,1000,50,80,94,97,17,0,38,0,106,0,72,50,43,30,0,0
0000001_05249_d_0000009,113,100-150,983,69,93,99,101,8,0,69,0,109,0,27,18,85,74,1,1
0000001_05499_d_0000010,140,100-150,849,77,113,125,126,13,0,71,0,104,0,52,32,67,60,21,21
0000001_05999_d_0000011,115,100-150,643,66,93,97,98,5,0,73,0,114,0,66,46,42,40,7,7
0000001_07999_d_0000012,136,100-150,969,65,98,110,113,15,0,52,0,107,0,99,66,37,32,0,0
0000001_08414_d_0000013,164,150-300,1000,73,108,129,138,30,4,60,0,120,0,107,64,54,41,3,3
0000021_00000_d_0000001,31,<50,226,21,24,24,24,0,0,16,0,29,0,23,16,8,8,0,0
0000021_00500_d_0000002,17,<50,93,14,14,14,14,0,0,10,0,18,0,15,12,2,2,0,0
0000021_00800_d_0000003,7,<50,58,7,7,7,7,0,0,5,0,12,0,7,7,0,0,0,0
0000022_00000_d_0000004,41,<50,211,36,39,39,39,0,0,33,0,48,0,35,33,6,6,0,0
0000022_00500_d_0000005,32,<50,185,28,30,30,30,0,0,25,0,39,0,22,20,10,10,0,0
0000022_01036_d_0000006,16,<50,174,16,16,16,16,0,0,15,0,23,0,4,4,12,12,0,0
0000022_01251_d_0000007,12,<50,226,11,12,12,12,0,0,16,0,33,0,0,0,12,12,0,0
0000023_00000_d_0000008,40,<50,211,36,37,37,37,0,0,33,0,48,0,35,32,5,5,0,0
0000023_00300_d_0000009,30,<50,201,24,25,25,25,0,0,25,0,39,0,25,21,5,4,0,0
0000023_00868_d_0000010,20,<50,204,17,19,19,19,0,0,13,0,19,0,6,6,13,12,1,1
0000023_01233_d_0000011,14,<50,213,12,12,12,12,0,0,11,0,15,0,0,0,14,12,0,0
0000024_00000_d_0000012,21,<50,167,17,19,19,19,0,0,11,0,22,0,9,8,12,11,0,0
0000024_00500_d_0000013,10,<50,179,10,10,10,10,0,0,7,0,9,0,1,1,9,9,0,0
0000024_01000_d_0000014,12,<50,52,8,8,8,8,0,0,3,0,7,0,12,8,0,0,0,0
0000024_01543_d_0000015,8,<50,108,7,7,7,7,0,0,8,0,9,0,1,1,7,6,0,0
0000026_00000_d_0000024,8,<50,59,8,8,8,8,0,0,7,0,8,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,80,14,14,14,14,0,0,16,0,18,0,1,1,4,4,10,9
0000026_01000_d_0000026,25,<50,199,25,25,25,25,0,0,22,0,26,0,3,3,3,3,19,19
0000026_01500_d_0000027,10,<50,98,10,10,10,10,0,0,13,0,19,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,88,9,9,9,9,0,0,12,0,16,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,116,17,17,17,17,0,0,16,0,19,0,9,9,4,4,4,4
0000026_03000_d_0000030,13,<50,98,13,13,13,13,0,0,16,0,18,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,91,22,22,22,22,0,0,22,0,23,0,1,1,6,6,16,15
0000026_04000_d_0000032,14,<50,94,14,14,14,14,0,0,17,0,19,0,0,0,2,2,12,12
