image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,1000,51,73,81,88,15,2,19,0,41,0,76,42,51,31,0,0
0000001_03499_d_0000006,77,50-100,1000,41,50,54,57,7,1,18,0,58,0,53,28,20,18,4,4
0000001_03999_d_0000007,48,<50,1000,30,37,40,43,6,2,17,0,46,0,26,20,21,16,1,1
0000001_04527_d_0000008,115,100-150,1000,38,63,78,85,22,1,16,0,58,0,72,34,43,29,0,0
0000001_05249_d_0000009,113,100-150,1000,58,77,86,94,17,0,51,0,89,0,27,10,85,66,1,1
0000001_05499_d_0000010,140,100-150,1000,71,94,105,110,16,2,58,0,76,0,52,15,67,59,21,20
0000001_05999_d_0000011,115,100-150,1000,55,77,89,96,19,2,36,0,67,0,66,35,42,35,7,7
0000001_07999_d_0000012,136,100-150,1000,45,72,89,96,24,0,22,0,68,0,99,45,37,27,0,0
0000001_08414_d_0000013,164,150-300,1000,56,86,105,118,32,7,36,0,74,0,107,45,54,38,3,3
0000021_00000_d_0000001,31,<50,644,15,19,21,21,2,0,10,0,21,0,23,12,8,7,0,0
0000021_00500_d_0000002,17,<50,321,13,13,13,13,0,0,7,0,11,0,15,11,2,2,0,0
0000021_00800_d_0000003,7,<50,256,7,7,7,7,0,0,3,0,11,0,7,7,0,0,0,0
0000022_00000_d_0000004,41,<50,934,27,34,36,37,3,0,16,0,36,0,35,28,6,6,0,0
0000022_00500_d_0000005,32,<50,837,29,30,30,30,0,0,20,0,34,0,22,20,10,10,0,0
0000022_01036_d_0000006,16,<50,446,13,16,16,16,0,0,10,0,17,0,4,4,12,12,0,0
0000022_01251_d_0000007,12,<50,534,11,11,11,11,0,0,12,0,26,0,0,0,12,11,0,0
0000023_00000_d_0000008,40,<50,934,28,35,37,38,3,1,16,0,36,0,35,31,5,4,0,0
0000023_00300_d_0000009,30,<50,914,21,25,27,30,5,2,12,0,33,0,25,20,5,5,0,0
0000023_00868_d_0000010,20,<50,550,17,20,20,20,0,0,14,0,21,0,6,6,13,13,1,1
0000023_01233_d_0000011,14,<50,478,13,13,13,13,0,0,9,0,19,0,0,0,14,13,0,0
0000024_00000_d_0000012,21,<50,537,16,18,18,18,0,0,10,0,19,0,9,9,12,9,0,0
0000024_00500_d_0000013,10,<50,200,7,7,7,7,0,0,9,0,11,0,1,0,9,7,0,0
0000024_01000_d_0000014,12,<50,204,7,8,8,8,0,0,3,0,6,0,12,8,0,0,0,0
0000024_01543_d_0000015,8,<50,206,7,8,8,8,0,0,7,0,7,0,1,1,7,7,0,0
0000026_00000_d_0000024,8,<50,137,8,8,8,8,0,0,7,0,8,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,260,13,14,14,14,0,0,11,0,12,0,1,1,4,4,10,9
0000026_01000_d_0000026,25,<50,461,23,24,24,24,0,0,19,0,29,0,3,3,3,2,19,19
0000026_01500_d_0000027,10,<50,290,10,10,10,10,0,0,11,0,17,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,203,9,9,9,9,0,0,12,0,14,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,410,16,17,17,17,0,0,15,0,21,0,9,9,4,4,4,4
