image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,965,22,29,38,42,19,0,41,0,76,12,51,17,0,0
0000001_03499_d_0000006,77,50-100,956,19,21,23,24,18,0,58,0,53,8,20,9,4,4
0000001_03999_d_0000007,48,<50,572,9,15,18,18,13,0,34,0,26,7,21,7,1,1
0000001_04527_d_0000008,115,100-150,777,22,26,27,29,16,0,52,0,72,10,43,16,0,0
0000001_05249_d_0000009,113,100-150,1000,47,55,58,59,51,0,89,0,27,2,85,52,1,1
0000001_05499_d_0000010,140,100-150,979,63,72,80,83,58,0,76,0,52,6,67,47,21,19
0000001_05999_d_0000011,115,100-150,962,28,31,37,46,36,0,67,0,66,5,42,19,7,7
0000001_07999_d_0000012,136,100-150,982,21,30,34,38,22,0,68,0,99,18,37,12,0,0
0000001_08414_d_0000013,164,150-300,1000,32,43,46,47,36,0,74,0,107,17,54,23,3,3
0000021_00000_d_0000001,31,<50,644,8,11,13,13,10,0,21,0,23,5,8,6,0,0
0000021_00500_d_0000002,17,<50,321,7,7,7,7,7,0,11,0,15,5,2,2,0,0
0000021_00800_d_0000003,7,<50,256,6,6,6,6,3,0,11,0,7,6,0,0,0,0
0000022_00000_d_0000004,41,<50,879,14,17,19,19,14,0,33,0,35,13,6,4,0,0
0000022_00500_d_0000005,32,<50,837,18,18,20,20,20,0,34,0,22,10,10,8,0,0
0000022_01036_d_0000006,16,<50,446,6,6,6,6,10,0,17,0,4,1,12,5,0,0
0000022_01251_d_0000007,12,<50,534,8,9,9,9,12,0,26,0,0,0,12,9,0,0
0000023_00000_d_0000008,40,<50,934,12,16,17,18,16,0,36,0,35,13,5,3,0,0
0000023_00300_d_0000009,30,<50,914,9,10,10,11,12,0,33,0,25,7,5,3,0,0
0000023_00868_d_0000010,20,<50,550,13,15,15,15,14,0,21,0,6,4,13,10,1,1
0000023_01233_d_0000011,14,<50,478,9,9,9,9,9,0,19,0,0,0,14,9,0,0
0000024_00000_d_0000012,21,<50,537,7,8,9,9,10,0,19,0,9,2,12,6,0,0
0000024_00500_d_0000013,10,<50,200,2,3,3,3,9,0,11,0,1,0,9,3,0,0
0000024_01000_d_0000014,12,<50,169,3,3,3,3,3,0,4,0,12,3,0,0,0,0
0000024_01543_d_0000015,8,<50,206,1,1,1,1,7,0,7,0,1,1,7,0,0,0
0000026_00000_d_0000024,8,<50,137,6,6,6,6,7,0,8,0,0,0,2,2,6,4
0000026_00500_d_0000025,15,<50,260,10,11,11,11,11,0,12,0,1,0,4,3,10,8
0000026_01000_d_0000026,25,<50,461,21,21,22,22,19,0,29,0,3,1,3,1,19,19
0000026_01500_d_0000027,10,<50,290,9,9,9,9,11,0,17,0,0,0,1,0,9,9
0000026_02000_d_0000028,9,<50,203,8,8,8,8,12,0,14,0,0,0,2,2,7,6
0000026_02500_d_0000029,17,<50,410,10,11,11,11,15,0,21,0,9,6,4,2,4,3
0000026_03000_d_0000030,13,<50,236,11,12,12,12,8,0,11,0,0,0,5,4,8,8
0000026_03500_d_0000031,23,<50,309,19,20,20,20,12,0,19,0,1,0,6,5,16,15
0000026_04000_d_0000032,14,<50,278,13,13,13,13,12,0,18,0,0,0,2,1,12,12
0000026_04500_d_0000033,47,<50,1000,9,13,13,15,18,0,33,0,24,3,22,9,1,1
0000026_04978_d_0000034,45,<50,770,20,22,22,22,17,0,35,0,16,4,28,17,1,1
0000055_00000_d_0000109,101,100-150,1000,28,35,37,41,25,0,44,0,57,15,44,20,0,0
0000055_00714_d_0000110,85,50-100,934,25,31,33,35,23,0,48,0,48,16,37,15,0,0
0000069_00001_d_0000001,34,<50,984,22,24,25,25,24,0,31,0,7,6,24,15,3,3
0000069_00483_d_0000002,27,<50,664,21,21,22,22,31,0,44,0,6,3,19,16,2,2
0000069_00713_d_0000003,49,<50,985,30,33,34,36,31,0,50,0,22,8,21,21,6,4
0000069_01109_d_0000004,31,<50,864,12,14,16,17,19,0,30,0,6,2,25,12,0,0
0000069_01878_d_0000005,36,<50,800,24,28,28,28,28,0,35,0,12,9,21,16,3,3
0000069_02163_d_0000006,49,<50,1000,27,30,32,32,32,0,44,0,17,7,29,20,3,3
0000069_02480_d_0000007,64,50-100,994,25,27,27,27,37,0,53,0,29,6,34,20,1,1
0000072_02834_d_0000003,73,50-100,820,49,54,58,59,39,0,64,0,21,13,51,40,1,1
0000076_02142_d_0000009,11,<50,488,9,9,9,9,10,0,13,0,4,3,4,4,3,2
0000081_00000_d_0000001,86,50-100,700,24,26,28,28,22,0,47,0,74,19,12,7,0,0
0000086_00000_d_0000001,37,<50,976,17,19,20,21,27,0,34,0,21,10,16,9,0,0
0000086_00592_d_0000002,65,50-100,1000,25,28,28,30,28,0,41,0,40,9,25,19,0,0
0000086_01084_d_0000003,146,100-150,999,30,41,46,46,33,0,56,0,132,33,14,8,0,0
0000086_01443_d_0000004,107,100-150,952,25,32,35,35,27,0,51,0,96,26,11,6,0,0
0000086_01954_d_0000005,173,150-300,1000,28,38,46,50,33,0,60,0,163,34,10,4,0,0
0000103_00180_d_0000026,1,<50,62,1,1,1,1,1,0,2,0,0,0,0,0,1,1
0000103_00502_d_0000027,3,<50,78,3,3,3,3,3,0,4,0,0,0,0,0,3,3
0000103_01734_d_0000028,4,<50,81,4,4,4,4,5,0,7,0,0,0,0,0,4,4
0000103_02544_d_0000029,14,<50,1000,10,11,12,12,6,0,14,0,0,0,10,7,4,4
0000103_02964_d_0000030,10,<50,485,7,7,9,9,10,0,18,0,0,0,0,0,10,7
0000103_03349_d_0000031,4,<50,159,3,4,4,4,4,0,5,0,0,0,0,0,4,4
0000103_03738_d_0000032,3,<50,109,3,3,3,3,3,0,4,0,0,0,0,0,3,3
0000103_04122_d_0000033,4,<50,210,3,3,3,3,5,0,5,0,0,0,4,3,0,0
0000103_04513_d_0000034,2,<50,196,2,2,2,2,2,0,3,0,0,0,1,1,1,1
0000103_04948_d_0000035,1,<50,109,1,1,1,1,1,0,2,0,0,0,0,0,1,1
0000115_00315_d_0000080,61,50-100,799,11,13,13,14,8,0,18,0,56,9,5,4,0,0
0000115_00796_d_0000081,78,50-100,752,17,22,26,27,12,0,46,0,67,17,11,5,0,0
0000115_01031_d_0000082,63,50-100,743,15,22,25,26,12,0,30,0,52,14,11,8,0,0
0000116_00351_d_0000083,74,50-100,974,17,27,28,30,17,0,56,0,65,21,9,6,0,0
0000116_00819_d_0000084,36,<50,686,10,12,13,13,14,0,29,0,24,6,12,6,0,0
0000116_01059_d_0000085,70,50-100,769,20,25,28,28,14,0,39,0,59,19,11,6,0,0
0000116_01338_d_0000086,54,50-100,826,11,14,15,15,14,0,32,0,47,10,5,4,2,0
0000117_00112_d_0000087,129,100-150,909,35,45,50,52,22,0,60,0,112,32,13,9,4,4
0000117_01326_d_0000088,62,50-100,742,22,26,28,30,22,0,46,0,34,7,27,18,1,1
0000117_01731_d_0000089,47,<50,943,20,22,25,26,26,0,45,0,27,10,15,7,5,5
0000117_02708_d_0000090,100,100-150,919,18,20,23,26,29,0,59,0,64,7,36,13,0,0
0000117_03096_d_0000091,24,<50,264,9,11,11,11,17,0,28,0,8,0,14,9,2,2
0000129_02411_d_0000138,186,150-300,946,69,97,106,108,11,0,46,0,73,2,113,95,0,0
0000153_00001_d_0000001,55,50-100,904,8,10,12,12,18,0,41,0,47,4,8,6,0,0
0000153_00401_d_0000001,59,50-100,922,17,23,25,27,25,0,47,0,47,14,11,8,1,1
0000153_00801_d_0000001,49,<50,893,16,16,17,17,9,0,30,0,40,10,9,6,0,0
0000153_01201_d_0000001,59,50-100,920,8,10,11,12,7,0,29,0,57,9,2,1,0,0
0000153_01601_d_0000001,63,50-100,937,13,15,16,16,15,0,38,0,57,13,5,1,1,1
0000153_01801_d_0000001,55,50-100,776,8,10,11,11,10,0,28,0,52,7,3,3,0,0
0000154_00001_d_0000001,51,50-100,877,13,15,17,17,18,0,32,0,43,10,8,5,0,0
0000154_00401_d_0000001,60,50-100,988,19,21,21,22,17,0,38,0,51,14,9,7,0,0
0000154_00801_d_0000001,72,50-100,937,13,17,19,21,18,0,30,0,67,15,5,2,0,0
0000154_01201_d_0000001,81,50-100,775,20,23,26,26,20,0,52,0,75,21,6,2,0,0
0000154_01601_d_0000001,101,100-150,859,25,29,32,33,20,0,57,0,86,22,15,7,0,0
0000154_02001_d_0000001,83,50-100,760,22,26,28,28,26,0,54,0,74,20,8,5,1,1
0000155_00001_d_0000001,97,50-100,958,28,35,39,41,30,0,83,0,73,21,23,13,1,1
0000155_00401_d_0000001,122,100-150,926,30,39,40,42,39,0,84,0,106,28,16,11,0,0
0000155_00801_d_0000001,106,100-150,953,31,35,38,40,32,0,70,0,86,22,20,13,0,0
0000155_01201_d_0000001,94,50-100,998,24,29,33,34,20,0,57,0,82,21,12,8,0,0
0000155_01601_d_0000001,73,50-100,981,20,28,33,35,25,0,84,0,63,23,10,5,0,0
0000155_01871_d_0000001,55,50-100,986,16,21,24,24,23,0,52,0,46,19,9,2,0,0
0000162_00001_d_0000001,34,<50,783,16,20,21,21,18,0,35,0,26,13,7,6,1,1
0000162_00401_d_0000001,45,<50,808,14,15,17,18,10,0,33,0,39,13,5,1,1,1
0000162_00801_d_0000001,30,<50,741,13,15,15,15,17,0,30,0,25,11,3,2,2,2
0000162_01058_d_0000001,57,50-100,905,10,13,16,18,13,0,31,0,48,9,9,4,0,0
0000163_00001_d_0000001,69,50-100,960,20,24,27,30,18,0,52,0,58,17,9,6,2,1
0000163_00359_d_0000001,54,50-100,805,9,9,10,10,13,0,24,0,49,6,5,3,0,0
0000165_04325_d_0000105,29,<50,896,12,14,14,14,11,0,22,0,14,3,12,9,3,2
0000166_00558_d_0000118,71,50-100,984,25,27,31,31,35,0,51,0,19,2,39,17,13,8
0000193_00000_d_0000103,63,50-100,894,16,19,19,20,25,0,49,0,54,11,9,8,0,0
0000193_01497_d_0000111,87,50-100,728,23,32,37,37,28,0,64,0,72,21,15,11,0,0
0000193_01705_d_0000112,134,100-150,1000,27,34,38,43,34,0,54,0,117,21,17,13,0,0
0000193_01876_d_0000113,107,100-150,979,23,32,36,39,21,0,47,0,97,24,10,8,0,0
0000193_02029_d_0000114,93,50-100,973,21,22,29,32,16,0,44,0,82,14,11,8,0,0
0000193_02212_d_0000115,78,50-100,939,15,19,24,24,15,0,40,0,73,17,5,2,0,0
0000193_02416_d_0000116,50,50-100,1000,3,4,6,6,1,0,11,0,47,3,3,1,0,0
0000193_02606_d_0000117,49,<50,999,5,5,7,9,1,0,17,0,48,5,1,0,0,0
