image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,814,49,70,82,87,19,0,43,0,76,34,51,36,0,0
0000001_03499_d_0000006,77,50-100,552,42,49,51,51,22,0,44,0,53,25,20,20,4,4
0000001_03999_d_0000007,48,<50,447,33,35,38,38,14,0,34,0,26,16,21,18,1,1
0000001_04527_d_0000008,115,100-150,785,38,65,82,84,15,0,49,0,72,33,43,32,0,0
0000001_05249_d_0000009,113,100-150,1000,60,77,87,93,50,0,82,0,27,8,85,68,1,1
0000001_05499_d_0000010,140,100-150,755,72,102,108,109,60,0,77,0,52,22,67,60,21,20
0000001_05999_d_0000011,115,100-150,839,55,80,89,91,32,0,63,0,66,34,42,39,7,7
0000001_07999_d_0000012,136,100-150,955,50,77,95,99,22,0,67,0,99,49,37,28,0,0
0000001_08414_d_0000013,164,150-300,1000,56,89,102,111,30,0,71,0,107,44,54,42,3,3
0000021_00000_d_0000001,31,<50,253,14,18,18,18,9,0,22,0,23,10,8,8,0,0
0000021_00500_d_0000002,17,<50,108,12,12,12,12,6,0,12,0,15,10,2,2,0,0
0000021_00800_d_0000003,7,<50,60,7,7,7,7,3,0,11,0,7,7,0,0,0,0
0000022_00000_d_0000004,41,<50,278,30,33,33,33,16,0,38,0,35,27,6,6,0,0
0000022_00500_d_0000005,32,<50,272,28,30,30,30,19,0,40,0,22,20,10,10,0,0
0000022_01036_d_0000006,16,<50,225,14,15,15,15,13,0,25,0,4,3,12,12,0,0
0000022_01251_d_0000007,12,<50,280,12,12,12,12,14,0,27,0,0,0,12,12,0,0
0000023_00000_d_0000008,40,<50,297,28,33,33,33,17,0,40,0,35,28,5,5,0,0
0000023_00300_d_0000009,30,<50,291,24,25,25,25,20,0,34,0,25,20,5,5,0,0
0000023_00868_d_0000010,20,<50,310,19,20,20,20,12,0,19,0,6,6,13,13,1,1
0000023_01233_d_0000011,14,<50,249,12,12,12,12,11,0,19,0,0,0,14,12,0,0
0000024_00000_d_0000012,21,<50,209,17,18,18,18,14,0,24,0,9,8,12,10,0,0
0000024_00500_d_0000013,10,<50,134,7,9,9,9,8,0,11,0,1,1,9,8,0,0
0000024_01000_d_0000014,12,<50,72,7,7,7,7,3,0,6,0,12,7,0,0,0,0
0000024_01543_d_0000015,8,<50,107,8,8,8,8,7,0,10,0,1,1,7,7,0,0
0000026_00000_d_0000024,8,<50,72,8,8,8,8,7,0,7,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,74,14,14,14,14,9,0,11,0,1,1,4,4,10,9
0000026_01000_d_0000026,25,<50,201,24,24,24,24,19,0,29,0,3,3,3,2,19,19
0000026_01500_d_0000027,10,<50,149,10,10,10,10,11,0,14,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,85,9,9,9,9,8,0,13,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,163,16,16,16,16,18,0,27,0,9,8,4,4,4,4
0000026_03000_d_0000030,13,<50,144,13,13,13,13,9,0,13,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,151,22,23,23,23,11,0,20,0,1,1,6,6,16,16
0000026_04000_d_0000032,14,<50,106,14,14,14,14,12,0,18,0,0,0,2,2,12,12
0000026_04500_d_0000033,47,<50,557,28,29,31,31,21,0,46,0,24,11,22,17,1,1
0000026_04978_d_0000034,45,<50,334,25,28,29,29,19,0,29,0,16,7,28,20,1,1
0000055_00000_d_0000109,101,100-150,1000,48,60,70,80,19,0,36,0,57,25,44,35,0,0
0000055_00714_d_0000110,85,50-100,932,48,66,75,79,19,0,45,0,48,36,37,30,0,0
0000069_00001_d_0000001,34,<50,514,31,33,33,33,24,0,40,0,7,7,24,23,3,3
0000069_00483_d_0000002,27,<50,343,27,27,27,27,28,0,40,0,6,6,19,19,2,2
0000069_00713_d_0000003,49,<50,526,40,46,46,46,31,0,42,0,22,19,21,21,6,6
0000069_01109_d_0000004,31,<50,405,29,30,30,30,21,0,32,0,6,6,25,24,0,0
0000069_01878_d_0000005,36,<50,420,34,35,35,35,26,0,36,0,12,11,21,21,3,3
0000069_02163_d_0000006,49,<50,618,38,42,43,43,29,0,44,0,17,14,29,25,3,3
0000069_02480_d_0000007,64,50-100,669,41,51,53,53,32,0,49,0,29,20,34,30,1,1
0000072_02834_d_0000003,73,50-100,470,59,66,69,69,35,0,57,0,21,15,51,50,1,1
0000076_02142_d_0000009,11,<50,267,11,11,11,11,10,0,14,0,4,4,4,4,3,3
0000081_00000_d_0000001,86,50-100,551,55,70,76,76,21,0,48,0,74,58,12,12,0,0
0000086_00000_d_0000001,37,<50,471,30,32,34,34,26,0,40,0,21,16,16,16,0,0
0000086_00592_d_0000002,65,50-100,663,43,53,55,56,28,0,44,0,40,28,25,25,0,0
0000086_01084_d_0000003,146,100-150,777,61,85,97,103,30,0,57,0,132,72,14,13,0,0
0000086_01443_d_0000004,107,100-150,842,49,75,82,85,23,0,56,0,96,64,11,11,0,0
0000086_01954_d_0000005,173,150-300,736,69,90,107,109,26,0,55,0,163,81,10,9,0,0
0000103_00180_d_0000026,1,<50,46,1,1,1,1,2,0,2,0,0,0,0,0,1,1
0000103_00502_d_0000027,3,<50,59,3,3,3,3,4,0,4,0,0,0,0,0,3,3
0000103_01734_d_0000028,4,<50,80,4,4,4,4,5,0,6,0,0,0,0,0,4,4
0000103_02544_d_0000029,14,<50,632,11,12,14,14,7,0,17,0,0,0,10,8,4,4
0000103_02964_d_0000030,10,<50,293,10,10,10,10,11,0,19,0,0,0,0,0,10,10
0000103_03349_d_0000031,4,<50,88,4,4,4,4,4,0,7,0,0,0,0,0,4,4
0000103_03738_d_0000032,3,<50,74,3,3,3,3,3,0,4,0,0,0,0,0,3,3
0000103_04122_d_0000033,4,<50,119,4,4,4,4,4,0,4,0,0,0,4,4,0,0
0000103_04513_d_0000034,2,<50,66,2,2,2,2,3,0,5,0,0,0,1,1,1,1
0000103_04948_d_0000035,1,<50,45,1,1,1,1,1,0,2,0,0,0,0,0,1,1
0000115_00315_d_0000080,61,50-100,296,29,31,31,31,6,0,18,0,56,27,5,4,0,0
0000115_00796_d_0000081,78,50-100,685,39,55,61,62,18,0,49,0,67,46,11,9,0,0
0000115_01031_d_0000082,63,50-100,648,35,53,56,57,13,0,44,0,52,42,11,11,0,0
0000116_00351_d_0000083,74,50-100,878,42,52,56,56,27,0,55,0,65,44,9,8,0,0
0000116_00819_d_0000084,36,<50,450,21,28,28,28,12,0,25,0,24,20,12,8,0,0
0000116_01059_d_0000085,70,50-100,533,40,49,53,53,18,0,42,0,59,41,11,8,0,0
0000116_01338_d_0000086,54,50-100,555,30,36,38,38,13,0,33,0,47,31,5,4,2,1
0000117_00112_d_0000087,129,100-150,831,61,97,110,111,20,0,54,0,112,81,13,12,4,4
0000117_01326_d_0000088,62,50-100,722,40,51,55,58,19,0,57,0,34,28,27,22,1,1
0000117_01731_d_0000089,47,<50,373,42,44,44,44,25,0,48,0,27,24,15,15,5,5
0000117_02708_d_0000090,100,100-150,920,45,57,68,72,26,0,60,0,64,25,36,32,0,0
0000117_03096_d_0000091,24,<50,281,21,23,23,23,17,0,30,0,8,7,14,14,2,2
0000129_02411_d_0000138,186,150-300,447,82,111,116,116,20,0,52,0,73,3,113,108,0,0
0000153_00001_d_0000001,55,50-100,403,35,39,39,39,21,0,43,0,47,33,8,6,0,0
0000153_00401_d_0000001,59,50-100,480,38,44,46,46,27,0,43,0,47,32,11,11,1,1
0000153_00801_d_0000001,49,<50,318,25,30,31,31,12,0,22,0,40,23,9,7,0,0
0000153_01201_d_0000001,59,50-100,338,25,30,31,31,8,0,26,0,57,29,2,1,0,0
0000153_01601_d_0000001,63,50-100,306,34,36,36,36,15,0,32,0,57,32,5,3,1,1
0000153_01801_d_0000001,55,50-100,284,22,26,26,26,7,0,29,0,52,23,3,3,0,0
0000154_00001_d_0000001,51,50-100,357,28,34,34,34,16,0,37,0,43,26,8,8,0,0
0000154_00401_d_0000001,60,50-100,317,34,44,44,44,16,0,38,0,51,36,9,8,0,0
0000154_00801_d_0000001,72,50-100,392,36,46,49,49,15,0,30,0,67,41,5,5,0,0
0000154_01201_d_0000001,81,50-100,568,35,50,53,53,20,0,46,0,75,45,6,5,0,0
0000154_01601_d_0000001,101,100-150,536,50,69,78,78,20,0,45,0,86,56,15,13,0,0
