image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,935,48,69,82,88,19,2,23,0,64,0,76,37,51,32,0,0
0000001_03499_d_0000006,77,50-100,625,44,52,57,57,5,0,47,0,82,0,53,29,20,19,4,4
0000001_03999_d_0000007,48,<50,784,34,38,40,42,4,1,29,0,66,0,26,19,21,18,1,1
0000001_04527_d_0000008,115,100-150,1000,44,74,90,96,22,1,36,0,91,0,72,43,43,31,0,0
0000001_05249_d_0000009,113,100-150,1000,68,93,100,104,11,0,60,0,105,0,27,19,85,73,1,1
0000001_05499_d_0000010,140,100-150,860,75,111,121,122,11,0,69,0,100,0,52,30,67,61,21,20
0000001_05999_d_0000011,115,100-150,766,60,89,96,100,11,0,52,0,84,0,66,44,42,38,7,7
0000001_07999_d_0000012,136,100-150,1000,63,90,101,104,14,0,40,0,87,0,99,59,37,31,0,0
0000001_08414_d_0000013,164,150-300,1000,61,101,114,123,22,1,53,0,111,0,107,58,54,40,3,3
0000021_00000_d_0000001,31,<50,242,16,23,23,23,0,0,14,0,23,0,23,15,8,8,0,0
0000021_00500_d_0000002,17,<50,109,14,14,14,14,0,0,10,0,14,0,15,12,2,2,0,0
0000021_00800_d_0000003,7,<50,65,7,7,7,7,0,0,4,0,11,0,7,7,0,0,0,0
0000022_00000_d_0000004,41,<50,249,32,34,34,34,0,0,26,0,44,0,35,28,6,6,0,0
0000022_00500_d_0000005,32,<50,232,29,30,30,30,0,0,21,0,32,0,22,20,10,10,0,0
0000022_01036_d_0000006,16,<50,202,16,16,16,16,0,0,15,0,22,0,4,4,12,12,0,0
0000022_01251_d_0000007,12,<50,273,12,12,12,12,0,0,15,0,31,0,0,0,12,12,0,0
0000023_00000_d_0000008,40,<50,249,33,34,34,34,0,0,26,0,44,0,35,29,5,5,0,0
0000023_00300_d_0000009,30,<50,240,22,27,27,27,0,0,18,0,29,0,25,22,5,5,0,0
0000023_00868_d_0000010,20,<50,274,18,19,19,19,0,0,16,0,19,0,6,5,13,13,1,1
0000023_01233_d_0000011,14,<50,271,12,13,13,13,0,0,10,0,15,0,0,0,14,13,0,0
0000024_00000_d_0000012,21,<50,181,16,17,17,17,0,0,13,0,24,0,9,7,12,10,0,0
0000024_00500_d_0000013,10,<50,209,10,10,10,10,0,0,8,0,11,0,1,1,9,9,0,0
0000024_01000_d_0000014,12,<50,78,7,7,7,7,0,0,4,0,6,0,12,7,0,0,0,0
0000024_01543_d_0000015,8,<50,137,7,7,7,7,0,0,8,0,13,0,1,1,7,6,0,0
0000026_00000_d_0000024,8,<50,67,8,8,8,8,0,0,7,0,8,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,72,15,15,15,15,0,0,15,0,19,0,1,1,4,4,10,10
0000026_01000_d_0000026,25,<50,223,25,25,25,25,0,0,23,0,28,0,3,3,3,3,19,19
0000026_01500_d_0000027,10,<50,114,10,10,10,10,0,0,12,0,15,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,101,9,9,9,9,0,0,12,0,14,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,112,17,17,17,17,0,0,19,0,22,0,9,9,4,4,4,4
0000026_03000_d_0000030,13,<50,134,13,13,13,13,0,0,16,0,16,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,65,22,22,22,22,0,0,22,0,24,0,1,1,6,6,16,15
0000026_04000_d_0000032,14,<50,104,14,14,14,14,0,0,17,0,20,0,0,0,2,2,12,12
0000026_04500_d_0000033,47,<50,392,29,29,31,31,2,0,23,0,43,0,24,11,22,17,1,1
0000026_04978_d_0000034,45,<50,298,33,35,35,35,0,0,26,0,34,0,16,10,28,24,1,1
0000055_00000_d_0000109,101,100-150,1000,47,64,76,86,22,0,28,0,53,0,57,29,44,35,0,0
0000055_00714_d_0000110,85,50-100,775,46,58,68,70,12,0,17,0,34,0,48,29,37,29,0,0
0000069_00001_d_0000001,34,<50,380,33,34,34,34,0,0,32,0,42,0,7,7,24,24,3,3
0000069_00483_d_0000002,27,<50,279,27,27,27,27,0,0,28,0,34,0,6,6,19,19,2,2
0000069_00713_d_0000003,49,<50,510,41,44,47,47,3,0,28,0,43,0,22,17,21,21,6,6
0000069_01109_d_0000004,31,<50,353,31,31,31,31,0,0,20,0,34,0,6,6,25,25,0,0
0000069_01878_d_0000005,36,<50,336,35,35,35,35,0,0,29,0,41,0,12,11,21,21,3,3
0000069_02163_d_0000006,49,<50,539,38,45,45,45,0,0,38,0,55,0,17,15,29,27,3,3
0000069_02480_d_0000007,64,50-100,479,46,51,55,55,4,0,41,0,60,0,29,20,34,30,1,1
0000072_02834_d_0000003,73,50-100,395,58,68,71,71,3,0,31,0,47,0,21,17,51,50,1,1
0000076_02142_d_0000009,11,<50,271,10,10,10,10,0,0,14,0,24,0,4,3,4,4,3,3
0000081_00000_d_0000001,86,50-100,573,52,68,72,72,4,0,22,0,43,0,74,56,12,12,0,0
0000086_00000_d_0000001,37,<50,408,33,34,34,34,0,0,26,0,44,0,21,18,16,16,0,0
0000086_00592_d_0000002,65,50-100,521,45,52,54,54,2,0,33,0,50,0,40,27,25,25,0,0
0000086_01084_d_0000003,146,100-150,552,62,86,97,97,11,0,23,0,45,0,132,72,14,14,0,0
0000086_01443_d_0000004,107,100-150,490,62,86,93,93,7,0,24,0,46,0,96,75,11,11,0,0
0000086_01954_d_0000005,173,150-300,438,69,94,101,101,7,0,21,0,47,0,163,85,10,9,0,0
0000103_00180_d_0000026,1,<50,17,1,1,1,1,0,0,2,0,2,0,0,0,0,0,1,1
0000103_00502_d_0000027,3,<50,76,3,3,3,3,0,0,4,0,5,0,0,0,0,0,3,3
0000103_01734_d_0000028,4,<50,77,4,4,4,4,0,0,5,0,8,0,0,0,0,0,4,4
0000103_02544_d_0000029,14,<50,367,12,12,12,12,0,0,12,0,26,0,0,0,10,8,4,4
0000103_02964_d_0000030,10,<50,238,9,10,10,10,0,0,14,0,24,0,0,0,0,0,10,10
0000103_03349_d_0000031,4,<50,61,4,4,4,4,0,0,7,0,9,0,0,0,0,0,4,4
0000103_03738_d_0000032,3,<50,74,3,3,3,3,0,0,4,0,5,0,0,0,0,0,3,3
0000103_04122_d_0000033,4,<50,125,4,4,4,4,0,0,7,0,8,0,0,0,4,4,0,0
0000103_04513_d_0000034,2,<50,87,2,2,2,2,0,0,2,0,3,0,0,0,1,1,1,1
0000103_04948_d_0000035,1,<50,71,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1
0000115_00315_d_0000080,61,50-100,342,30,38,38,38,0,0,17,0,30,0,56,34,5,4,0,0
0000115_00796_d_0000081,78,50-100,1000,45,56,59,67,11,0,32,0,67,0,67,46,11,10,0,0
0000115_01031_d_0000082,63,50-100,734,44,52,54,55,3,1,19,0,47,0,52,41,11,11,0,0
0000116_00351_d_0000083,74,50-100,647,42,59,62,62,3,0,27,0,70,0,65,51,9,8,0,0
0000116_00819_d_0000084,36,<50,640,24,29,30,30,1,0,14,0,31,0,24,19,12,10,0,0
0000116_01059_d_0000085,70,50-100,678,38,50,55,57,7,0,32,0,60,0,59,43,11,7,0,0
0000116_01338_d_0000086,54,50-100,576,31,37,38,38,1,0,27,0,44,0,47,30,5,5,2,2
0000117_00112_d_0000087,129,100-150,818,71,108,119,121,13,0,39,0,86,0,112,92,13,12,4,4
0000117_01326_d_0000088,62,50-100,1000,42,50,54,56,6,0,30,0,70,0,34,27,27,22,1,1
0000117_01731_d_0000089,47,<50,383,41,44,44,44,0,0,39,0,62,0,27,24,15,15,5,5
0000117_02708_d_0000090,100,100-150,972,52,68,77,84,16,0,32,0,77,0,64,37,36,31,0,0
0000117_03096_d_0000091,24,<50,1000,18,22,23,23,1,0,43,0,79,0,8,6,14,14,2,2
0000129_02411_d_0000138,186,150-300,437,77,125,133,133,8,0,81,0,148,0,73,15,113,110,0,0
0000153_00001_d_0000001,55,50-100,405,34,40,40,40,0,0,29,0,50,0,47,34,8,6,0,0
0000153_00401_d_0000001,59,50-100,517,45,49,50,50,1,0,42,0,62,0,47,37,11,11,1,1
0000153_00801_d_0000001,49,<50,310,32,39,39,39,0,0,18,0,35,0,40,31,9,8,0,0
