image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,979,48,73,86,95,23,0,47,0,76,43,51,30,0,0
0000001_03499_d_0000006,77,50-100,941,44,54,58,65,39,0,71,0,53,31,20,19,4,4
0000001_03999_d_0000007,48,<50,610,36,41,43,43,22,0,42,0,26,21,21,19,1,1
0000001_04527_d_0000008,115,100-150,734,44,68,87,92,24,0,63,0,72,37,43,31,0,0
0000001_05249_d_0000009,113,100-150,1000,63,92,98,101,51,0,105,0,27,18,85,73,1,1
0000001_05499_d_0000010,140,100-150,987,73,102,119,125,65,0,92,0,52,24,67,58,21,20
0000001_05999_d_0000011,115,100-150,949,62,84,98,103,48,0,78,0,66,41,42,36,7,7
0000001_07999_d_0000012,136,100-150,988,54,83,95,102,36,0,67,0,99,56,37,27,0,0
0000001_08414_d_0000013,164,150-300,1000,59,96,113,118,46,0,83,0,107,56,54,37,3,3
0000021_00000_d_0000001,31,<50,504,17,22,24,24,16,0,27,0,23,15,8,7,0,0
0000021_00500_d_0000002,17,<50,255,15,15,15,15,7,0,18,0,15,13,2,2,0,0
0000021_00800_d_0000003,7,<50,215,7,7,7,7,3,0,11,0,7,7,0,0,0,0
0000022_00000_d_0000004,41,<50,606,29,33,34,34,18,0,38,0,35,27,6,6,0,0
0000022_00500_d_0000005,32,<50,527,30,31,31,31,17,0,32,0,22,21,10,10,0,0
0000022_01036_d_0000006,16,<50,290,16,16,16,16,14,0,20,0,4,4,12,12,0,0
0000022_01251_d_0000007,12,<50,454,12,12,12,12,14,0,20,0,0,0,12,12,0,0
0000023_00000_d_0000008,40,<50,668,28,35,36,36,19,0,41,0,35,30,5,5,0,0
0000023_00300_d_0000009,30,<50,512,21,26,28,28,16,0,28,0,25,21,5,5,0,0
0000023_00868_d_0000010,20,<50,357,18,19,19,19,14,0,19,0,6,5,13,13,1,1
0000023_01233_d_0000011,14,<50,379,11,13,13,13,9,0,15,0,0,0,14,13,0,0
0000024_00000_d_0000012,21,<50,353,17,19,19,19,14,0,23,0,9,9,12,10,0,0
