image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,300,88,112,112,112,0,0,228,0,300,1,76,65,51,47,0,0
0000001_03499_d_0000006,77,50-100,300,61,70,70,70,0,0,209,0,300,1,53,46,20,20,4,4
0000001_03999_d_0000007,48,<50,300,42,44,44,44,0,0,181,0,300,1,26,24,21,19,1,1
0000001_04527_d_0000008,115,100-150,300,76,98,98,98,0,0,265,0,300,1,72,60,43,38,0,0
0000001_05249_d_0000009,113,100-150,300,92,108,108,108,0,0,206,0,300,1,27,24,85,83,1,1
0000001_05499_d_0000010,140,100-150,300,93,123,123,123,0,0,227,0,300,1,52,36,67,66,21,21
0000001_05999_d_0000011,115,100-150,300,86,104,104,104,0,0,232,0,300,1,66,56,42,41,7,7
0000001_07999_d_0000012,136,100-150,300,84,111,111,111,0,0,274,0,300,1,99,77,37,34,0,0
0000001_08414_d_0000013,164,150-300,300,91,138,138,138,0,0,300,1,300,1,107,87,54,48,3,3
0000021_00000_d_0000001,31,<50,300,22,25,25,25,0,0,34,0,121,0,23,18,8,7,0,0
0000021_00500_d_0000002,17,<50,300,17,17,17,17,0,0,42,0,126,0,15,15,2,2,0,0
0000021_00800_d_0000003,7,<50,300,6,6,6,6,0,0,19,0,50,0,7,6,0,0,0,0
0000022_00000_d_0000004,41,<50,300,37,38,38,38,0,0,77,0,195,0,35,32,6,6,0,0
0000022_00500_d_0000005,32,<50,300,31,31,31,31,0,0,60,0,146,0,22,21,10,10,0,0
0000022_01036_d_0000006,16,<50,300,16,16,16,16,0,0,24,0,65,0,4,4,12,12,0,0
0000022_01251_d_0000007,12,<50,300,12,12,12,12,0,0,27,0,76,0,0,0,12,12,0,0
0000023_00000_d_0000008,40,<50,300,37,37,37,37,0,0,77,0,195,0,35,32,5,5,0,0
0000023_00300_d_0000009,30,<50,300,28,30,30,30,0,0,45,0,161,0,25,25,5,5,0,0
0000023_00868_d_0000010,20,<50,300,20,20,20,20,0,0,28,0,92,0,6,6,13,13,1,1
0000023_01233_d_0000011,14,<50,300,14,14,14,14,0,0,27,0,67,0,0,0,14,14,0,0
0000024_00000_d_0000012,21,<50,300,19,19,19,19,0,0,38,0,98,0,9,9,12,10,0,0
0000024_00500_d_0000013,10,<50,300,10,10,10,10,0,0,16,0,40,0,1,1,9,9,0,0
0000024_01000_d_0000014,12,<50,300,7,8,8,8,0,0,15,0,40,0,12,8,0,0,0,0
0000024_01543_d_0000015,8,<50,300,8,8,8,8,0,0,11,0,32,0,1,1,7,7,0,0
0000026_00000_d_0000024,8,<50,300,8,8,8,8,0,0,9,0,14,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,300,15,15,15,15,0,0,23,0,39,0,1,1,4,4,10,10
0000026_01000_d_0000026,25,<50,300,25,25,25,25,0,0,37,0,56,0,3,3,3,3,19,19
0000026_01500_d_0000027,10,<50,300,10,10,10,10,0,0,15,0,30,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,300,9,9,9,9,0,0,16,0,26,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,300,17,17,17,17,0,0,20,0,42,0,9,9,4,4,4,4
0000026_03000_d_0000030,13,<50,300,12,13,13,13,0,0,22,0,33,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,300,22,23,23,23,0,0,29,0,44,0,1,1,6,6,16,16
0000026_04000_d_0000032,14,<50,300,14,14,14,14,0,0,20,0,28,0,0,0,2,2,12,12
0000026_04500_d_0000033,47,<50,300,37,40,40,40,0,0,82,0,253,0,24,19,22,20,1,1
0000026_04978_d_0000034,45,<50,300,40,40,40,40,0,0,60,0,121,0,16,13,28,26,1,1
0000055_00000_d_0000109,101,100-150,300,70,82,82,82,0,0,128,0,300,1,57,45,44,37,0,0
0000055_00714_d_0000110,85,50-100,300,60,71,71,71,0,0,161,0,300,1,48,39,37,32,0,0
0000069_00001_d_0000001,34,<50,300,33,34,34,34,0,0,68,0,174,0,7,7,24,24,3,3
0000069_00483_d_0000002,27,<50,300,26,27,27,27,0,0,42,0,122,0,6,6,19,19,2,2
0000069_00713_d_0000003,49,<50,300,46,49,49,49,0,0,117,0,300,1,22,22,21,21,6,6
0000069_01109_d_0000004,31,<50,300,29,31,31,31,0,0,63,0,165,0,6,6,25,25,0,0
0000069_01878_d_0000005,36,<50,300,34,34,34,34,0,0,64,0,178,0,12,11,21,20,3,3
0000069_02163_d_0000006,49,<50,300,44,46,46,46,0,0,105,0,300,1,17,15,29,28,3,3
0000069_02480_d_0000007,64,50-100,300,53,55,55,55,0,0,124,0,300,1,29,23,34,31,1,1
0000072_02834_d_0000003,73,50-100,300,70,72,72,72,0,0,122,0,300,1,21,20,51,51,1,1
0000076_02142_d_0000009,11,<50,300,11,11,11,11,0,0,16,0,50,0,4,4,4,4,3,3
0000081_00000_d_0000001,86,50-100,300,63,72,72,72,0,0,300,1,300,1,74,61,12,11,0,0
0000086_00000_d_0000001,37,<50,300,36,36,36,36,0,0,68,0,146,0,21,20,16,16,0,0
0000086_00592_d_0000002,65,50-100,300,57,60,60,60,0,0,92,0,256,0,40,37,25,23,0,0
0000086_01084_d_0000003,146,100-150,300,87,122,122,122,0,0,248,0,300,1,132,109,14,13,0,0
0000086_01443_d_0000004,107,100-150,300,82,97,97,97,0,0,227,0,300,1,96,86,11,11,0,0
0000086_01954_d_0000005,173,150-300,300,94,128,128,128,0,0,204,0,300,1,163,119,10,9,0,0
0000103_00180_d_0000026,1,<50,300,1,1,1,1,0,0,5,0,21,0,0,0,0,0,1,1
0000103_00502_d_0000027,3,<50,300,3,3,3,3,0,0,7,0,23,0,0,0,0,0,3,3
0000103_01734_d_0000028,4,<50,300,4,4,4,4,0,0,10,0,18,0,0,0,0,0,4,4
0000103_02544_d_0000029,14,<50,300,12,13,13,13,0,0,20,0,89,0,0,0,10,9,4,4
0000103_02964_d_0000030,10,<50,300,10,10,10,10,0,0,35,0,108,0,0,0,0,0,10,10
0000103_03349_d_0000031,4,<50,300,4,4,4,4,0,0,11,0,26,0,0,0,0,0,4,4
0000103_03738_d_0000032,3,<50,300,3,3,3,3,0,0,3,0,9,0,0,0,0,0,3,3
0000103_04122_d_0000033,4,<50,300,4,4,4,4,0,0,8,0,30,0,0,0,4,4,0,0
0000103_04513_d_0000034,2,<50,300,2,2,2,2,0,0,7,0,22,0,0,0,1,1,1,1
0000103_04948_d_0000035,1,<50,300,1,1,1,1,0,0,2,0,5,0,0,0,0,0,1,1
0000115_00315_d_0000080,61,50-100,300,33,40,40,40,0,0,59,0,158,0,56,35,5,5,0,0
0000115_00796_d_0000081,78,50-100,300,59,69,69,69,0,0,163,0,300,1,67,59,11,10,0,0
0000115_01031_d_0000082,63,50-100,300,55,61,61,61,0,0,168,0,300,1,52,50,11,11,0,0
0000116_00351_d_0000083,74,50-100,300,61,67,67,67,0,0,136,0,300,1,65,59,9,8,0,0
0000116_00819_d_0000084,36,<50,300,36,36,36,36,0,0,73,0,219,0,24,24,12,12,0,0
0000116_01059_d_0000085,70,50-100,300,52,64,64,64,0,0,123,0,300,1,59,53,11,11,0,0
0000116_01338_d_0000086,54,50-100,300,38,47,47,47,0,0,85,0,300,1,47,40,5,5,2,2
0000117_00112_d_0000087,129,100-150,300,84,107,107,107,0,0,147,0,300,1,112,91,13,12,4,4
0000117_01326_d_0000088,62,50-100,300,49,56,56,56,0,0,79,0,251,0,34,32,27,23,1,1
0000117_01731_d_0000089,47,<50,300,45,46,46,46,0,0,112,0,258,0,27,26,15,15,5,5
0000117_02708_d_0000090,100,100-150,300,66,79,79,79,0,0,206,0,300,1,64,46,36,33,0,0
0000117_03096_d_0000091,24,<50,300,24,24,24,24,0,0,201,0,300,1,8,8,14,14,2,2
0000129_02411_d_0000138,186,150-300,300,100,161,161,161,0,0,295,0,300,1,73,51,113,110,0,0
0000153_00001_d_0000001,55,50-100,300,45,47,47,47,0,0,106,0,300,1,47,41,8,6,0,0
0000153_00401_d_0000001,59,50-100,300,47,53,53,53,0,0,119,0,300,1,47,41,11,11,1,1
0000153_00801_d_0000001,49,<50,300,41,43,43,43,0,0,89,0,300,1,40,35,9,8,0,0
0000153_01201_d_0000001,59,50-100,300,40,46,46,46,0,0,105,0,300,1,57,44,2,2,0,0
0000153_01601_d_0000001,63,50-100,300,54,57,57,57,0,0,89,0,273,0,57,52,5,4,1,1
0000153_01801_d_0000001,55,50-100,300,43,46,46,46,0,0,102,0,300,1,52,43,3,3,0,0
